"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Connecticut","09","20 - 27 weeks","02",192
,"Connecticut","09","28 - 31 weeks","03",321
,"Connecticut","09","32 - 35 weeks","04",1487
,"Connecticut","09","36 weeks","05",1347
,"Connecticut","09","37 - 39 weeks","06",21282
,"Connecticut","09","40 weeks","07",7814
,"Connecticut","09","41 weeks","08",3248
,"Connecticut","09","42 weeks or more","09",100
,"Connecticut","09","Unknown or Not Stated","10",196
,"Delaware","10","Under 20 weeks","01",12
,"Delaware","10","20 - 27 weeks","02",93
,"Delaware","10","28 - 31 weeks","03",111
,"Delaware","10","32 - 35 weeks","04",482
,"Delaware","10","36 weeks","05",407
,"Delaware","10","37 - 39 weeks","06",6514
,"Delaware","10","40 weeks","07",2431
,"Delaware","10","41 weeks","08",912
,"Delaware","10","42 weeks or more","09",20
,"Delaware","10","Unknown or Not Stated","10",10
,"District of Columbia","11","Under 20 weeks","01",Suppressed
,"District of Columbia","11","20 - 27 weeks","02",83
,"District of Columbia","11","28 - 31 weeks","03",108
,"District of Columbia","11","32 - 35 weeks","04",491
,"District of Columbia","11","36 weeks","05",373
,"District of Columbia","11","37 - 39 weeks","06",5274
,"District of Columbia","11","40 weeks","07",2536
,"District of Columbia","11","41 weeks","08",947
,"District of Columbia","11","42 weeks or more","09",36
,"District of Columbia","11","Unknown or Not Stated","10",Suppressed
,"Florida","12","Under 20 weeks","01",90
,"Florida","12","20 - 27 weeks","02",1623
,"Florida","12","28 - 31 weeks","03",2174
,"Florida","12","32 - 35 weeks","04",10216
,"Florida","12","36 weeks","05",8719
,"Florida","12","37 - 39 weeks","06",146847
,"Florida","12","40 weeks","07",43586
,"Florida","12","41 weeks","08",11186
,"Florida","12","42 weeks or more","09",480
,"Florida","12","Unknown or Not Stated","10",101
,"Georgia","13","Under 20 weeks","01",57
,"Georgia","13","20 - 27 weeks","02",1163
,"Georgia","13","28 - 31 weeks","03",1439
,"Georgia","13","32 - 35 weeks","04",6214
,"Georgia","13","36 weeks","05",5704
,"Georgia","13","37 - 39 weeks","06",85167
,"Georgia","13","40 weeks","07",24135
,"Georgia","13","41 weeks","08",5778
,"Georgia","13","42 weeks or more","09",316
,"Georgia","13","Unknown or Not Stated","10",69
,"Hawaii","15","Under 20 weeks","01",Suppressed
,"Hawaii","15","20 - 27 weeks","02",128
,"Hawaii","15","28 - 31 weeks","03",163
,"Hawaii","15","32 - 35 weeks","04",848
,"Hawaii","15","36 weeks","05",760
,"Hawaii","15","37 - 39 weeks","06",11039
,"Hawaii","15","40 weeks","07",3710
,"Hawaii","15","41 weeks","08",1327
,"Hawaii","15","42 weeks or more","09",73
,"Hawaii","15","Unknown or Not Stated","10",Suppressed
,"Idaho","16","Under 20 weeks","01",Suppressed
,"Idaho","16","20 - 27 weeks","02",106
,"Idaho","16","28 - 31 weeks","03",185
,"Idaho","16","32 - 35 weeks","04",847
,"Idaho","16","36 weeks","05",864
,"Idaho","16","37 - 39 weeks","06",13989
,"Idaho","16","40 weeks","07",4944
,"Idaho","16","41 weeks","08",1476
,"Idaho","16","42 weeks or more","09",60
,"Idaho","16","Unknown or Not Stated","10",Suppressed
,"Illinois","17","Under 20 weeks","01",92
,"Illinois","17","20 - 27 weeks","02",1110
,"Illinois","17","28 - 31 weeks","03",1563
,"Illinois","17","32 - 35 weeks","04",7105
,"Illinois","17","36 weeks","05",6082
,"Illinois","17","37 - 39 weeks","06",98911
,"Illinois","17","40 weeks","07",31036
,"Illinois","17","41 weeks","08",8160
,"Illinois","17","42 weeks or more","09",298
,"Illinois","17","Unknown or Not Stated","10",88
,"Indiana","18","Under 20 weeks","01",38
,"Indiana","18","20 - 27 weeks","02",572
,"Indiana","18","28 - 31 weeks","03",795
,"Indiana","18","32 - 35 weeks","04",3592
,"Indiana","18","36 weeks","05",3290
,"Indiana","18","37 - 39 weeks","06",51504
,"Indiana","18","40 weeks","07",17559
,"Indiana","18","41 weeks","08",5196
,"Indiana","18","42 weeks or more","09",525
,"Indiana","18","Unknown or Not Stated","10",20
,"Iowa","19","Under 20 weeks","01",Suppressed
,"Iowa","19","20 - 27 weeks","02",245
,"Iowa","19","28 - 31 weeks","03",300
,"Iowa","19","32 - 35 weeks","04",1609
,"Iowa","19","36 weeks","05",1489
,"Iowa","19","37 - 39 weeks","06",24549
,"Iowa","19","40 weeks","07",8603
,"Iowa","19","41 weeks","08",2496
,"Iowa","19","42 weeks or more","09",93
,"Iowa","19","Unknown or Not Stated","10",10
,"Kansas","20","Under 20 weeks","01",Suppressed
,"Kansas","20","20 - 27 weeks","02",216
,"Kansas","20","28 - 31 weeks","03",280
,"Kansas","20","32 - 35 weeks","04",1604
,"Kansas","20","36 weeks","05",1348
,"Kansas","20","37 - 39 weeks","06",24221
,"Kansas","20","40 weeks","07",8205
,"Kansas","20","41 weeks","08",2017
,"Kansas","20","42 weeks or more","09",142
,"Kansas","20","Unknown or Not Stated","10",11
,"Kentucky","21","Under 20 weeks","01",21
,"Kentucky","21","20 - 27 weeks","02",382
,"Kentucky","21","28 - 31 weeks","03",611
,"Kentucky","21","32 - 35 weeks","04",2741
,"Kentucky","21","36 weeks","05",2567
,"Kentucky","21","37 - 39 weeks","06",37169
,"Kentucky","21","40 weeks","07",9556
,"Kentucky","21","41 weeks","08",2254
,"Kentucky","21","42 weeks or more","09",129
,"Kentucky","21","Unknown or Not Stated","10",19
,"Louisiana","22","Under 20 weeks","01",37
,"Louisiana","22","20 - 27 weeks","02",527
,"Louisiana","22","28 - 31 weeks","03",806
,"Louisiana","22","32 - 35 weeks","04",3479
,"Louisiana","22","36 weeks","05",3133
,"Louisiana","22","37 - 39 weeks","06",44201
,"Louisiana","22","40 weeks","07",9281
,"Louisiana","22","41 weeks","08",1620
,"Louisiana","22","42 weeks or more","09",69
,"Louisiana","22","Unknown or Not Stated","10",25
,"Maine","23","Under 20 weeks","01",Suppressed
,"Maine","23","20 - 27 weeks","02",62
,"Maine","23","28 - 31 weeks","03",98
,"Maine","23","32 - 35 weeks","04",509
,"Maine","23","36 weeks","05",417
,"Maine","23","37 - 39 weeks","06",7174
,"Maine","23","40 weeks","07",2982
,"Maine","23","41 weeks","08",1321
,"Maine","23","42 weeks or more","09",135
,"Maine","23","Unknown or Not Stated","10",Suppressed
,"Maryland","24","Under 20 weeks","01",45
,"Maryland","24","20 - 27 weeks","02",550
,"Maryland","24","28 - 31 weeks","03",751
,"Maryland","24","32 - 35 weeks","04",3167
,"Maryland","24","36 weeks","05",2895
,"Maryland","24","37 - 39 weeks","06",44322
,"Maryland","24","40 weeks","07",15889
,"Maryland","24","41 weeks","08",5289
,"Maryland","24","42 weeks or more","09",180
,"Maryland","24","Unknown or Not Stated","10",48
,"Massachusetts","25","Under 20 weeks","01",18
,"Massachusetts","25","20 - 27 weeks","02",391
,"Massachusetts","25","28 - 31 weeks","03",513
,"Massachusetts","25","32 - 35 weeks","04",2753
,"Massachusetts","25","36 weeks","05",2493
,"Massachusetts","25","37 - 39 weeks","06",39933
,"Massachusetts","25","40 weeks","07",17160
,"Massachusetts","25","41 weeks","08",7597
,"Massachusetts","25","42 weeks or more","09",342
,"Massachusetts","25","Unknown or Not Stated","10",117
,"Michigan","26","Under 20 weeks","01",59
,"Michigan","26","20 - 27 weeks","02",788
,"Michigan","26","28 - 31 weeks","03",1092
,"Michigan","26","32 - 35 weeks","04",5124
,"Michigan","26","36 weeks","05",4427
,"Michigan","26","37 - 39 weeks","06",67267
,"Michigan","26","40 weeks","07",25028
,"Michigan","26","41 weeks","08",9034
,"Michigan","26","42 weeks or more","09",457
,"Michigan","26","Unknown or Not Stated","10",39
,"Minnesota","27","Under 20 weeks","01",28
,"Minnesota","27","20 - 27 weeks","02",386
,"Minnesota","27","28 - 31 weeks","03",526
,"Minnesota","27","32 - 35 weeks","04",2750
,"Minnesota","27","36 weeks","05",2431
,"Minnesota","27","37 - 39 weeks","06",40026
,"Minnesota","27","40 weeks","07",16175
,"Minnesota","27","41 weeks","08",6850
,"Minnesota","27","42 weeks or more","09",544
,"Minnesota","27","Unknown or Not Stated","10",33
,"Mississippi","28","Under 20 weeks","01",11
,"Mississippi","28","20 - 27 weeks","02",365
,"Mississippi","28","28 - 31 weeks","03",513
,"Mississippi","28","32 - 35 weeks","04",2262
,"Mississippi","28","36 weeks","05",2023
,"Mississippi","28","37 - 39 weeks","06",27453
,"Mississippi","28","40 weeks","07",4581
,"Mississippi","28","41 weeks","08",641
,"Mississippi","28","42 weeks or more","09",62
,"Mississippi","28","Unknown or Not Stated","10",17
,"Missouri","29","Under 20 weeks","01",33
,"Missouri","29","20 - 27 weeks","02",488
,"Missouri","29","28 - 31 weeks","03",684
,"Missouri","29","32 - 35 weeks","04",3412
,"Missouri","29","36 weeks","05",2967
,"Missouri","29","37 - 39 weeks","06",47514
,"Missouri","29","40 weeks","07",15397
,"Missouri","29","41 weeks","08",3814
,"Missouri","29","42 weeks or more","09",277
,"Missouri","29","Unknown or Not Stated","10",119
,"Montana","30","Under 20 weeks","01",Suppressed
,"Montana","30","20 - 27 weeks","02",62
,"Montana","30","28 - 31 weeks","03",94
,"Montana","30","32 - 35 weeks","04",486
,"Montana","30","36 weeks","05",430
,"Montana","30","37 - 39 weeks","06",7457
,"Montana","30","40 weeks","07",2734
,"Montana","30","41 weeks","08",953
,"Montana","30","42 weeks or more","09",53
,"Montana","30","Unknown or Not Stated","10",11
,"Nebraska","31","Under 20 weeks","01",Suppressed
,"Nebraska","31","20 - 27 weeks","02",134
,"Nebraska","31","28 - 31 weeks","03",239
,"Nebraska","31","32 - 35 weeks","04",1095
,"Nebraska","31","36 weeks","05",1078
,"Nebraska","31","37 - 39 weeks","06",17056
,"Nebraska","31","40 weeks","07",5570
,"Nebraska","31","41 weeks","08",1329
,"Nebraska","31","42 weeks or more","09",65
,"Nebraska","31","Unknown or Not Stated","10",15
,"Nevada","32","Under 20 weeks","01",Suppressed
,"Nevada","32","20 - 27 weeks","02",218
,"Nevada","32","28 - 31 weeks","03",333
,"Nevada","32","32 - 35 weeks","04",1637
,"Nevada","32","36 weeks","05",1565
,"Nevada","32","37 - 39 weeks","06",23517
,"Nevada","32","40 weeks","07",7368
,"Nevada","32","41 weeks","08",1529
,"Nevada","32","42 weeks or more","09",74
,"Nevada","32","Unknown or Not Stated","10",14
,"New Hampshire","33","Under 20 weeks","01",Suppressed
,"New Hampshire","33","20 - 27 weeks","02",50
,"New Hampshire","33","28 - 31 weeks","03",90
,"New Hampshire","33","32 - 35 weeks","04",437
,"New Hampshire","33","36 weeks","05",375
,"New Hampshire","33","37 - 39 weeks","06",6563
,"New Hampshire","33","40 weeks","07",3026
,"New Hampshire","33","41 weeks","08",1616
,"New Hampshire","33","42 weeks or more","09",93
,"New Hampshire","33","Unknown or Not Stated","10",15
,"New Jersey","34","Under 20 weeks","01",24
,"New Jersey","34","20 - 27 weeks","02",616
,"New Jersey","34","28 - 31 weeks","03",955
,"New Jersey","34","32 - 35 weeks","04",4526
,"New Jersey","34","36 weeks","05",4005
,"New Jersey","34","37 - 39 weeks","06",62927
,"New Jersey","34","40 weeks","07",22414
,"New Jersey","34","41 weeks","08",6853
,"New Jersey","34","42 weeks or more","09",287
,"New Jersey","34","Unknown or Not Stated","10",40
,"New Mexico","35","Under 20 weeks","01",11
,"New Mexico","35","20 - 27 weeks","02",146
,"New Mexico","35","28 - 31 weeks","03",270
,"New Mexico","35","32 - 35 weeks","04",1046
,"New Mexico","35","36 weeks","05",991
,"New Mexico","35","37 - 39 weeks","06",15381
,"New Mexico","35","40 weeks","07",5258
,"New Mexico","35","41 weeks","08",1472
,"New Mexico","35","42 weeks or more","09",101
,"New Mexico","35","Unknown or Not Stated","10",16
,"New York","36","Under 20 weeks","01",50
,"New York","36","20 - 27 weeks","02",1324
,"New York","36","28 - 31 weeks","03",2014
,"New York","36","32 - 35 weeks","04",9522
,"New York","36","36 weeks","05",8046
,"New York","36","37 - 39 weeks","06",135834
,"New York","36","40 weeks","07",56139
,"New York","36","41 weeks","08",20054
,"New York","36","42 weeks or more","09",1008
,"New York","36","Unknown or Not Stated","10",292
,"North Carolina","37","Under 20 weeks","01",58
,"North Carolina","37","20 - 27 weeks","02",969
,"North Carolina","37","28 - 31 weeks","03",1210
,"North Carolina","37","32 - 35 weeks","04",5749
,"North Carolina","37","36 weeks","05",4556
,"North Carolina","37","37 - 39 weeks","06",71805
,"North Carolina","37","40 weeks","07",26160
,"North Carolina","37","41 weeks","08",9803
,"North Carolina","37","42 weeks or more","09",419
,"North Carolina","37","Unknown or Not Stated","10",50
,"North Dakota","38","Under 20 weeks","01",Suppressed
,"North Dakota","38","20 - 27 weeks","02",70
,"North Dakota","38","28 - 31 weeks","03",104
,"North Dakota","38","32 - 35 weeks","04",436
,"North Dakota","38","36 weeks","05",423
,"North Dakota","38","37 - 39 weeks","06",6996
,"North Dakota","38","40 weeks","07",2556
,"North Dakota","38","41 weeks","08",756
,"North Dakota","38","42 weeks or more","09",31
,"North Dakota","38","Unknown or Not Stated","10",Suppressed
,"Ohio","39","Under 20 weeks","01",78
,"Ohio","39","20 - 27 weeks","02",1044
,"Ohio","39","28 - 31 weeks","03",1363
,"Ohio","39","32 - 35 weeks","04",6338
,"Ohio","39","36 weeks","05",5565
,"Ohio","39","37 - 39 weeks","06",88256
,"Ohio","39","40 weeks","07",27246
,"Ohio","39","41 weeks","08",7689
,"Ohio","39","42 weeks or more","09",388
,"Ohio","39","Unknown or Not Stated","10",118
,"Oklahoma","40","Under 20 weeks","01",20
,"Oklahoma","40","20 - 27 weeks","02",330
,"Oklahoma","40","28 - 31 weeks","03",446
,"Oklahoma","40","32 - 35 weeks","04",2472
,"Oklahoma","40","36 weeks","05",2329
,"Oklahoma","40","37 - 39 weeks","06",36423
,"Oklahoma","40","40 weeks","07",8626
,"Oklahoma","40","41 weeks","08",1764
,"Oklahoma","40","42 weeks or more","09",145
,"Oklahoma","40","Unknown or Not Stated","10",37
,"Oregon","41","Under 20 weeks","01",10
,"Oregon","41","20 - 27 weeks","02",205
,"Oregon","41","28 - 31 weeks","03",312
,"Oregon","41","32 - 35 weeks","04",1628
,"Oregon","41","36 weeks","05",1465
,"Oregon","41","37 - 39 weeks","06",25736
,"Oregon","41","40 weeks","07",10987
,"Oregon","41","41 weeks","08",4802
,"Oregon","41","42 weeks or more","09",375
,"Oregon","41","Unknown or Not Stated","10",15
,"Pennsylvania","42","Under 20 weeks","01",70
,"Pennsylvania","42","20 - 27 weeks","02",904
,"Pennsylvania","42","28 - 31 weeks","03",1258
,"Pennsylvania","42","32 - 35 weeks","04",5761
,"Pennsylvania","42","36 weeks","05",4969
,"Pennsylvania","42","37 - 39 weeks","06",82654
,"Pennsylvania","42","40 weeks","07",31310
,"Pennsylvania","42","41 weeks","08",11740
,"Pennsylvania","42","42 weeks or more","09",509
,"Pennsylvania","42","Unknown or Not Stated","10",234
,"Rhode Island","44","Under 20 weeks","01",Suppressed
,"Rhode Island","44","20 - 27 weeks","02",62
,"Rhode Island","44","28 - 31 weeks","03",105
,"Rhode Island","44","32 - 35 weeks","04",420
,"Rhode Island","44","36 weeks","05",414
,"Rhode Island","44","37 - 39 weeks","06",6529
,"Rhode Island","44","40 weeks","07",2318
,"Rhode Island","44","41 weeks","08",906
,"Rhode Island","44","42 weeks or more","09",28
,"Rhode Island","44","Unknown or Not Stated","10",Suppressed
,"South Carolina","45","Under 20 weeks","01",13
,"South Carolina","45","20 - 27 weeks","02",464
,"South Carolina","45","28 - 31 weeks","03",659
,"South Carolina","45","32 - 35 weeks","04",2891
,"South Carolina","45","36 weeks","05",2368
,"South Carolina","45","37 - 39 weeks","06",37419
,"South Carolina","45","40 weeks","07",10764
,"South Carolina","45","41 weeks","08",2633
,"South Carolina","45","42 weeks or more","09",116
,"South Carolina","45","Unknown or Not Stated","10",15
,"South Dakota","46","Under 20 weeks","01",Suppressed
,"South Dakota","46","20 - 27 weeks","02",43
,"South Dakota","46","28 - 31 weeks","03",101
,"South Dakota","46","32 - 35 weeks","04",495
,"South Dakota","46","36 weeks","05",458
,"South Dakota","46","37 - 39 weeks","06",7372
,"South Dakota","46","40 weeks","07",2778
,"South Dakota","46","41 weeks","08",932
,"South Dakota","46","42 weeks or more","09",88
,"South Dakota","46","Unknown or Not Stated","10",Suppressed
,"Tennessee","47","Under 20 weeks","01",25
,"Tennessee","47","20 - 27 weeks","02",541
,"Tennessee","47","28 - 31 weeks","03",924
,"Tennessee","47","32 - 35 weeks","04",4085
,"Tennessee","47","36 weeks","05",3510
,"Tennessee","47","37 - 39 weeks","06",53366
,"Tennessee","47","40 weeks","07",14299
,"Tennessee","47","41 weeks","08",3390
,"Tennessee","47","42 weeks or more","09",200
,"Tennessee","47","Unknown or Not Stated","10",467
,"Texas","48","Under 20 weeks","01",117
,"Texas","48","20 - 27 weeks","02",2649
,"Texas","48","28 - 31 weeks","03",3827
,"Texas","48","32 - 35 weeks","04",18428
,"Texas","48","36 weeks","05",16367
,"Texas","48","37 - 39 weeks","06",270354
,"Texas","48","40 weeks","07",69228
,"Texas","48","41 weeks","08",15394
,"Texas","48","42 weeks or more","09",1308
,"Texas","48","Unknown or Not Stated","10",375
,"Utah","49","Under 20 weeks","01",17
,"Utah","49","20 - 27 weeks","02",236
,"Utah","49","28 - 31 weeks","03",431
,"Utah","49","32 - 35 weeks","04",2111
,"Utah","49","36 weeks","05",2056
,"Utah","49","37 - 39 weeks","06",34486
,"Utah","49","40 weeks","07",8416
,"Utah","49","41 weeks","08",2583
,"Utah","49","42 weeks or more","09",128
,"Utah","49","Unknown or Not Stated","10",0
,"Vermont","50","Under 20 weeks","01",0
,"Vermont","50","20 - 27 weeks","02",28
,"Vermont","50","28 - 31 weeks","03",46
,"Vermont","50","32 - 35 weeks","04",206
,"Vermont","50","36 weeks","05",177
,"Vermont","50","37 - 39 weeks","06",2977
,"Vermont","50","40 weeks","07",1473
,"Vermont","50","41 weeks","08",771
,"Vermont","50","42 weeks or more","09",68
,"Vermont","50","Unknown or Not Stated","10",10
,"Virginia","51","Under 20 weeks","01",44
,"Virginia","51","20 - 27 weeks","02",675
,"Virginia","51","28 - 31 weeks","03",920
,"Virginia","51","32 - 35 weeks","04",4382
,"Virginia","51","36 weeks","05",3771
,"Virginia","51","37 - 39 weeks","06",62610
,"Virginia","51","40 weeks","07",22163
,"Virginia","51","41 weeks","08",7447
,"Virginia","51","42 weeks or more","09",410
,"Virginia","51","Unknown or Not Stated","10",38
,"Washington","53","Under 20 weeks","01",Suppressed
,"Washington","53","20 - 27 weeks","02",366
,"Washington","53","28 - 31 weeks","03",659
,"Washington","53","32 - 35 weeks","04",3360
,"Washington","53","36 weeks","05",2970
,"Washington","53","37 - 39 weeks","06",51316
,"Washington","53","40 weeks","07",21464
,"Washington","53","41 weeks","08",9608
,"Washington","53","42 weeks or more","09",678
,"Washington","53","Unknown or Not Stated","10",75
,"West Virginia","54","Under 20 weeks","01",Suppressed
,"West Virginia","54","20 - 27 weeks","02",127
,"West Virginia","54","28 - 31 weeks","03",174
,"West Virginia","54","32 - 35 weeks","04",1097
,"West Virginia","54","36 weeks","05",854
,"West Virginia","54","37 - 39 weeks","06",12936
,"West Virginia","54","40 weeks","07",2995
,"West Virginia","54","41 weeks","08",844
,"West Virginia","54","42 weeks or more","09",37
,"West Virginia","54","Unknown or Not Stated","10",Suppressed
,"Wisconsin","55","Under 20 weeks","01",24
,"Wisconsin","55","20 - 27 weeks","02",387
,"Wisconsin","55","28 - 31 weeks","03",580
,"Wisconsin","55","32 - 35 weeks","04",2893
,"Wisconsin","55","36 weeks","05",2501
,"Wisconsin","55","37 - 39 weeks","06",40712
,"Wisconsin","55","40 weeks","07",14779
,"Wisconsin","55","41 weeks","08",4445
,"Wisconsin","55","42 weeks or more","09",255
,"Wisconsin","55","Unknown or Not Stated","10",39
,"Wyoming","56","Under 20 weeks","01",Suppressed
,"Wyoming","56","20 - 27 weeks","02",48
,"Wyoming","56","28 - 31 weeks","03",64
,"Wyoming","56","32 - 35 weeks","04",316
,"Wyoming","56","36 weeks","05",270
,"Wyoming","56","37 - 39 weeks","06",4696
,"Wyoming","56","40 weeks","07",1505
,"Wyoming","56","41 weeks","08",432
,"Wyoming","56","42 weeks or more","09",52
,"Wyoming","56","Unknown or Not Stated","10",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2016"
"Group By: State of Residence; OE Gestational Age Recode 10"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:00:15 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:00:15 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
