"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Hawaii","15","7th to final month","3",1039
,"Hawaii","15","No prenatal care","4",303
,"Hawaii","15","Unknown or Not Stated","5",633
,"Hawaii","15","Not Reported","100",0
,"Idaho","16","1st to 3rd month","1",17644
,"Idaho","16","4th to 6th month","2",3700
,"Idaho","16","7th to final month","3",854
,"Idaho","16","No prenatal care","4",143
,"Idaho","16","Unknown or Not Stated","5",141
,"Idaho","16","Not Reported","100",0
,"Illinois","17","1st to 3rd month","1",115218
,"Illinois","17","4th to 6th month","2",24673
,"Illinois","17","7th to final month","3",6536
,"Illinois","17","No prenatal care","4",2052
,"Illinois","17","Unknown or Not Stated","5",5966
,"Illinois","17","Not Reported","100",0
,"Indiana","18","1st to 3rd month","1",61175
,"Indiana","18","4th to 6th month","2",16754
,"Indiana","18","7th to final month","3",3843
,"Indiana","18","No prenatal care","4",1128
,"Indiana","18","Unknown or Not Stated","5",191
,"Indiana","18","Not Reported","100",0
,"Iowa","19","1st to 3rd month","1",31801
,"Iowa","19","4th to 6th month","2",5704
,"Iowa","19","7th to final month","3",1419
,"Iowa","19","No prenatal care","4",289
,"Iowa","19","Unknown or Not Stated","5",190
,"Iowa","19","Not Reported","100",0
,"Kansas","20","1st to 3rd month","1",31433
,"Kansas","20","4th to 6th month","2",5098
,"Kansas","20","7th to final month","3",1076
,"Kansas","20","No prenatal care","4",351
,"Kansas","20","Unknown or Not Stated","5",95
,"Kansas","20","Not Reported","100",0
,"Kentucky","21","1st to 3rd month","1",42142
,"Kentucky","21","4th to 6th month","2",8207
,"Kentucky","21","7th to final month","3",2217
,"Kentucky","21","No prenatal care","4",801
,"Kentucky","21","Unknown or Not Stated","5",2082
,"Kentucky","21","Not Reported","100",0
,"Louisiana","22","1st to 3rd month","1",45667
,"Louisiana","22","4th to 6th month","2",11268
,"Louisiana","22","7th to final month","3",2659
,"Louisiana","22","No prenatal care","4",1609
,"Louisiana","22","Unknown or Not Stated","5",1975
,"Louisiana","22","Not Reported","100",0
,"Maine","23","1st to 3rd month","1",10847
,"Maine","23","4th to 6th month","2",1398
,"Maine","23","7th to final month","3",372
,"Maine","23","No prenatal care","4",51
,"Maine","23","Unknown or Not Stated","5",37
,"Maine","23","Not Reported","100",0
,"Maryland","24","1st to 3rd month","1",49044
,"Maryland","24","4th to 6th month","2",13748
,"Maryland","24","7th to final month","3",4322
,"Maryland","24","No prenatal care","4",1013
,"Maryland","24","Unknown or Not Stated","5",5009
,"Maryland","24","Not Reported","100",0
,"Massachusetts","25","1st to 3rd month","1",58911
,"Massachusetts","25","4th to 6th month","2",7715
,"Massachusetts","25","7th to final month","3",2701
,"Massachusetts","25","No prenatal care","4",453
,"Massachusetts","25","Unknown or Not Stated","5",1537
,"Massachusetts","25","Not Reported","100",0
,"Michigan","26","1st to 3rd month","1",87826
,"Michigan","26","4th to 6th month","2",17104
,"Michigan","26","7th to final month","3",3596
,"Michigan","26","No prenatal care","4",1599
,"Michigan","26","Unknown or Not Stated","5",3190
,"Michigan","26","Not Reported","100",0
,"Minnesota","27","1st to 3rd month","1",56225
,"Minnesota","27","4th to 6th month","2",9786
,"Minnesota","27","7th to final month","3",2251
,"Minnesota","27","No prenatal care","4",440
,"Minnesota","27","Unknown or Not Stated","5",1047
,"Minnesota","27","Not Reported","100",0
,"Mississippi","28","1st to 3rd month","1",29182
,"Mississippi","28","4th to 6th month","2",6325
,"Mississippi","28","7th to final month","3",1287
,"Mississippi","28","No prenatal care","4",471
,"Mississippi","28","Unknown or Not Stated","5",663
,"Mississippi","28","Not Reported","100",0
,"Missouri","29","1st to 3rd month","1",54806
,"Missouri","29","4th to 6th month","2",12021
,"Missouri","29","7th to final month","3",2884
,"Missouri","29","No prenatal care","4",906
,"Missouri","29","Unknown or Not Stated","5",4088
,"Missouri","29","Not Reported","100",0
,"Montana","30","1st to 3rd month","1",9205
,"Montana","30","4th to 6th month","2",2235
,"Montana","30","7th to final month","3",659
,"Montana","30","No prenatal care","4",133
,"Montana","30","Unknown or Not Stated","5",50
,"Montana","30","Not Reported","100",0
,"Nebraska","31","1st to 3rd month","1",20381
,"Nebraska","31","4th to 6th month","2",4304
,"Nebraska","31","7th to final month","3",1032
,"Nebraska","31","No prenatal care","4",388
,"Nebraska","31","Unknown or Not Stated","5",484
,"Nebraska","31","Not Reported","100",0
,"Nevada","32","1st to 3rd month","1",25133
,"Nevada","32","4th to 6th month","2",6437
,"Nevada","32","7th to final month","3",1156
,"Nevada","32","No prenatal care","4",1676
,"Nevada","32","Unknown or Not Stated","5",1858
,"Nevada","32","Not Reported","100",0
,"New Hampshire","33","1st to 3rd month","1",10411
,"New Hampshire","33","4th to 6th month","2",1359
,"New Hampshire","33","7th to final month","3",375
,"New Hampshire","33","No prenatal care","4",65
,"New Hampshire","33","Unknown or Not Stated","5",57
,"New Hampshire","33","Not Reported","100",0
,"New Jersey","34","1st to 3rd month","1",77067
,"New Jersey","34","4th to 6th month","2",17841
,"New Jersey","34","7th to final month","3",4192
,"New Jersey","34","No prenatal care","4",1628
,"New Jersey","34","Unknown or Not Stated","5",1919
,"New Jersey","34","Not Reported","100",0
,"New Mexico","35","1st to 3rd month","1",16669
,"New Mexico","35","4th to 6th month","2",4689
,"New Mexico","35","7th to final month","3",1811
,"New Mexico","35","No prenatal care","4",774
,"New Mexico","35","Unknown or Not Stated","5",749
,"New Mexico","35","Not Reported","100",0
,"New York","36","1st to 3rd month","1",185073
,"New York","36","4th to 6th month","2",32524
,"New York","36","7th to final month","3",10407
,"New York","36","No prenatal care","4",1235
,"New York","36","Unknown or Not Stated","5",5044
,"New York","36","Not Reported","100",0
,"North Carolina","37","1st to 3rd month","1",89983
,"North Carolina","37","4th to 6th month","2",22891
,"North Carolina","37","7th to final month","3",5286
,"North Carolina","37","No prenatal care","4",1928
,"North Carolina","37","Unknown or Not Stated","5",691
,"North Carolina","37","Not Reported","100",0
,"North Dakota","38","1st to 3rd month","1",8504
,"North Dakota","38","4th to 6th month","2",1745
,"North Dakota","38","7th to final month","3",604
,"North Dakota","38","No prenatal care","4",38
,"North Dakota","38","Unknown or Not Stated","5",492
,"North Dakota","38","Not Reported","100",0
,"Ohio","39","1st to 3rd month","1",102674
,"Ohio","39","4th to 6th month","2",24743
,"Ohio","39","7th to final month","3",6684
,"Ohio","39","No prenatal care","4",2088
,"Ohio","39","Unknown or Not Stated","5",1896
,"Ohio","39","Not Reported","100",0
,"Oklahoma","40","1st to 3rd month","1",37411
,"Oklahoma","40","4th to 6th month","2",10216
,"Oklahoma","40","7th to final month","3",2832
,"Oklahoma","40","No prenatal care","4",946
,"Oklahoma","40","Unknown or Not Stated","5",1187
,"Oklahoma","40","Not Reported","100",0
,"Oregon","41","1st to 3rd month","1",36728
,"Oregon","41","4th to 6th month","2",6501
,"Oregon","41","7th to final month","3",1608
,"Oregon","41","No prenatal care","4",378
,"Oregon","41","Unknown or Not Stated","5",320
,"Oregon","41","Not Reported","100",0
,"Pennsylvania","42","1st to 3rd month","1",104692
,"Pennsylvania","42","4th to 6th month","2",22300
,"Pennsylvania","42","7th to final month","3",6347
,"Pennsylvania","42","No prenatal care","4",2090
,"Pennsylvania","42","Unknown or Not Stated","5",3980
,"Pennsylvania","42","Not Reported","100",0
,"Rhode Island","44","1st to 3rd month","1",8677
,"Rhode Island","44","4th to 6th month","2",1374
,"Rhode Island","44","7th to final month","3",130
,"Rhode Island","44","No prenatal care","4",40
,"Rhode Island","44","Unknown or Not Stated","5",577
,"Rhode Island","44","Not Reported","100",0
,"South Carolina","45","1st to 3rd month","1",41225
,"South Carolina","45","4th to 6th month","2",11883
,"South Carolina","45","7th to final month","3",3244
,"South Carolina","45","No prenatal care","4",876
,"South Carolina","45","Unknown or Not Stated","5",114
,"South Carolina","45","Not Reported","100",0
,"South Dakota","46","1st to 3rd month","1",9326
,"South Dakota","46","4th to 6th month","2",2133
,"South Dakota","46","7th to final month","3",592
,"South Dakota","46","No prenatal care","4",98
,"South Dakota","46","Unknown or Not Stated","5",126
,"South Dakota","46","Not Reported","100",0
,"Tennessee","47","1st to 3rd month","1",51493
,"Tennessee","47","4th to 6th month","2",13657
,"Tennessee","47","7th to final month","3",3101
,"Tennessee","47","No prenatal care","4",1134
,"Tennessee","47","Unknown or Not Stated","5",11422
,"Tennessee","47","Not Reported","100",0
,"Texas","48","1st to 3rd month","1",262351
,"Texas","48","4th to 6th month","2",88450
,"Texas","48","7th to final month","3",27222
,"Texas","48","No prenatal care","4",13524
,"Texas","48","Unknown or Not Stated","5",6500
,"Texas","48","Not Reported","100",0
,"Utah","49","1st to 3rd month","1",41057
,"Utah","49","4th to 6th month","2",6965
,"Utah","49","7th to final month","3",1739
,"Utah","49","No prenatal care","4",225
,"Utah","49","Unknown or Not Stated","5",478
,"Utah","49","Not Reported","100",0
,"Vermont","50","1st to 3rd month","1",5144
,"Vermont","50","4th to 6th month","2",507
,"Vermont","50","7th to final month","3",64
,"Vermont","50","No prenatal care","4",30
,"Vermont","50","Unknown or Not Stated","5",11
,"Vermont","50","Not Reported","100",0
,"Virginia","51","1st to 3rd month","1",78094
,"Virginia","51","4th to 6th month","2",15327
,"Virginia","51","7th to final month","3",3379
,"Virginia","51","No prenatal care","4",953
,"Virginia","51","Unknown or Not Stated","5",4707
,"Virginia","51","Not Reported","100",0
,"Washington","53","1st to 3rd month","1",66763
,"Washington","53","4th to 6th month","2",13929
,"Washington","53","7th to final month","3",4510
,"Washington","53","No prenatal care","4",921
,"Washington","53","Unknown or Not Stated","5",4382
,"Washington","53","Not Reported","100",0
,"West Virginia","54","1st to 3rd month","1",14989
,"West Virginia","54","4th to 6th month","2",2861
,"West Virginia","54","7th to final month","3",812
,"West Virginia","54","No prenatal care","4",265
,"West Virginia","54","Unknown or Not Stated","5",152
,"West Virginia","54","Not Reported","100",0
,"Wisconsin","55","1st to 3rd month","1",53476
,"Wisconsin","55","4th to 6th month","2",8668
,"Wisconsin","55","7th to final month","3",2270
,"Wisconsin","55","No prenatal care","4",381
,"Wisconsin","55","Unknown or Not Stated","5",1820
,"Wisconsin","55","Not Reported","100",0
,"Wyoming","56","1st to 3rd month","1",5678
,"Wyoming","56","4th to 6th month","2",1262
,"Wyoming","56","7th to final month","3",284
,"Wyoming","56","No prenatal care","4",77
,"Wyoming","56","Unknown or Not Stated","5",85
,"Wyoming","56","Not Reported","100",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2016"
"Group By: State of Residence; Trimester Prenatal Care Began"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:03:38 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:03:38 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
