"Age Group","Mechanism","Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"0 to 4","Other specified / NEC","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Unspecified","2023","Alabama","--","293,105","--","--","--"
"0 to 4","Unspecified","2023","Arizona","--","393,531","--","--","--"
"0 to 4","Unspecified","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Unspecified","2023","California","--","2,097,790","--","--","--"
"0 to 4","Unspecified","2023","Colorado","--","308,959","--","--","--"
"0 to 4","Unspecified","2023","Connecticut","--","180,673","--","--","--"
"0 to 4","Unspecified","2023","Delaware","--","54,471","--","--","--"
"0 to 4","Unspecified","2023","District of Columbia","--","38,586","--","--","--"
"0 to 4","Unspecified","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Unspecified","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Unspecified","2023","Idaho","--","113,383","--","--","--"
"0 to 4","Unspecified","2023","Illinois","--","664,874","--","--","--"
"0 to 4","Unspecified","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Unspecified","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Unspecified","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Unspecified","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Unspecified","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Unspecified","2023","Maryland","--","349,713","--","--","--"
"0 to 4","Unspecified","2023","Massachusetts","--","343,943","--","--","--"
"0 to 4","Unspecified","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Unspecified","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Unspecified","2023","Mississippi","--","173,870","--","--","--"
"0 to 4","Unspecified","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Unspecified","2023","Montana","--","57,574","--","--","--"
"0 to 4","Unspecified","2023","Nebraska","--","123,659","--","--","--"
"0 to 4","Unspecified","2023","Nevada","--","171,440","--","--","--"
"0 to 4","Unspecified","2023","New Mexico","--","107,321","--","--","--"
"0 to 4","Unspecified","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Unspecified","2023","North Carolina","--","606,455","--","--","--"
"0 to 4","Unspecified","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Unspecified","2023","Oklahoma","--","244,277","--","--","--"
"0 to 4","Unspecified","2023","Oregon","--","202,332","--","--","--"
"0 to 4","Unspecified","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Unspecified","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Unspecified","2023","South Dakota","--","57,935","--","--","--"
"0 to 4","Unspecified","2023","Tennessee","--","411,380","--","--","--"
"0 to 4","Unspecified","2023","Texas","21","1,936,893","1.08","--","1,352"
"0 to 4","Unspecified","2023","Utah","--","231,295","--","--","--"
"0 to 4","Unspecified","2023","Virginia","--","485,946","--","--","--"
"0 to 4","Unspecified","2023","Washington","--","421,127","--","--","--"
"0 to 4","Unspecified","2023","West Virginia","--","87,399","--","--","--"
"0 to 4","Unspecified","2023","Wisconsin","--","310,374","--","--","--"
"5 to 9","","2023","Connecticut","--","195,555","0.00**","--","--"
"5 to 9","","2023","Delaware","--","58,192","0.00**","--","--"
"5 to 9","","2023","Hawaii","--","84,275","0.00**","--","--"
"5 to 9","","2023","Idaho","--","128,907","0.00**","--","--"
"5 to 9","","2023","Iowa","--","202,391","0.00**","--","--"
"5 to 9","","2023","Maine","--","68,303","0.00**","--","--"
"5 to 9","","2023","Montana","--","66,059","0.00**","--","--"
"5 to 9","","2023","Nebraska","--","134,844","0.00**","--","--"
"5 to 9","","2023","Rhode Island","--","56,349","0.00**","--","--"
"5 to 9","","2023","South Dakota","--","62,339","0.00**","--","--"
"5 to 9","","2023","Vermont","--","31,648","0.00**","--","--"
"5 to 9","","2023","West Virginia","--","96,085","0.00**","--","--"
"5 to 9","","2023","Wyoming","--","35,635","0.00**","--","--"
"5 to 9","Cut/Pierce","2023","Alabama","--","312,594","--","--","--"
"5 to 9","Cut/Pierce","2023","California","--","2,334,129","--","--","--"
"5 to 9","Cut/Pierce","2023","Colorado","--","332,412","--","--","--"
"5 to 9","Cut/Pierce","2023","Georgia","--","695,568","--","--","--"
"5 to 9","Cut/Pierce","2023","Illinois","--","749,735","--","--","--"
"5 to 9","Cut/Pierce","2023","Massachusetts","--","365,200","--","--","--"
"5 to 9","Cut/Pierce","2023","New Jersey","--","553,028","--","--","--"
"5 to 9","Cut/Pierce","2023","New York","--","1,100,000","--","--","--"
"5 to 9","Cut/Pierce","2023","Oklahoma","--","270,101","--","--","--"
"5 to 9","Cut/Pierce","2023","South Carolina","--","313,144","--","--","--"
"5 to 9","Cut/Pierce","2023","Texas","--","2,108,286","--","--","--"
"5 to 9","Drowning (includes water transport)","2023","Florida","--","1,213,256","--","--","--"
"5 to 9","Drowning (includes water transport)","2023","South Carolina","--","313,144","--","--","--"
"5 to 9","Drowning (includes water transport)","2023","Texas","--","2,108,286","--","--","--"
"5 to 9","Fire/Flame","2023","Kansas","--","191,193","--","--","--"
"5 to 9","Fire/Flame","2023","Louisiana","--","298,458","--","--","--"
"5 to 9","Fire/Flame","2023","New Mexico","--","123,012","--","--","--"
"5 to 9","Fire/Flame","2023","Tennessee","--","432,891","--","--","--"
"5 to 9","Fire/Flame","2023","Washington","--","461,780","--","--","--"
"5 to 9","Firearm","2023","Alabama","--","312,594","--","--","--"
"5 to 9","Firearm","2023","Alaska","--","49,782","--","--","--"
"5 to 9","Firearm","2023","Arizona","--","435,999","--","--","--"
"5 to 9","Firearm","2023","Arkansas","--","195,742","--","--","--"
"5 to 9","Firearm","2023","California","--","2,334,129","--","--","--"
"5 to 9","Firearm","2023","Colorado","--","332,412","--","--","--"
"5 to 9","Firearm","2023","Florida","--","1,213,256","--","--","--"
"5 to 9","Firearm","2023","Georgia","--","695,568","--","--","--"
"5 to 9","Firearm","2023","Illinois","--","749,735","--","--","--"
"5 to 9","Firearm","2023","Indiana","--","439,941","--","--","--"
"5 to 9","Firearm","2023","Kansas","--","191,193","--","--","--"
"5 to 9","Firearm","2023","Kentucky","--","282,087","--","--","--"
"5 to 9","Firearm","2023","Louisiana","--","298,458","--","--","--"
"5 to 9","Firearm","2023","Maryland","--","377,983","--","--","--"
"5 to 9","Firearm","2023","Michigan","--","586,540","--","--","--"
"5 to 9","Firearm","2023","Mississippi","--","183,294","--","--","--"
"5 to 9","Firearm","2023","Missouri","--","380,727","--","--","--"
"5 to 9","Firearm","2023","Nevada","--","190,295","--","--","--"
"5 to 9","Firearm","2023","New Jersey","--","553,028","--","--","--"
"5 to 9","Firearm","2023","New Mexico","--","123,012","--","--","--"
"5 to 9","Firearm","2023","New York","--","1,100,000","--","--","--"
"5 to 9","Firearm","2023","North Carolina","--","639,000","--","--","--"
"5 to 9","Firearm","2023","Ohio","--","717,092","--","--","--"
"5 to 9","Firearm","2023","Oklahoma","--","270,101","--","--","--"
"5 to 9","Firearm","2023","Pennsylvania","--","726,342","--","--","--"
"5 to 9","Firearm","2023","South Carolina","--","313,144","--","--","--"
"5 to 9","Firearm","2023","Tennessee","--","432,891","--","--","--"
"5 to 9","Firearm","2023","Texas","--","2,108,286","--","--","--"
"5 to 9","Firearm","2023","Utah","--","255,057","--","--","--"
"5 to 9","Firearm","2023","Virginia","--","523,016","--","--","--"
"5 to 9","Firearm","2023","Washington","--","461,780","--","--","--"
"5 to 9","Drug Poisoning","2023","Louisiana","--","298,458","--","--","--"
"5 to 9","Drug Poisoning","2023","New York","--","1,100,000","--","--","--"
"5 to 9","Drug Poisoning","2023","Ohio","--","717,092","--","--","--"
"5 to 9","Drug Poisoning","2023","Texas","--","2,108,286","--","--","--"
"5 to 9","Non-Drug Poisoning","2023","Pennsylvania","--","726,342","--","--","--"
"5 to 9","Suffocation","2023","Arizona","--","435,999","--","--","--"
"5 to 9","Suffocation","2023","California","--","2,334,129","--","--","--"
"5 to 9","Suffocation","2023","Georgia","--","695,568","--","--","--"
"5 to 9","Suffocation","2023","Illinois","--","749,735","--","--","--"
"5 to 9","Suffocation","2023","Kentucky","--","282,087","--","--","--"
"5 to 9","Suffocation","2023","Louisiana","--","298,458","--","--","--"
"5 to 9","Suffocation","2023","Massachusetts","--","365,200","--","--","--"
"5 to 9","Suffocation","2023","Missouri","--","380,727","--","--","--"
"5 to 9","Suffocation","2023","New Jersey","--","553,028","--","--","--"
"5 to 9","Suffocation","2023","New York","--","1,100,000","--","--","--"
"5 to 9","Suffocation","2023","South Carolina","--","313,144","--","--","--"
"5 to 9","Suffocation","2023","Texas","--","2,108,286","--","--","--"
"5 to 9","Transport, other land","2023","California","--","2,334,129","--","--","--"
"5 to 9","Transport, other land","2023","Colorado","--","332,412","--","--","--"
"5 to 9","Transport, other land","2023","Missouri","--","380,727","--","--","--"
"5 to 9","Transport, other land","2023","Virginia","--","523,016","--","--","--"
"5 to 9","Other specified and classifiable","2023","Alabama","--","312,594","--","--","--"
"5 to 9","Other specified and classifiable","2023","Arizona","--","435,999","--","--","--"
"5 to 9","Other specified and classifiable","2023","Georgia","--","695,568","--","--","--"
"5 to 9","Other specified and classifiable","2023","Kansas","--","191,193","--","--","--"
"5 to 9","Other specified and classifiable","2023","Maryland","--","377,983","--","--","--"
"5 to 9","Other specified and classifiable","2023","New Mexico","--","123,012","--","--","--"
"5 to 9","Other specified and classifiable","2023","New York","--","1,100,000","--","--","--"
"5 to 9","Other specified and classifiable","2023","Ohio","--","717,092","--","--","--"
"5 to 9","Other specified / NEC","2023","Colorado","--","332,412","--","--","--"
"5 to 9","Other specified / NEC","2023","District of Columbia","--","37,493","--","--","--"
"5 to 9","Other specified / NEC","2023","Florida","--","1,213,256","--","--","--"
"5 to 9","Other specified / NEC","2023","Illinois","--","749,735","--","--","--"
"5 to 9","Other specified / NEC","2023","Kentucky","--","282,087","--","--","--"
"5 to 9","Other specified / NEC","2023","Michigan","--","586,540","--","--","--"
"5 to 9","Other specified / NEC","2023","Minnesota","--","363,183","--","--","--"
"5 to 9","Other specified / NEC","2023","New Hampshire","--","67,784","--","--","--"
"5 to 9","Other specified / NEC","2023","New York","--","1,100,000","--","--","--"
"5 to 9","Other specified / NEC","2023","North Dakota","--","53,378","--","--","--"
"5 to 9","Other specified / NEC","2023","Ohio","--","717,092","--","--","--"
"5 to 9","Other specified / NEC","2023","Texas","--","2,108,286","--","--","--"
"5 to 9","Unspecified","2023","Colorado","--","332,412","--","--","--"
"5 to 9","Unspecified","2023","Florida","--","1,213,256","--","--","--"
"5 to 9","Unspecified","2023","Illinois","--","749,735","--","--","--"
"5 to 9","Unspecified","2023","Kansas","--","191,193","--","--","--"
"5 to 9","Unspecified","2023","Kentucky","--","282,087","--","--","--"
"5 to 9","Unspecified","2023","Mississippi","--","183,294","--","--","--"
"5 to 9","Unspecified","2023","New York","--","1,100,000","--","--","--"
"5 to 9","Unspecified","2023","North Carolina","--","639,000","--","--","--"
"5 to 9","Unspecified","2023","Ohio","--","717,092","--","--","--"
"5 to 9","Unspecified","2023","Oregon","--","230,120","--","--","--"
"5 to 9","Unspecified","2023","Pennsylvania","--","726,342","--","--","--"
"5 to 9","Unspecified","2023","Tennessee","--","432,891","--","--","--"
"5 to 9","Unspecified","2023","Texas","--","2,108,286","--","--","--"
"5 to 9","Unspecified","2023","Virginia","--","523,016","--","--","--"
"5 to 9","Unspecified","2023","Wisconsin","--","342,533","--","--","--"
"10 to 14","","2023","Rhode Island","--","57,396","0.00**","--","--"
"10 to 14","Cut/Pierce","2023","California","--","2,444,811","--","--","--"
"10 to 14","Cut/Pierce","2023","Florida","--","1,244,006","--","--","--"
"10 to 14","Cut/Pierce","2023","Michigan","--","604,635","--","--","--"
"10 to 14","Cut/Pierce","2023","Nevada","--","197,957","--","--","--"
"10 to 14","Cut/Pierce","2023","New Jersey","--","572,245","--","--","--"
"10 to 14","Cut/Pierce","2023","New York","--","1,120,494","--","--","--"
"10 to 14","Cut/Pierce","2023","Pennsylvania","--","753,881","--","--","--"
"10 to 14","Cut/Pierce","2023","South Carolina","--","327,903","--","--","--"
"10 to 14","Cut/Pierce","2023","West Virginia","--","102,617","--","--","--"
"10 to 14","Drowning (includes water transport)","2023","Nevada","--","197,957","--","--","--"
"10 to 14","Drowning (includes water transport)","2023","New York","--","1,120,494","--","--","--"
"10 to 14","Drowning (includes water transport)","2023","Washington","--","471,988","--","--","--"
"10 to 14","Fall","2023","California","--","2,444,811","--","--","--"
"10 to 14","Fall","2023","Hawaii","--","83,620","--","--","--"
"10 to 14","Fall","2023","Idaho","--","136,658","--","--","--"
"10 to 14","Fall","2023","New Hampshire","--","73,205","--","--","--"
"10 to 14","Fall","2023","New Jersey","--","572,245","--","--","--"
"10 to 14","Fire/Flame","2023","Tennessee","--","441,736","--","--","--"
"10 to 14","Firearm","2023","Alabama","19**","319,834","5.94**","--","989"
"10 to 14","Firearm","2023","Alaska","--","50,389","--","--","--"
"10 to 14","Firearm","2023","Arizona","--","456,089","--","--","--"
"10 to 14","Firearm","2023","Arkansas","--","199,783","--","--","--"
"10 to 14","Firearm","2023","California","18**","2,444,811","0.74**","--","939"
"10 to 14","Firearm","2023","Colorado","12**","348,587","3.44**","--","618"
"10 to 14","Firearm","2023","Connecticut","--","207,870","--","--","--"
"10 to 14","Firearm","2023","District of Columbia","--","32,975","--","--","--"
"10 to 14","Firearm","2023","Florida","30","1,244,006","2.41","--","1,577"
"10 to 14","Firearm","2023","Georgia","25","731,329","3.42","--","1,298"
"10 to 14","Firearm","2023","Idaho","--","136,658","--","--","--"
"10 to 14","Firearm","2023","Illinois","17**","781,468","2.18**","--","878"
"10 to 14","Firearm","2023","Indiana","15**","452,321","3.32**","--","778"
"10 to 14","Firearm","2023","Iowa","--","207,207","--","--","--"
"10 to 14","Firearm","2023","Kansas","--","201,373","--","--","--"
"10 to 14","Firearm","2023","Kentucky","--","287,377","--","--","--"
"10 to 14","Firearm","2023","Louisiana","18**","298,538","6.03**","--","934"
"10 to 14","Firearm","2023","Maine","--","71,627","--","--","--"
"10 to 14","Firearm","2023","Maryland","--","388,516","--","--","--"
"10 to 14","Firearm","2023","Massachusetts","--","382,761","--","--","--"
"10 to 14","Firearm","2023","Michigan","14**","604,635","2.32**","--","728"
"10 to 14","Firearm","2023","Minnesota","--","372,675","--","--","--"
"10 to 14","Firearm","2023","Mississippi","--","192,883","--","--","--"
"10 to 14","Firearm","2023","Missouri","--","391,232","--","--","--"
"10 to 14","Firearm","2023","Montana","--","68,426","--","--","--"
"10 to 14","Firearm","2023","Nebraska","--","136,625","--","--","--"
"10 to 14","Firearm","2023","Nevada","--","197,957","--","--","--"
"10 to 14","Firearm","2023","New Hampshire","--","73,205","--","--","--"
"10 to 14","Firearm","2023","New Jersey","--","572,245","--","--","--"
"10 to 14","Firearm","2023","New Mexico","--","133,814","--","--","--"
"10 to 14","Firearm","2023","New York","10**","1,120,494","0.89**","--","521"
"10 to 14","Firearm","2023","North Carolina","20**","662,550","3.02**","--","1,031"
"10 to 14","Firearm","2023","North Dakota","--","51,206","--","--","--"
"10 to 14","Firearm","2023","Ohio","29","732,950","3.96","--","1,500"
"10 to 14","Firearm","2023","Oklahoma","12**","278,120","4.32**","--","623"
"10 to 14","Firearm","2023","Oregon","--","243,152","--","--","--"
"10 to 14","Firearm","2023","Pennsylvania","12**","753,881","1.59**","--","623"
"10 to 14","Firearm","2023","South Carolina","16**","327,903","4.88**","--","825"
"10 to 14","Firearm","2023","South Dakota","--","62,707","--","--","--"
"10 to 14","Firearm","2023","Tennessee","15**","441,736","3.40**","--","773"
"10 to 14","Firearm","2023","Texas","45","2,158,268","2.09","--","2,341"
"10 to 14","Firearm","2023","Utah","--","271,784","--","--","--"
"10 to 14","Firearm","2023","Vermont","--","33,552","--","--","--"
"10 to 14","Firearm","2023","Virginia","10**","533,403","1.88**","--","522"
"10 to 14","Firearm","2023","Washington","10**","471,988","2.12**","--","524"
"10 to 14","Firearm","2023","West Virginia","--","102,617","--","--","--"
"10 to 14","Firearm","2023","Wisconsin","--","361,106","--","--","--"
"10 to 14","Drug Poisoning","2023","Arizona","--","456,089","--","--","--"
"10 to 14","Drug Poisoning","2023","California","--","2,444,811","--","--","--"
"10 to 14","Drug Poisoning","2023","Colorado","--","348,587","--","--","--"
"10 to 14","Drug Poisoning","2023","Idaho","--","136,658","--","--","--"
"10 to 14","Drug Poisoning","2023","Illinois","--","781,468","--","--","--"
"10 to 14","Drug Poisoning","2023","Kentucky","--","287,377","--","--","--"
"10 to 14","Drug Poisoning","2023","Massachusetts","--","382,761","--","--","--"
