"Mechanism","Age Group","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Cut/Pierce","15 to 19","Iowa","2019","--","212,919","--","--","--"
"Cut/Pierce","15 to 19","Maine","2020","--","78,758","--","--","--"
"Cut/Pierce","15 to 19","Minnesota","2018","--","357,623","--","--","--"
"Cut/Pierce","15 to 19","North Carolina","2021","--","706,870","--","--","--"
"Cut/Pierce","15 to 19","Tennessee","2021","--","438,876","--","--","--"
"Cut/Pierce","15 to 19","Tennessee","2020","--","438,708","--","--","--"
"Cut/Pierce","15 to 19","Tennessee","2018","--","425,729","--","--","--"
"Cut/Pierce","15 to 19","Texas","2022","--","2,163,792","--","--","--"
"Cut/Pierce","15 to 19","Texas","2019","--","2,054,752","--","--","--"
"Cut/Pierce","15 to 19","Wyoming","2022","--","39,579","--","--","--"
"Cut/Pierce","20 to 24","Alabama","2023","--","340,723","--","--","--"
"Cut/Pierce","20 to 24","Alabama","2019","--","322,396","--","--","--"
"Cut/Pierce","20 to 24","California","2021","--","2,509,423","--","--","--"
"Cut/Pierce","20 to 24","California","2020","--","2,582,007","--","--","--"
"Cut/Pierce","20 to 24","California","2019","--","2,639,873","--","--","--"
"Cut/Pierce","20 to 24","California","2018","--","2,698,781","--","--","--"
"Cut/Pierce","20 to 24","Florida","2021","--","1,268,387","--","--","--"
"Cut/Pierce","20 to 24","Florida","2020","--","1,250,598","--","--","--"
"Cut/Pierce","20 to 24","Georgia","2018","--","715,244","--","--","--"
"Cut/Pierce","20 to 24","Illinois","2022","--","810,780","--","--","--"
"Cut/Pierce","20 to 24","Indiana","2020","--","467,269","--","--","--"
"Cut/Pierce","20 to 24","Kentucky","2022","--","294,906","--","--","--"
"Cut/Pierce","20 to 24","Louisiana","2022","--","299,712","--","--","--"
"Cut/Pierce","20 to 24","Louisiana","2020","--","302,127","--","--","--"
"Cut/Pierce","20 to 24","Minnesota","2023","--","358,972","--","--","--"
"Cut/Pierce","20 to 24","New Jersey","2018","--","548,446","--","--","--"
"Cut/Pierce","20 to 24","New York","2021","--","1,256,219","--","--","--"
"Cut/Pierce","20 to 24","Tennessee","2022","--","456,406","--","--","--"
"Cut/Pierce","20 to 24","Texas","2021","--","2,037,280","--","--","--"
"Cut/Pierce","20 to 24","Texas","2020","--","1,994,169","--","--","--"
"Cut/Pierce","20 to 24","West Virginia","2022","--","111,012","--","--","--"
"Cut/Pierce","25 to 29","Arizona","2019","--","527,245","--","--","--"
"Cut/Pierce","25 to 29","Arkansas","2019","--","206,172","--","--","--"
"Cut/Pierce","25 to 29","California","2022","--","2,752,597","--","--","--"
"Cut/Pierce","25 to 29","California","2021","--","2,829,802","--","--","--"
"Cut/Pierce","25 to 29","California","2018","--","3,122,924","--","--","--"
"Cut/Pierce","25 to 29","Florida","2023","--","1,348,164","--","--","--"
"Cut/Pierce","25 to 29","Georgia","2019","--","772,167","--","--","--"
"Cut/Pierce","25 to 29","Illinois","2020","--","876,688","--","--","--"
"Cut/Pierce","25 to 29","Indiana","2020","--","452,771","--","--","--"
"Cut/Pierce","25 to 29","Kentucky","2018","--","310,249","--","--","--"
"Cut/Pierce","25 to 29","Louisiana","2019","--","336,588","--","--","--"
"Cut/Pierce","25 to 29","Massachusetts","2021","--","487,273","--","--","--"
"Cut/Pierce","25 to 29","Michigan","2023","--","638,502","--","--","--"
"Cut/Pierce","25 to 29","Michigan","2022","--","648,792","--","--","--"
"Cut/Pierce","25 to 29","Michigan","2019","--","698,262","--","--","--"
"Cut/Pierce","25 to 29","Nebraska","2022","--","126,266","--","--","--"
"Cut/Pierce","25 to 29","New Jersey","2023","--","571,710","--","--","--"
"Cut/Pierce","25 to 29","New York","2023","--","1,332,850","--","--","--"
"Cut/Pierce","25 to 29","North Carolina","2021","--","703,014","--","--","--"
"Cut/Pierce","25 to 29","Texas","2023","--","2,148,699","--","--","--"
"Cut/Pierce","25 to 29","Texas","2018","--","2,154,156","--","--","--"
"Cut/Pierce","25 to 29","Virginia","2018","--","602,972","--","--","--"
"Cut/Pierce","25 to 29","West Virginia","2021","--","106,682","--","--","--"
"Cut/Pierce","25 to 29","Wisconsin","2019","--","380,528","--","--","--"
"Cut/Pierce","30 to 34","Arizona","2022","--","511,535","--","--","--"
"Cut/Pierce","30 to 34","Arkansas","2023","--","204,972","--","--","--"
"Cut/Pierce","30 to 34","Arkansas","2021","--","199,192","--","--","--"
"Cut/Pierce","30 to 34","California","2021","--","3,000,996","--","--","--"
"Cut/Pierce","30 to 34","California","2018","--","2,913,176","--","--","--"
"Cut/Pierce","30 to 34","Colorado","2022","--","472,271","--","--","--"
"Cut/Pierce","30 to 34","Colorado","2021","--","463,575","--","--","--"
"Cut/Pierce","30 to 34","Delaware","2022","--","68,019","--","--","--"
"Cut/Pierce","30 to 34","Florida","2021","--","1,432,511","--","--","--"
"Cut/Pierce","30 to 34","Florida","2019","--","1,386,162","--","--","--"
"Cut/Pierce","30 to 34","Florida","2018","--","1,351,869","--","--","--"
"Cut/Pierce","30 to 34","Georgia","2022","--","772,417","--","--","--"
"Cut/Pierce","30 to 34","Illinois","2023","--","863,580","--","--","--"
"Cut/Pierce","30 to 34","Kansas","2022","--","188,437","--","--","--"
"Cut/Pierce","30 to 34","Kentucky","2021","--","294,558","--","--","--"
"Cut/Pierce","30 to 34","Kentucky","2018","--","274,638","--","--","--"
"Cut/Pierce","30 to 34","Michigan","2022","--","670,717","--","--","--"
"Cut/Pierce","30 to 34","Michigan","2021","--","655,457","--","--","--"
"Cut/Pierce","30 to 34","Minnesota","2018","--","384,489","--","--","--"
"Cut/Pierce","30 to 34","Mississippi","2022","--","191,366","--","--","--"
"Cut/Pierce","30 to 34","Missouri","2023","--","417,394","--","--","--"
"Cut/Pierce","30 to 34","Missouri","2022","--","414,649","--","--","--"
"Cut/Pierce","30 to 34","Missouri","2019","--","400,614","--","--","--"
"Cut/Pierce","30 to 34","Nevada","2023","--","241,275","--","--","--"
"Cut/Pierce","30 to 34","New Jersey","2021","--","609,295","--","--","--"
"Cut/Pierce","30 to 34","New Jersey","2020","--","604,676","--","--","--"
"Cut/Pierce","30 to 34","New York","2023","--","1,403,444","--","--","--"
"Cut/Pierce","30 to 34","New York","2022","--","1,417,130","--","--","--"
"Cut/Pierce","30 to 34","New York","2019","--","1,403,212","--","--","--"
"Cut/Pierce","30 to 34","North Carolina","2020","--","694,176","--","--","--"
"Cut/Pierce","30 to 34","Ohio","2022","--","793,693","--","--","--"
"Cut/Pierce","30 to 34","Oklahoma","2018","--","262,833","--","--","--"
"Cut/Pierce","30 to 34","Oregon","2018","--","294,573","--","--","--"
"Cut/Pierce","30 to 34","Pennsylvania","2019","--","848,252","--","--","--"
"Cut/Pierce","30 to 34","South Dakota","2022","--","57,767","--","--","--"
"Cut/Pierce","30 to 34","Tennessee","2023","--","504,377","--","--","--"
"Cut/Pierce","30 to 34","Tennessee","2022","--","495,485","--","--","--"
"Cut/Pierce","30 to 34","Tennessee","2020","--","468,093","--","--","--"
"Cut/Pierce","30 to 34","Texas","2023","--","2,252,638","--","--","--"
"Cut/Pierce","30 to 34","Texas","2021","--","2,157,417","--","--","--"
"Cut/Pierce","30 to 34","Texas","2019","--","2,106,508","--","--","--"
"Cut/Pierce","30 to 34","Wisconsin","2022","--","367,210","--","--","--"
"Cut/Pierce","35 to 39","Arizona","2022","--","473,895","--","--","--"
"Cut/Pierce","35 to 39","Arizona","2018","--","458,460","--","--","--"
"Cut/Pierce","35 to 39","California","2020","--","2,820,660","--","--","--"
"Cut/Pierce","35 to 39","California","2018","--","2,749,890","--","--","--"
"Cut/Pierce","35 to 39","Colorado","2018","--","416,498","--","--","--"
"Cut/Pierce","35 to 39","Florida","2023","--","1,455,054","--","--","--"
"Cut/Pierce","35 to 39","Florida","2022","--","1,420,003","--","--","--"
"Cut/Pierce","35 to 39","Florida","2021","--","1,383,764","--","--","--"
"Cut/Pierce","35 to 39","Florida","2019","--","1,337,577","--","--","--"
"Cut/Pierce","35 to 39","Florida","2018","--","1,314,011","--","--","--"
"Cut/Pierce","35 to 39","Georgia","2022","--","731,120","--","--","--"
"Cut/Pierce","35 to 39","Illinois","2018","--","853,575","--","--","--"
"Cut/Pierce","35 to 39","Indiana","2021","--","433,394","--","--","--"
"Cut/Pierce","35 to 39","Kentucky","2023","--","279,185","--","--","--"
"Cut/Pierce","35 to 39","Kentucky","2022","--","278,974","--","--","--"
"Cut/Pierce","35 to 39","Kentucky","2021","--","280,644","--","--","--"
"Cut/Pierce","35 to 39","Louisiana","2023","--","305,795","--","--","--"
"Cut/Pierce","35 to 39","Michigan","2021","--","611,866","--","--","--"
"Cut/Pierce","35 to 39","Minnesota","2020","--","399,172","--","--","--"
"Cut/Pierce","35 to 39","Missouri","2021","--","403,901","--","--","--"
"Cut/Pierce","35 to 39","New York","2019","--","1,272,689","--","--","--"
"Cut/Pierce","35 to 39","North Carolina","2023","--","699,745","--","--","--"
"Cut/Pierce","35 to 39","South Carolina","2021","--","325,540","--","--","--"
"Cut/Pierce","35 to 39","Texas","2023","--","2,187,529","--","--","--"
"Cut/Pierce","35 to 39","Texas","2022","--","2,159,547","--","--","--"
"Cut/Pierce","35 to 39","Vermont","2022","--","40,352","--","--","--"
"Cut/Pierce","35 to 39","Virginia","2018","--","577,867","--","--","--"
"Cut/Pierce","35 to 39","Wisconsin","2021","--","378,830","--","--","--"
"Cut/Pierce","40 to 44","Alaska","2018","--","42,830","--","--","--"
"Cut/Pierce","40 to 44","Florida","2021","--","1,331,062","--","--","--"
"Cut/Pierce","40 to 44","Florida","2019","--","1,264,424","--","--","--"
"Cut/Pierce","40 to 44","Georgia","2020","--","693,096","--","--","--"
"Cut/Pierce","40 to 44","Illinois","2023","--","834,813","--","--","--"
"Cut/Pierce","40 to 44","Indiana","2023","--","436,801","--","--","--"
"Cut/Pierce","40 to 44","Kentucky","2023","--","286,815","--","--","--"
"Cut/Pierce","40 to 44","Kentucky","2022","--","285,657","--","--","--"
"Cut/Pierce","40 to 44","Massachusetts","2022","--","435,746","--","--","--"
"Cut/Pierce","40 to 44","Michigan","2022","--","604,457","--","--","--"
"Cut/Pierce","40 to 44","Michigan","2021","--","597,109","--","--","--"
"Cut/Pierce","40 to 44","Mississippi","2021","--","183,166","--","--","--"
"Cut/Pierce","40 to 44","Missouri","2023","--","398,042","--","--","--"
"Cut/Pierce","40 to 44","Nevada","2021","--","207,158","--","--","--"
"Cut/Pierce","40 to 44","New Jersey","2021","--","602,393","--","--","--"
"Cut/Pierce","40 to 44","New York","2019","--","1,158,240","--","--","--"
"Cut/Pierce","40 to 44","New York","2018","--","1,156,034","--","--","--"
"Cut/Pierce","40 to 44","North Carolina","2023","--","684,383","--","--","--"
"Cut/Pierce","40 to 44","Ohio","2020","--","699,291","--","--","--"
"Cut/Pierce","40 to 44","South Carolina","2023","--","333,116","--","--","--"
"Cut/Pierce","40 to 44","Tennessee","2023","--","451,970","--","--","--"
"Cut/Pierce","40 to 44","Texas","2023","--","2,120,407","--","--","--"
"Cut/Pierce","40 to 44","Texas","2021","--","1,993,876","--","--","--"
"Cut/Pierce","40 to 44","Texas","2019","--","1,876,184","--","--","--"
"Cut/Pierce","40 to 44","West Virginia","2020","--","110,048","--","--","--"
"Cut/Pierce","40 to 44","Wyoming","2022","--","38,261","--","--","--"
"Cut/Pierce","45 to 49","Alabama","2023","--","297,326","--","--","--"
"Cut/Pierce","45 to 49","Arizona","2022","--","419,323","--","--","--"
"Cut/Pierce","45 to 49","Arkansas","2019","--","182,538","--","--","--"
"Cut/Pierce","45 to 49","California","2023","--","2,399,835","--","--","--"
"Cut/Pierce","45 to 49","California","2019","--","2,510,078","--","--","--"
"Cut/Pierce","45 to 49","California","2018","--","2,555,567","--","--","--"
"Cut/Pierce","45 to 49","Colorado","2022","--","353,966","--","--","--"
"Cut/Pierce","45 to 49","Florida","2023","--","1,332,212","--","--","--"
"Cut/Pierce","45 to 49","Florida","2021","--","1,303,827","--","--","--"
"Cut/Pierce","45 to 49","Florida","2019","--","1,340,672","--","--","--"
"Cut/Pierce","45 to 49","Georgia","2023","--","681,594","--","--","--"
"Cut/Pierce","45 to 49","Georgia","2018","--","718,175","--","--","--"
"Cut/Pierce","45 to 49","Hawaii","2021","--","83,454","--","--","--"
"Cut/Pierce","45 to 49","Illinois","2023","--","763,824","--","--","--"
"Cut/Pierce","45 to 49","Illinois","2022","--","762,262","--","--","--"
"Cut/Pierce","45 to 49","Illinois","2021","--","773,800","--","--","--"
"Cut/Pierce","45 to 49","Indiana","2018","--","418,872","--","--","--"
"Cut/Pierce","45 to 49","Iowa","2021","--","174,887","--","--","--"
"Cut/Pierce","45 to 49","Iowa","2018","--","182,024","--","--","--"
"Cut/Pierce","45 to 49","Kansas","2023","--","165,103","--","--","--"
"Cut/Pierce","45 to 49","Kansas","2018","--","166,792","--","--","--"
"Cut/Pierce","45 to 49","Kentucky","2019","--","280,788","--","--","--"
"Cut/Pierce","45 to 49","Kentucky","2018","--","285,534","--","--","--"
"Cut/Pierce","45 to 49","Maine","2020","--","82,119","--","--","--"
"Cut/Pierce","45 to 49","Maryland","2023","--","371,202","--","--","--"
"Cut/Pierce","45 to 49","Michigan","2019","--","612,530","--","--","--"
"Cut/Pierce","45 to 49","Minnesota","2020","--","328,223","--","--","--"
"Cut/Pierce","45 to 49","Mississippi","2020","--","178,037","--","--","--"
"Cut/Pierce","45 to 49","Missouri","2022","--","347,240","--","--","--"
"Cut/Pierce","45 to 49","Missouri","2018","--","370,119","--","--","--"
"Cut/Pierce","45 to 49","Montana","2023","--","63,311","--","--","--"
"Cut/Pierce","45 to 49","Nebraska","2023","--","111,050","--","--","--"
"Cut/Pierce","45 to 49","New Hampshire","2020","--","84,157","--","--","--"
"Cut/Pierce","45 to 49","North Carolina","2021","--","652,634","--","--","--"
"Cut/Pierce","45 to 49","Ohio","2023","--","669,666","--","--","--"
"Cut/Pierce","45 to 49","Ohio","2022","--","666,962","--","--","--"
"Cut/Pierce","45 to 49","Ohio","2021","--","677,798","--","--","--"
"Cut/Pierce","45 to 49","Oklahoma","2020","--","229,229","--","--","--"
"Cut/Pierce","45 to 49","Oregon","2019","--","261,861","--","--","--"
"Cut/Pierce","45 to 49","Oregon","2018","--","263,908","--","--","--"
"Cut/Pierce","45 to 49","Pennsylvania","2022","--","722,833","--","--","--"
"Cut/Pierce","45 to 49","Pennsylvania","2020","--","766,588","--","--","--"
"Cut/Pierce","45 to 49","South Carolina","2023","--","307,397","--","--","--"
"Cut/Pierce","45 to 49","Texas","2023","--","1,889,295","--","--","--"
"Cut/Pierce","45 to 49","Texas","2022","--","1,858,280","--","--","--"
"Cut/Pierce","45 to 49","Texas","2020","--","1,858,987","--","--","--"
"Cut/Pierce","45 to 49","Utah","2022","--","198,347","--","--","--"
"Cut/Pierce","45 to 49","Vermont","2023","--","36,290","--","--","--"
"Cut/Pierce","45 to 49","Virginia","2022","--","521,970","--","--","--"
"Cut/Pierce","50 to 54","Alabama","2020","--","315,093","--","--","--"
"Cut/Pierce","50 to 54","Alabama","2019","--","307,754","--","--","--"
"Cut/Pierce","50 to 54","Alabama","2018","--","314,503","--","--","--"
"Cut/Pierce","50 to 54","Arkansas","2023","--","183,824","--","--","--"
"Cut/Pierce","50 to 54","California","2022","--","2,480,810","--","--","--"
"Cut/Pierce","50 to 54","California","2020","--","2,498,612","--","--","--"
"Cut/Pierce","50 to 54","California","2019","--","2,458,499","--","--","--"
"Cut/Pierce","50 to 54","California","2018","--","2,492,046","--","--","--"
"Cut/Pierce","50 to 54","Colorado","2023","--","355,880","--","--","--"
"Cut/Pierce","50 to 54","Connecticut","2020","--","251,197","--","--","--"
"Cut/Pierce","50 to 54","Florida","2022","--","1,420,105","--","--","--"
"Cut/Pierce","50 to 54","Florida","2021","--","1,397,081","--","--","--"
"Cut/Pierce","50 to 54","Florida","2018","--","1,393,673","--","--","--"
"Cut/Pierce","50 to 54","Georgia","2021","--","712,050","--","--","--"
"Cut/Pierce","50 to 54","Georgia","2018","--","693,245","--","--","--"
"Cut/Pierce","50 to 54","Illinois","2021","--","809,895","--","--","--"
"Cut/Pierce","50 to 54","Indiana","2023","--","418,259","--","--","--"
"Cut/Pierce","50 to 54","Indiana","2020","--","414,435","--","--","--"
"Cut/Pierce","50 to 54","Kansas","2021","--","165,992","--","--","--"
"Cut/Pierce","50 to 54","Kentucky","2022","--","286,492","--","--","--"
"Cut/Pierce","50 to 54","Kentucky","2019","--","283,019","--","--","--"
"Cut/Pierce","50 to 54","Louisiana","2023","--","264,349","--","--","--"
"Cut/Pierce","50 to 54","Louisiana","2019","--","279,223","--","--","--"
"Cut/Pierce","50 to 54","Michigan","2019","--","641,926","--","--","--"
"Cut/Pierce","50 to 54","Mississippi","2021","--","181,146","--","--","--"
"Cut/Pierce","50 to 54","Mississippi","2018","--","184,608","--","--","--"
"Cut/Pierce","50 to 54","Missouri","2020","--","369,434","--","--","--"
"Cut/Pierce","50 to 54","Missouri","2018","--","381,633","--","--","--"
"Cut/Pierce","50 to 54","Nebraska","2019","--","107,017","--","--","--"
"Cut/Pierce","50 to 54","Nevada","2018","--","193,128","--","--","--"
"Cut/Pierce","50 to 54","New Jersey","2020","--","639,852","--","--","--"
"Cut/Pierce","50 to 54","New Jersey","2018","--","631,930","--","--","--"
"Cut/Pierce","50 to 54","North Carolina","2022","--","702,484","--","--","--"
"Cut/Pierce","50 to 54","North Carolina","2021","--","694,858","--","--","--"
"Cut/Pierce","50 to 54","North Carolina","2019","--","675,532","--","--","--"
"Cut/Pierce","50 to 54","Ohio","2023","--","727,518","--","--","--"
"Cut/Pierce","50 to 54","Ohio","2020","--","742,546","--","--","--"
"Cut/Pierce","50 to 54","Ohio","2019","--","734,143","--","--","--"
"Cut/Pierce","50 to 54","Oregon","2022","--","261,742","--","--","--"
"Cut/Pierce","50 to 54","Oregon","2018","--","247,914","--","--","--"
"Cut/Pierce","50 to 54","Pennsylvania","2021","--","834,008","--","--","--"
"Cut/Pierce","50 to 54","Tennessee","2022","--","453,893","--","--","--"
"Cut/Pierce","50 to 54","Tennessee","2018","--","440,106","--","--","--"
"Cut/Pierce","50 to 54","Texas","2023","--","1,850,065","--","--","--"
"Cut/Pierce","50 to 54","Texas","2022","--","1,825,878","--","--","--"
"Cut/Pierce","50 to 54","Texas","2021","--","1,786,614","--","--","--"
"Cut/Pierce","50 to 54","Texas","2019","--","1,698,077","--","--","--"
"Cut/Pierce","50 to 54","Virginia","2022","--","556,077","--","--","--"
"Cut/Pierce","50 to 54","Virginia","2021","--","558,877","--","--","--"
"Cut/Pierce","50 to 54","Virginia","2020","--","557,667","--","--","--"
"Cut/Pierce","50 to 54","Washington","2023","--","469,120","--","--","--"
"Cut/Pierce","50 to 54","Washington","2021","--","475,274","--","--","--"
"Cut/Pierce","50 to 54","West Virginia","2022","--","115,984","--","--","--"
"Cut/Pierce","50 to 54","West Virginia","2021","--","116,266","--","--","--"
"Cut/Pierce","55 to 59","Alaska","2022","--","43,150","--","--","--"
"Cut/Pierce","55 to 59","Arkansas","2023","--","182,264","--","--","--"
"Cut/Pierce","55 to 59","Arkansas","2020","--","196,948","--","--","--"
"Cut/Pierce","55 to 59","California","2021","--","2,461,317","--","--","--"
"Cut/Pierce","55 to 59","California","2020","--","2,513,402","--","--","--"
"Cut/Pierce","55 to 59","California","2019","--","2,503,819","--","--","--"
"Cut/Pierce","55 to 59","California","2018","--","2,509,460","--","--","--"
"Cut/Pierce","55 to 59","Florida","2023","--","1,477,106","--","--","--"
"Cut/Pierce","55 to 59","Florida","2022","--","1,492,223","--","--","--"
"Cut/Pierce","55 to 59","Florida","2020","--","1,507,470","--","--","--"
"Cut/Pierce","55 to 59","Florida","2019","--","1,489,467","--","--","--"
"Cut/Pierce","55 to 59","Florida","2018","--","1,467,741","--","--","--"
"Cut/Pierce","55 to 59","Georgia","2020","--","702,808","--","--","--"
"Cut/Pierce","55 to 59","Georgia","2018","--","682,293","--","--","--"
"Cut/Pierce","55 to 59","Hawaii","2023","--","85,681","--","--","--"
"Cut/Pierce","55 to 59","Illinois","2021","--","830,153","--","--","--"
"Cut/Pierce","55 to 59","Indiana","2022","--","423,867","--","--","--"
"Cut/Pierce","55 to 59","Indiana","2021","--","436,390","--","--","--"
"Cut/Pierce","55 to 59","Indiana","2020","--","448,157","--","--","--"
"Cut/Pierce","55 to 59","Indiana","2019","--","448,450","--","--","--"
"Cut/Pierce","55 to 59","Iowa","2022","--","194,114","--","--","--"
"Cut/Pierce","55 to 59","Iowa","2020","--","209,013","--","--","--"
"Cut/Pierce","55 to 59","Kansas","2019","--","188,564","--","--","--"
"Cut/Pierce","55 to 59","Kentucky","2020","--","308,774","--","--","--"
"Cut/Pierce","55 to 59","Kentucky","2019","--","306,937","--","--","--"
"Cut/Pierce","55 to 59","Kentucky","2018","--","307,567","--","--","--"
"Cut/Pierce","55 to 59","Maine","2020","--","106,506","--","--","--"
"Cut/Pierce","55 to 59","Michigan","2023","--","648,732","--","--","--"
"Cut/Pierce","55 to 59","Minnesota","2023","--","346,901","--","--","--"
"Cut/Pierce","55 to 59","Minnesota","2022","--","360,263","--","--","--"
"Cut/Pierce","55 to 59","Mississippi","2021","--","189,507","--","--","--"
"Cut/Pierce","55 to 59","Mississippi","2019","--","197,261","--","--","--"
"Cut/Pierce","55 to 59","Missouri","2023","--","374,950","--","--","--"
"Cut/Pierce","55 to 59","Missouri","2022","--","389,228","--","--","--"
"Cut/Pierce","55 to 59","Missouri","2021","--","405,346","--","--","--"
"Cut/Pierce","55 to 59","Nebraska","2018","--","125,176","--","--","--"
"Cut/Pierce","55 to 59","New Jersey","2023","--","626,509","--","--","--"
"Cut/Pierce","55 to 59","New Jersey","2021","--","657,632","--","--","--"
"Cut/Pierce","55 to 59","New Jersey","2019","--","642,468","--","--","--"
"Cut/Pierce","55 to 59","New Jersey","2018","--","645,195","--","--","--"
"Cut/Pierce","55 to 59","New Mexico","2023","--","121,069","--","--","--"
"Cut/Pierce","55 to 59","New York","2023","--","1,287,994","--","--","--"
"Cut/Pierce","55 to 59","New York","2022","--","1,327,416","--","--","--"
"Cut/Pierce","55 to 59","New York","2019","--","1,349,292","--","--","--"
"Cut/Pierce","55 to 59","North Carolina","2022","--","688,870","--","--","--"
"Cut/Pierce","55 to 59","North Carolina","2020","--","700,037","--","--","--"
"Cut/Pierce","55 to 59","North Carolina","2018","--","695,765","--","--","--"
"Cut/Pierce","55 to 59","Ohio","2023","--","735,505","--","--","--"
"Cut/Pierce","55 to 59","Ohio","2022","--","757,095","--","--","--"
"Cut/Pierce","55 to 59","Ohio","2018","--","821,111","--","--","--"
"Cut/Pierce","55 to 59","Oklahoma","2020","--","247,849","--","--","--"
"Cut/Pierce","55 to 59","Oklahoma","2019","--","252,834","--","--","--"
"Cut/Pierce","55 to 59","Pennsylvania","2021","--","895,304","--","--","--"
"Cut/Pierce","55 to 59","Pennsylvania","2018","--","921,887","--","--","--"
"Cut/Pierce","55 to 59","South Carolina","2022","--","344,671","--","--","--"
"Cut/Pierce","55 to 59","South Carolina","2021","--","346,553","--","--","--"
"Cut/Pierce","55 to 59","Tennessee","2021","--","460,235","--","--","--"
"Cut/Pierce","55 to 59","Tennessee","2020","--","465,340","--","--","--"
"Cut/Pierce","55 to 59","Texas","2021","--","1,714,253","--","--","--"
"Cut/Pierce","55 to 59","Texas","2020","--","1,730,871","--","--","--"
"Cut/Pierce","55 to 59","Utah","2021","--","155,212","--","--","--"
"Cut/Pierce","55 to 59","Virginia","2023","--","548,913","--","--","--"
