"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Delaware","10","Under 15 years","15",Suppressed
,"Delaware","10","15-19 years","15-19",552
,"Delaware","10","20-24 years","20-24",2018
,"Delaware","10","25-29 years","25-29",3341
,"Delaware","10","30-34 years","30-34",3153
,"Delaware","10","35-39 years","35-39",1485
,"Delaware","10","40-44 years","40-44",276
,"Delaware","10","45-49 years","45-49",18
,"Delaware","10","50 years and over","50+",Suppressed
,"District of Columbia","11","Under 15 years","15",11
,"District of Columbia","11","15-19 years","15-19",408
,"District of Columbia","11","20-24 years","20-24",1445
,"District of Columbia","11","25-29 years","25-29",2015
,"District of Columbia","11","30-34 years","30-34",3030
,"District of Columbia","11","35-39 years","35-39",2142
,"District of Columbia","11","40-44 years","40-44",473
,"District of Columbia","11","45-49 years","45-49",30
,"District of Columbia","11","50 years and over","50+",Suppressed
,"Florida","12","Under 15 years","15",107
,"Florida","12","15-19 years","15-19",10708
,"Florida","12","20-24 years","20-24",44093
,"Florida","12","25-29 years","25-29",65989
,"Florida","12","30-34 years","30-34",62558
,"Florida","12","35-39 years","35-39",32420
,"Florida","12","40-44 years","40-44",7214
,"Florida","12","45-49 years","45-49",489
,"Florida","12","50 years and over","50+",52
,"Georgia","13","Under 15 years","15",80
,"Georgia","13","15-19 years","15-19",7778
,"Georgia","13","20-24 years","20-24",29199
,"Georgia","13","25-29 years","25-29",38300
,"Georgia","13","30-34 years","30-34",33342
,"Georgia","13","35-39 years","35-39",16730
,"Georgia","13","40-44 years","40-44",3538
,"Georgia","13","45-49 years","45-49",264
,"Georgia","13","50 years and over","50+",12
,"Hawaii","15","Under 15 years","15",Suppressed
,"Hawaii","15","15-19 years","15-19",714
,"Hawaii","15","20-24 years","20-24",3415
,"Hawaii","15","25-29 years","25-29",4841
,"Hawaii","15","30-34 years","30-34",4832
,"Hawaii","15","35-39 years","35-39",2915
,"Hawaii","15","40-44 years","40-44",718
,"Hawaii","15","45-49 years","45-49",71
,"Hawaii","15","50 years and over","50+",Suppressed
,"Idaho","16","Under 15 years","15",10
,"Idaho","16","15-19 years","15-19",1106
,"Idaho","16","20-24 years","20-24",5388
,"Idaho","16","25-29 years","25-29",7285
,"Idaho","16","30-34 years","30-34",5435
,"Idaho","16","35-39 years","35-39",2472
,"Idaho","16","40-44 years","40-44",447
,"Idaho","16","45-49 years","45-49",35
,"Idaho","16","50 years and over","50+",Suppressed
,"Illinois","17","Under 15 years","15",59
,"Illinois","17","15-19 years","15-19",7103
,"Illinois","17","20-24 years","20-24",26618
,"Illinois","17","25-29 years","25-29",40922
,"Illinois","17","30-34 years","30-34",45863
,"Illinois","17","35-39 years","35-39",23803
,"Illinois","17","40-44 years","40-44",4662
,"Illinois","17","45-49 years","45-49",326
,"Illinois","17","50 years and over","50+",34
,"Indiana","18","Under 15 years","15",54
,"Indiana","18","15-19 years","15-19",5091
,"Indiana","18","20-24 years","20-24",19589
,"Indiana","18","25-29 years","25-29",26354
,"Indiana","18","30-34 years","30-34",20842
,"Indiana","18","35-39 years","35-39",8577
,"Indiana","18","40-44 years","40-44",1554
,"Indiana","18","45-49 years","45-49",108
,"Indiana","18","50 years and over","50+",Suppressed
,"Iowa","19","Under 15 years","15",22
,"Iowa","19","15-19 years","15-19",1678
,"Iowa","19","20-24 years","20-24",7520
,"Iowa","19","25-29 years","25-29",12982
,"Iowa","19","30-34 years","30-34",10953
,"Iowa","19","35-39 years","35-39",4511
,"Iowa","19","40-44 years","40-44",726
,"Iowa","19","45-49 years","45-49",34
,"Iowa","19","50 years and over","50+",Suppressed
,"Kansas","20","Under 15 years","15",13
,"Kansas","20","15-19 years","15-19",2057
,"Kansas","20","20-24 years","20-24",7999
,"Kansas","20","25-29 years","25-29",11507
,"Kansas","20","30-34 years","30-34",10015
,"Kansas","20","35-39 years","35-39",4173
,"Kansas","20","40-44 years","40-44",711
,"Kansas","20","45-49 years","45-49",42
,"Kansas","20","50 years and over","50+",Suppressed
,"Kentucky","21","Under 15 years","15",36
,"Kentucky","21","15-19 years","15-19",4060
,"Kentucky","21","20-24 years","20-24",14468
,"Kentucky","21","25-29 years","25-29",17228
,"Kentucky","21","30-34 years","30-34",12620
,"Kentucky","21","35-39 years","35-39",5334
,"Kentucky","21","40-44 years","40-44",958
,"Kentucky","21","45-49 years","45-49",47
,"Kentucky","21","50 years and over","50+",Suppressed
,"Louisiana","22","Under 15 years","15",57
,"Louisiana","22","15-19 years","15-19",4269
,"Louisiana","22","20-24 years","20-24",15994
,"Louisiana","22","25-29 years","25-29",18939
,"Louisiana","22","30-34 years","30-34",14538
,"Louisiana","22","35-39 years","35-39",6107
,"Louisiana","22","40-44 years","40-44",1045
,"Louisiana","22","45-49 years","45-49",66
,"Louisiana","22","50 years and over","50+",Suppressed
,"Maine","23","Under 15 years","15",Suppressed
,"Maine","23","15-19 years","15-19",504
,"Maine","23","20-24 years","20-24",2354
,"Maine","23","25-29 years","25-29",3757
,"Maine","23","30-34 years","30-34",3692
,"Maine","23","35-39 years","35-39",1676
,"Maine","23","40-44 years","40-44",296
,"Maine","23","45-49 years","45-49",17
,"Maine","23","50 years and over","50+",Suppressed
,"Maryland","24","Under 15 years","15",39
,"Maryland","24","15-19 years","15-19",2667
,"Maryland","24","20-24 years","20-24",11022
,"Maryland","24","25-29 years","25-29",19261
,"Maryland","24","30-34 years","30-34",22820
,"Maryland","24","35-39 years","35-39",12829
,"Maryland","24","40-44 years","40-44",2769
,"Maryland","24","45-49 years","45-49",216
,"Maryland","24","50 years and over","50+",18
,"Massachusetts","25","Under 15 years","15",15
,"Massachusetts","25","15-19 years","15-19",1827
,"Massachusetts","25","20-24 years","20-24",8006
,"Massachusetts","25","25-29 years","25-29",17186
,"Massachusetts","25","30-34 years","30-34",25898
,"Massachusetts","25","35-39 years","35-39",14605
,"Massachusetts","25","40-44 years","40-44",2922
,"Massachusetts","25","45-49 years","45-49",226
,"Massachusetts","25","50 years and over","50+",17
,"Michigan","26","Under 15 years","15",57
,"Michigan","26","15-19 years","15-19",5307
,"Michigan","26","20-24 years","20-24",22740
,"Michigan","26","25-29 years","25-29",35878
,"Michigan","26","30-34 years","30-34",30818
,"Michigan","26","35-39 years","35-39",13734
,"Michigan","26","40-44 years","40-44",2674
,"Michigan","26","45-49 years","45-49",200
,"Michigan","26","50 years and over","50+",18
,"Minnesota","27","Under 15 years","15",12
,"Minnesota","27","15-19 years","15-19",2113
,"Minnesota","27","20-24 years","20-24",9746
,"Minnesota","27","25-29 years","25-29",20589
,"Minnesota","27","30-34 years","30-34",23617
,"Minnesota","27","35-39 years","35-39",10527
,"Minnesota","27","40-44 years","40-44",1836
,"Minnesota","27","45-49 years","45-49",140
,"Minnesota","27","50 years and over","50+",15
,"Mississippi","28","Under 15 years","15",38
,"Mississippi","28","15-19 years","15-19",3137
,"Mississippi","28","20-24 years","20-24",11078
,"Mississippi","28","25-29 years","25-29",11813
,"Mississippi","28","30-34 years","30-34",7580
,"Mississippi","28","35-39 years","35-39",3124
,"Mississippi","28","40-44 years","40-44",553
,"Mississippi","28","45-49 years","45-49",34
,"Mississippi","28","50 years and over","50+",0
,"Missouri","29","Under 15 years","15",21
,"Missouri","29","15-19 years","15-19",4301
,"Missouri","29","20-24 years","20-24",16640
,"Missouri","29","25-29 years","25-29",23047
,"Missouri","29","30-34 years","30-34",19260
,"Missouri","29","35-39 years","35-39",8259
,"Missouri","29","40-44 years","40-44",1421
,"Missouri","29","45-49 years","45-49",83
,"Missouri","29","50 years and over","50+",Suppressed
,"Montana","30","Under 15 years","15",Suppressed
,"Montana","30","15-19 years","15-19",645
,"Montana","30","20-24 years","20-24",2524
,"Montana","30","25-29 years","25-29",3626
,"Montana","30","30-34 years","30-34",3254
,"Montana","30","35-39 years","35-39",1452
,"Montana","30","40-44 years","40-44",267
,"Montana","30","45-49 years","45-49",22
,"Montana","30","50 years and over","50+",Suppressed
,"Nebraska","31","Under 15 years","15",Suppressed
,"Nebraska","31","15-19 years","15-19",1158
,"Nebraska","31","20-24 years","20-24",4912
,"Nebraska","31","25-29 years","25-29",8433
,"Nebraska","31","30-34 years","30-34",7575
,"Nebraska","31","35-39 years","35-39",3179
,"Nebraska","31","40-44 years","40-44",518
,"Nebraska","31","45-49 years","45-49",35
,"Nebraska","31","50 years and over","50+",Suppressed
,"Nevada","32","Under 15 years","15",22
,"Nevada","32","15-19 years","15-19",1906
,"Nevada","32","20-24 years","20-24",7854
,"Nevada","32","25-29 years","25-29",10687
,"Nevada","32","30-34 years","30-34",9258
,"Nevada","32","35-39 years","35-39",4813
,"Nevada","32","40-44 years","40-44",1126
,"Nevada","32","45-49 years","45-49",84
,"Nevada","32","50 years and over","50+",Suppressed
,"New Hampshire","33","Under 15 years","15",0
,"New Hampshire","33","15-19 years","15-19",353
,"New Hampshire","33","20-24 years","20-24",1808
,"New Hampshire","33","25-29 years","25-29",3660
,"New Hampshire","33","30-34 years","30-34",4094
,"New Hampshire","33","35-39 years","35-39",1859
,"New Hampshire","33","40-44 years","40-44",316
,"New Hampshire","33","45-49 years","45-49",25
,"New Hampshire","33","50 years and over","50+",Suppressed
,"New Jersey","34","Under 15 years","15",27
,"New Jersey","34","15-19 years","15-19",2837
,"New Jersey","34","20-24 years","20-24",13381
,"New Jersey","34","25-29 years","25-29",25692
,"New Jersey","34","30-34 years","30-34",34451
,"New Jersey","34","35-39 years","35-39",19972
,"New Jersey","34","40-44 years","40-44",4487
,"New Jersey","34","45-49 years","45-49",365
,"New Jersey","34","50 years and over","50+",38
,"New Mexico","35","Under 15 years","15",17
,"New Mexico","35","15-19 years","15-19",1896
,"New Mexico","35","20-24 years","20-24",6054
,"New Mexico","35","25-29 years","25-29",7213
,"New Mexico","35","30-34 years","30-34",5406
,"New Mexico","35","35-39 years","35-39",2624
,"New Mexico","35","40-44 years","40-44",519
,"New Mexico","35","45-49 years","45-49",38
,"New Mexico","35","50 years and over","50+",0
,"New York","36","Under 15 years","15",68
,"New York","36","15-19 years","15-19",7480
,"New York","36","20-24 years","20-24",35621
,"New York","36","25-29 years","25-29",60250
,"New York","36","30-34 years","30-34",71422
,"New York","36","35-39 years","35-39",43444
,"New York","36","40-44 years","40-44",10423
,"New York","36","45-49 years","45-49",912
,"New York","36","50 years and over","50+",117
,"North Carolina","37","Under 15 years","15",79
,"North Carolina","37","15-19 years","15-19",6845
,"North Carolina","37","20-24 years","20-24",26678
,"North Carolina","37","25-29 years","25-29",35744
,"North Carolina","37","30-34 years","30-34",31699
,"North Carolina","37","35-39 years","35-39",15627
,"North Carolina","37","40-44 years","40-44",3233
,"North Carolina","37","45-49 years","45-49",204
,"North Carolina","37","50 years and over","50+",16
,"North Dakota","38","Under 15 years","15",Suppressed
,"North Dakota","38","15-19 years","15-19",368
,"North Dakota","38","20-24 years","20-24",2088
,"North Dakota","38","25-29 years","25-29",3801
,"North Dakota","38","30-34 years","30-34",3110
,"North Dakota","38","35-39 years","35-39",1158
,"North Dakota","38","40-44 years","40-44",199
,"North Dakota","38","45-49 years","45-49",10
,"North Dakota","38","50 years and over","50+",Suppressed
,"Ohio","39","Under 15 years","15",79
,"Ohio","39","15-19 years","15-19",7788
,"Ohio","39","20-24 years","20-24",30509
,"Ohio","39","25-29 years","25-29",42299
,"Ohio","39","30-34 years","30-34",37329
,"Ohio","39","35-39 years","35-39",15898
,"Ohio","39","40-44 years","40-44",2750
,"Ohio","39","45-49 years","45-49",170
,"Ohio","39","50 years and over","50+",10
,"Oklahoma","40","Under 15 years","15",44
,"Oklahoma","40","15-19 years","15-19",3793
,"Oklahoma","40","20-24 years","20-24",13283
,"Oklahoma","40","25-29 years","25-29",15790
,"Oklahoma","40","30-34 years","30-34",11770
,"Oklahoma","40","35-39 years","35-39",4676
,"Oklahoma","40","40-44 years","40-44",798
,"Oklahoma","40","45-49 years","45-49",54
,"Oklahoma","40","50 years and over","50+",Suppressed
,"Oregon","41","Under 15 years","15",13
,"Oregon","41","15-19 years","15-19",1809
,"Oregon","41","20-24 years","20-24",7785
,"Oregon","41","25-29 years","25-29",12541
,"Oregon","41","30-34 years","30-34",12895
,"Oregon","41","35-39 years","35-39",7068
,"Oregon","41","40-44 years","40-44",1419
,"Oregon","41","45-49 years","45-49",92
,"Oregon","41","50 years and over","50+",Suppressed
,"Pennsylvania","42","Under 15 years","15",57
,"Pennsylvania","42","15-19 years","15-19",5899
,"Pennsylvania","42","20-24 years","20-24",25341
,"Pennsylvania","42","25-29 years","25-29",40941
,"Pennsylvania","42","30-34 years","30-34",41942
,"Pennsylvania","42","35-39 years","35-39",19617
,"Pennsylvania","42","40-44 years","40-44",3659
,"Pennsylvania","42","45-49 years","45-49",258
,"Pennsylvania","42","50 years and over","50+",31
,"Rhode Island","44","Under 15 years","15",Suppressed
,"Rhode Island","44","15-19 years","15-19",414
,"Rhode Island","44","20-24 years","20-24",1816
,"Rhode Island","44","25-29 years","25-29",2971
,"Rhode Island","44","30-34 years","30-34",3311
,"Rhode Island","44","35-39 years","35-39",1755
,"Rhode Island","44","40-44 years","40-44",338
,"Rhode Island","44","45-49 years","45-49",24
,"Rhode Island","44","50 years and over","50+",Suppressed
,"South Carolina","45","Under 15 years","15",40
,"South Carolina","45","15-19 years","15-19",3408
,"South Carolina","45","20-24 years","20-24",13531
,"South Carolina","45","25-29 years","25-29",17664
,"South Carolina","45","30-34 years","30-34",14465
,"South Carolina","45","35-39 years","35-39",6622
,"South Carolina","45","40-44 years","40-44",1233
,"South Carolina","45","45-49 years","45-49",66
,"South Carolina","45","50 years and over","50+",0
,"South Dakota","46","Under 15 years","15",Suppressed
,"South Dakota","46","15-19 years","15-19",614
,"South Dakota","46","20-24 years","20-24",2496
,"South Dakota","46","25-29 years","25-29",4024
,"South Dakota","46","30-34 years","30-34",3402
,"South Dakota","46","35-39 years","35-39",1343
,"South Dakota","46","40-44 years","40-44",234
,"South Dakota","46","45-49 years","45-49",13
,"South Dakota","46","50 years and over","50+",0
,"Tennessee","47","Under 15 years","15",68
,"Tennessee","47","15-19 years","15-19",5516
,"Tennessee","47","20-24 years","20-24",20126
,"Tennessee","47","25-29 years","25-29",25247
,"Tennessee","47","30-34 years","30-34",19747
,"Tennessee","47","35-39 years","35-39",8638
,"Tennessee","47","40-44 years","40-44",1548
,"Tennessee","47","45-49 years","45-49",120
,"Tennessee","47","50 years and over","50+",Suppressed
,"Texas","48","Under 15 years","15",301
,"Texas","48","15-19 years","15-19",26971
,"Texas","48","20-24 years","20-24",86812
,"Texas","48","25-29 years","25-29",110942
,"Texas","48","30-34 years","30-34",98384
,"Texas","48","35-39 years","35-39",48052
,"Texas","48","40-44 years","40-44",9926
,"Texas","48","45-49 years","45-49",616
,"Texas","48","50 years and over","50+",46
,"Utah","49","Under 15 years","15",Suppressed
,"Utah","49","15-19 years","15-19",1801
,"Utah","49","20-24 years","20-24",10138
,"Utah","49","25-29 years","25-29",16435
,"Utah","49","30-34 years","30-34",13096
,"Utah","49","35-39 years","35-39",5906
,"Utah","49","40-44 years","40-44",1128
,"Utah","49","45-49 years","45-49",69
,"Utah","49","50 years and over","50+",Suppressed
,"Vermont","50","Under 15 years","15",Suppressed
,"Vermont","50","15-19 years","15-19",206
,"Vermont","50","20-24 years","20-24",896
,"Vermont","50","25-29 years","25-29",1648
,"Vermont","50","30-34 years","30-34",1792
,"Vermont","50","35-39 years","35-39",921
,"Vermont","50","40-44 years","40-44",179
,"Vermont","50","45-49 years","45-49",10
,"Vermont","50","50 years and over","50+",Suppressed
,"Virginia","51","Under 15 years","15",40
,"Virginia","51","15-19 years","15-19",3987
,"Virginia","51","20-24 years","20-24",17973
,"Virginia","51","25-29 years","25-29",28424
,"Virginia","51","30-34 years","30-34",30202
,"Virginia","51","35-39 years","35-39",16239
,"Virginia","51","40-44 years","40-44",3262
,"Virginia","51","45-49 years","45-49",235
,"Virginia","51","50 years and over","50+",29
,"Washington","53","Under 15 years","15",23
,"Washington","53","15-19 years","15-19",3191
,"Washington","53","20-24 years","20-24",14841
,"Washington","53","25-29 years","25-29",25144
,"Washington","53","30-34 years","30-34",26990
,"Washington","53","35-39 years","35-39",14304
,"Washington","53","40-44 years","40-44",2828
,"Washington","53","45-49 years","45-49",228
,"Washington","53","50 years and over","50+",13
,"West Virginia","54","Under 15 years","15",10
,"West Virginia","54","15-19 years","15-19",1416
,"West Virginia","54","20-24 years","20-24",5449
,"West Virginia","54","25-29 years","25-29",5781
,"West Virginia","54","30-34 years","30-34",3988
,"West Virginia","54","35-39 years","35-39",1693
,"West Virginia","54","40-44 years","40-44",312
,"West Virginia","54","45-49 years","45-49",22
,"West Virginia","54","50 years and over","50+",Suppressed
,"Wisconsin","55","Under 15 years","15",24
,"Wisconsin","55","15-19 years","15-19",2564
,"Wisconsin","55","20-24 years","20-24",11602
,"Wisconsin","55","25-29 years","25-29",20362
,"Wisconsin","55","30-34 years","30-34",20217
,"Wisconsin","55","35-39 years","35-39",8617
,"Wisconsin","55","40-44 years","40-44",1501
,"Wisconsin","55","45-49 years","45-49",86
,"Wisconsin","55","50 years and over","50+",Suppressed
,"Wyoming","56","Under 15 years","15",Suppressed
,"Wyoming","56","15-19 years","15-19",424
,"Wyoming","56","20-24 years","20-24",1562
,"Wyoming","56","25-29 years","25-29",2285
,"Wyoming","56","30-34 years","30-34",1755
,"Wyoming","56","35-39 years","35-39",750
,"Wyoming","56","40-44 years","40-44",116
,"Wyoming","56","45-49 years","45-49",Suppressed
,"Wyoming","56","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2017"
"Group By: State of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 4:54:40 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 4:54:40 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
