"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Indiana","18","15-19 years","15-19",4127
,"Indiana","18","20-24 years","20-24",17907
,"Indiana","18","25-29 years","25-29",25122
,"Indiana","18","30-34 years","30-34",20748
,"Indiana","18","35-39 years","35-39",8806
,"Indiana","18","40-44 years","40-44",1762
,"Indiana","18","45-49 years","45-49",94
,"Indiana","18","50 years and over","50+",Suppressed
,"Iowa","19","Under 15 years","15",14
,"Iowa","19","15-19 years","15-19",1381
,"Iowa","19","20-24 years","20-24",6784
,"Iowa","19","25-29 years","25-29",12213
,"Iowa","19","30-34 years","30-34",10441
,"Iowa","19","35-39 years","35-39",4391
,"Iowa","19","40-44 years","40-44",848
,"Iowa","19","45-49 years","45-49",40
,"Iowa","19","50 years and over","50+",Suppressed
,"Kansas","20","Under 15 years","15",15
,"Kansas","20","15-19 years","15-19",1749
,"Kansas","20","20-24 years","20-24",7364
,"Kansas","20","25-29 years","25-29",10648
,"Kansas","20","30-34 years","30-34",9601
,"Kansas","20","35-39 years","35-39",4197
,"Kansas","20","40-44 years","40-44",752
,"Kansas","20","45-49 years","45-49",48
,"Kansas","20","50 years and over","50+",Suppressed
,"Kentucky","21","Under 15 years","15",29
,"Kentucky","21","15-19 years","15-19",3302
,"Kentucky","21","20-24 years","20-24",13307
,"Kentucky","21","25-29 years","25-29",15853
,"Kentucky","21","30-34 years","30-34",12547
,"Kentucky","21","35-39 years","35-39",5508
,"Kentucky","21","40-44 years","40-44",1065
,"Kentucky","21","45-49 years","45-49",53
,"Kentucky","21","50 years and over","50+",Suppressed
,"Louisiana","22","Under 15 years","15",64
,"Louisiana","22","15-19 years","15-19",3676
,"Louisiana","22","20-24 years","20-24",13972
,"Louisiana","22","25-29 years","25-29",17664
,"Louisiana","22","30-34 years","30-34",14003
,"Louisiana","22","35-39 years","35-39",6624
,"Louisiana","22","40-44 years","40-44",1263
,"Louisiana","22","45-49 years","45-49",60
,"Louisiana","22","50 years and over","50+",Suppressed
,"Maine","23","Under 15 years","15",Suppressed
,"Maine","23","15-19 years","15-19",396
,"Maine","23","20-24 years","20-24",1907
,"Maine","23","25-29 years","25-29",3334
,"Maine","23","30-34 years","30-34",3691
,"Maine","23","35-39 years","35-39",1838
,"Maine","23","40-44 years","40-44",347
,"Maine","23","45-49 years","45-49",18
,"Maine","23","50 years and over","50+",Suppressed
,"Maryland","24","Under 15 years","15",38
,"Maryland","24","15-19 years","15-19",2431
,"Maryland","24","20-24 years","20-24",9414
,"Maryland","24","25-29 years","25-29",17628
,"Maryland","24","30-34 years","30-34",22596
,"Maryland","24","35-39 years","35-39",13234
,"Maryland","24","40-44 years","40-44",2932
,"Maryland","24","45-49 years","45-49",236
,"Maryland","24","50 years and over","50+",45
,"Massachusetts","25","Under 15 years","15",18
,"Massachusetts","25","15-19 years","15-19",1354
,"Massachusetts","25","20-24 years","20-24",6755
,"Massachusetts","25","25-29 years","25-29",14448
,"Massachusetts","25","30-34 years","30-34",25277
,"Massachusetts","25","35-39 years","35-39",15147
,"Massachusetts","25","40-44 years","40-44",3191
,"Massachusetts","25","45-49 years","45-49",209
,"Massachusetts","25","50 years and over","50+",29
,"Michigan","26","Under 15 years","15",42
,"Michigan","26","15-19 years","15-19",4190
,"Michigan","26","20-24 years","20-24",19181
,"Michigan","26","25-29 years","25-29",32215
,"Michigan","26","30-34 years","30-34",31699
,"Michigan","26","35-39 years","35-39",13872
,"Michigan","26","40-44 years","40-44",2670
,"Michigan","26","45-49 years","45-49",193
,"Michigan","26","50 years and over","50+",12
,"Minnesota","27","Under 15 years","15",20
,"Minnesota","27","15-19 years","15-19",1611
,"Minnesota","27","20-24 years","20-24",8224
,"Minnesota","27","25-29 years","25-29",18269
,"Minnesota","27","30-34 years","30-34",22305
,"Minnesota","27","35-39 years","35-39",10850
,"Minnesota","27","40-44 years","40-44",2016
,"Minnesota","27","45-49 years","45-49",126
,"Minnesota","27","50 years and over","50+",22
,"Mississippi","28","Under 15 years","15",45
,"Mississippi","28","15-19 years","15-19",2711
,"Mississippi","28","20-24 years","20-24",9956
,"Mississippi","28","25-29 years","25-29",11356
,"Mississippi","28","30-34 years","30-34",7661
,"Mississippi","28","35-39 years","35-39",3103
,"Mississippi","28","40-44 years","40-44",618
,"Mississippi","28","45-49 years","45-49",23
,"Mississippi","28","50 years and over","50+",0
,"Missouri","29","Under 15 years","15",35
,"Missouri","29","15-19 years","15-19",3556
,"Missouri","29","20-24 years","20-24",14920
,"Missouri","29","25-29 years","25-29",21796
,"Missouri","29","30-34 years","30-34",19003
,"Missouri","29","35-39 years","35-39",8315
,"Missouri","29","40-44 years","40-44",1583
,"Missouri","29","45-49 years","45-49",72
,"Missouri","29","50 years and over","50+",Suppressed
,"Montana","30","Under 15 years","15",Suppressed
,"Montana","30","15-19 years","15-19",411
,"Montana","30","20-24 years","20-24",2108
,"Montana","30","25-29 years","25-29",3270
,"Montana","30","30-34 years","30-34",3186
,"Montana","30","35-39 years","35-39",1513
,"Montana","30","40-44 years","40-44",287
,"Montana","30","45-49 years","45-49",12
,"Montana","30","50 years and over","50+",Suppressed
,"Nebraska","31","Under 15 years","15",13
,"Nebraska","31","15-19 years","15-19",984
,"Nebraska","31","20-24 years","20-24",4243
,"Nebraska","31","25-29 years","25-29",7711
,"Nebraska","31","30-34 years","30-34",7395
,"Nebraska","31","35-39 years","35-39",3319
,"Nebraska","31","40-44 years","40-44",594
,"Nebraska","31","45-49 years","45-49",31
,"Nebraska","31","50 years and over","50+",Suppressed
,"Nevada","32","Under 15 years","15",Suppressed
,"Nevada","32","15-19 years","15-19",1506
,"Nevada","32","20-24 years","20-24",6658
,"Nevada","32","25-29 years","25-29",9989
,"Nevada","32","30-34 years","30-34",9288
,"Nevada","32","35-39 years","35-39",4994
,"Nevada","32","40-44 years","40-44",1128
,"Nevada","32","45-49 years","45-49",74
,"Nevada","32","50 years and over","50+",Suppressed
,"New Hampshire","33","Under 15 years","15",Suppressed
,"New Hampshire","33","15-19 years","15-19",272
,"New Hampshire","33","20-24 years","20-24",1511
,"New Hampshire","33","25-29 years","25-29",3283
,"New Hampshire","33","30-34 years","30-34",4306
,"New Hampshire","33","35-39 years","35-39",2040
,"New Hampshire","33","40-44 years","40-44",360
,"New Hampshire","33","45-49 years","45-49",17
,"New Hampshire","33","50 years and over","50+",0
,"New Jersey","34","Under 15 years","15",32
,"New Jersey","34","15-19 years","15-19",2450
,"New Jersey","34","20-24 years","20-24",11799
,"New Jersey","34","25-29 years","25-29",22876
,"New Jersey","34","30-34 years","30-34",34683
,"New Jersey","34","35-39 years","35-39",20852
,"New Jersey","34","40-44 years","40-44",4859
,"New Jersey","34","45-49 years","45-49",365
,"New Jersey","34","50 years and over","50+",38
,"New Mexico","35","Under 15 years","15",11
,"New Mexico","35","15-19 years","15-19",1485
,"New Mexico","35","20-24 years","20-24",5330
,"New Mexico","35","25-29 years","25-29",6609
,"New Mexico","35","30-34 years","30-34",5290
,"New Mexico","35","35-39 years","35-39",2604
,"New Mexico","35","40-44 years","40-44",545
,"New Mexico","35","45-49 years","45-49",28
,"New Mexico","35","50 years and over","50+",Suppressed
,"New York","36","Under 15 years","15",77
,"New York","36","15-19 years","15-19",5681
,"New York","36","20-24 years","20-24",30456
,"New York","36","25-29 years","25-29",51709
,"New York","36","30-34 years","30-34",68063
,"New York","36","35-39 years","35-39",41970
,"New York","36","40-44 years","40-44",10397
,"New York","36","45-49 years","45-49",861
,"New York","36","50 years and over","50+",124
,"North Carolina","37","Under 15 years","15",61
,"North Carolina","37","15-19 years","15-19",5841
,"North Carolina","37","20-24 years","20-24",23896
,"North Carolina","37","25-29 years","25-29",34050
,"North Carolina","37","30-34 years","30-34",33039
,"North Carolina","37","35-39 years","35-39",16089
,"North Carolina","37","40-44 years","40-44",3525
,"North Carolina","37","45-49 years","45-49",213
,"North Carolina","37","50 years and over","50+",16
,"North Dakota","38","Under 15 years","15",Suppressed
,"North Dakota","38","15-19 years","15-19",319
,"North Dakota","38","20-24 years","20-24",1789
,"North Dakota","38","25-29 years","25-29",3413
,"North Dakota","38","30-34 years","30-34",3071
,"North Dakota","38","35-39 years","35-39",1247
,"North Dakota","38","40-44 years","40-44",197
,"North Dakota","38","45-49 years","45-49",13
,"North Dakota","38","50 years and over","50+",Suppressed
,"Ohio","39","Under 15 years","15",90
,"Ohio","39","15-19 years","15-19",6404
,"Ohio","39","20-24 years","20-24",26422
,"Ohio","39","25-29 years","25-29",39389
,"Ohio","39","30-34 years","30-34",37209
,"Ohio","39","35-39 years","35-39",16498
,"Ohio","39","40-44 years","40-44",3000
,"Ohio","39","45-49 years","45-49",161
,"Ohio","39","50 years and over","50+",18
,"Oklahoma","40","Under 15 years","15",36
,"Oklahoma","40","15-19 years","15-19",3218
,"Oklahoma","40","20-24 years","20-24",12265
,"Oklahoma","40","25-29 years","25-29",14782
,"Oklahoma","40","30-34 years","30-34",11395
,"Oklahoma","40","35-39 years","35-39",4937
,"Oklahoma","40","40-44 years","40-44",940
,"Oklahoma","40","45-49 years","45-49",47
,"Oklahoma","40","50 years and over","50+",Suppressed
,"Oregon","41","Under 15 years","15",10
,"Oregon","41","15-19 years","15-19",1210
,"Oregon","41","20-24 years","20-24",6749
,"Oregon","41","25-29 years","25-29",11053
,"Oregon","41","30-34 years","30-34",12197
,"Oregon","41","35-39 years","35-39",7047
,"Oregon","41","40-44 years","40-44",1463
,"Oregon","41","45-49 years","45-49",85
,"Oregon","41","50 years and over","50+",Suppressed
,"Pennsylvania","42","Under 15 years","15",57
,"Pennsylvania","42","15-19 years","15-19",4895
,"Pennsylvania","42","20-24 years","20-24",21563
,"Pennsylvania","42","25-29 years","25-29",36930
,"Pennsylvania","42","30-34 years","30-34",42157
,"Pennsylvania","42","35-39 years","35-39",20831
,"Pennsylvania","42","40-44 years","40-44",4010
,"Pennsylvania","42","45-49 years","45-49",222
,"Pennsylvania","42","50 years and over","50+",28
,"Rhode Island","44","Under 15 years","15",Suppressed
,"Rhode Island","44","15-19 years","15-19",328
,"Rhode Island","44","20-24 years","20-24",1472
,"Rhode Island","44","25-29 years","25-29",2694
,"Rhode Island","44","30-34 years","30-34",3416
,"Rhode Island","44","35-39 years","35-39",1781
,"Rhode Island","44","40-44 years","40-44",384
,"Rhode Island","44","45-49 years","45-49",18
,"Rhode Island","44","50 years and over","50+",Suppressed
,"South Carolina","45","Under 15 years","15",36
,"South Carolina","45","15-19 years","15-19",3069
,"South Carolina","45","20-24 years","20-24",12002
,"South Carolina","45","25-29 years","25-29",16838
,"South Carolina","45","30-34 years","30-34",15122
,"South Carolina","45","35-39 years","35-39",7126
,"South Carolina","45","40-44 years","40-44",1421
,"South Carolina","45","45-49 years","45-49",88
,"South Carolina","45","50 years and over","50+",Suppressed
,"South Dakota","46","Under 15 years","15",Suppressed
,"South Dakota","46","15-19 years","15-19",533
,"South Dakota","46","20-24 years","20-24",2062
,"South Dakota","46","25-29 years","25-29",3682
,"South Dakota","46","30-34 years","30-34",3159
,"South Dakota","46","35-39 years","35-39",1283
,"South Dakota","46","40-44 years","40-44",227
,"South Dakota","46","45-49 years","45-49",Suppressed
,"South Dakota","46","50 years and over","50+",Suppressed
,"Tennessee","47","Under 15 years","15",51
,"Tennessee","47","15-19 years","15-19",4826
,"Tennessee","47","20-24 years","20-24",18395
,"Tennessee","47","25-29 years","25-29",24020
,"Tennessee","47","30-34 years","30-34",20208
,"Tennessee","47","35-39 years","35-39",9313
,"Tennessee","47","40-44 years","40-44",1776
,"Tennessee","47","45-49 years","45-49",90
,"Tennessee","47","50 years and over","50+",10
,"Texas","48","Under 15 years","15",257
,"Texas","48","15-19 years","15-19",22641
,"Texas","48","20-24 years","20-24",79490
,"Texas","48","25-29 years","25-29",106367
,"Texas","48","30-34 years","30-34",98558
,"Texas","48","35-39 years","35-39",49830
,"Texas","48","40-44 years","40-44",10359
,"Texas","48","45-49 years","45-49",632
,"Texas","48","50 years and over","50+",56
,"Utah","49","Under 15 years","15",Suppressed
,"Utah","49","15-19 years","15-19",1363
,"Utah","49","20-24 years","20-24",9062
,"Utah","49","25-29 years","25-29",15865
,"Utah","49","30-34 years","30-34",12367
,"Utah","49","35-39 years","35-39",5757
,"Utah","49","40-44 years","40-44",1207
,"Utah","49","45-49 years","45-49",67
,"Utah","49","50 years and over","50+",Suppressed
,"Vermont","50","Under 15 years","15",0
,"Vermont","50","15-19 years","15-19",139
,"Vermont","50","20-24 years","20-24",759
,"Vermont","50","25-29 years","25-29",1366
,"Vermont","50","30-34 years","30-34",1661
,"Vermont","50","35-39 years","35-39",987
,"Vermont","50","40-44 years","40-44",207
,"Vermont","50","45-49 years","45-49",13
,"Vermont","50","50 years and over","50+",Suppressed
,"Virginia","51","Under 15 years","15",32
,"Virginia","51","15-19 years","15-19",3488
,"Virginia","51","20-24 years","20-24",15623
,"Virginia","51","25-29 years","25-29",25766
,"Virginia","51","30-34 years","30-34",29689
,"Virginia","51","35-39 years","35-39",16274
,"Virginia","51","40-44 years","40-44",3592
,"Virginia","51","45-49 years","45-49",255
,"Virginia","51","50 years and over","50+",30
,"Washington","53","Under 15 years","15",25
,"Washington","53","15-19 years","15-19",2478
,"Washington","53","20-24 years","20-24",12766
,"Washington","53","25-29 years","25-29",22991
,"Washington","53","30-34 years","30-34",26535
,"Washington","53","35-39 years","35-39",14976
,"Washington","53","40-44 years","40-44",3064
,"Washington","53","45-49 years","45-49",229
,"Washington","53","50 years and over","50+",22
,"West Virginia","54","Under 15 years","15",14
,"West Virginia","54","15-19 years","15-19",1139
,"West Virginia","54","20-24 years","20-24",4736
,"West Virginia","54","25-29 years","25-29",5513
,"West Virginia","54","30-34 years","30-34",3931
,"West Virginia","54","35-39 years","35-39",1640
,"West Virginia","54","40-44 years","40-44",317
,"West Virginia","54","45-49 years","45-49",28
,"West Virginia","54","50 years and over","50+",Suppressed
,"Wisconsin","55","Under 15 years","15",30
,"Wisconsin","55","15-19 years","15-19",2113
,"Wisconsin","55","20-24 years","20-24",9856
,"Wisconsin","55","25-29 years","25-29",18450
,"Wisconsin","55","30-34 years","30-34",19675
,"Wisconsin","55","35-39 years","35-39",8814
,"Wisconsin","55","40-44 years","40-44",1570
,"Wisconsin","55","45-49 years","45-49",84
,"Wisconsin","55","50 years and over","50+",Suppressed
,"Wyoming","56","Under 15 years","15",Suppressed
,"Wyoming","56","15-19 years","15-19",322
,"Wyoming","56","20-24 years","20-24",1443
,"Wyoming","56","25-29 years","25-29",1889
,"Wyoming","56","30-34 years","30-34",1610
,"Wyoming","56","35-39 years","35-39",719
,"Wyoming","56","40-44 years","40-44",135
,"Wyoming","56","45-49 years","45-49",Suppressed
,"Wyoming","56","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2020"
"Group By: State of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:22:39 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:22:39 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
