"Notes","State of Residence","State of Residence Code","Mother's Education","Mother's Education Code",Births
,"California","06","Associate degree (AA, AS)","5",29872
,"California","06","Bachelor's degree (BA, AB, BS)","6",92001
,"California","06","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",41821
,"California","06","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",13912
,"California","06","Unknown or Not Stated","Unk",24512
,"California","06","Excluded","Exc",0
,"California","06","Not Reported","NR",0
,"Colorado","08","8th grade or less","1",1465
,"Colorado","08","9th through 12th grade with no diploma","2",5291
,"Colorado","08","High school graduate or GED completed","3",12506
,"Colorado","08","Some college credit, but not a degree","4",13177
,"Colorado","08","Associate degree (AA, AS)","5",4914
,"Colorado","08","Bachelor's degree (BA, AB, BS)","6",15574
,"Colorado","08","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",7031
,"Colorado","08","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2050
,"Colorado","08","Unknown or Not Stated","Unk",877
,"Colorado","08","Excluded","Exc",0
,"Colorado","08","Not Reported","NR",0
,"Connecticut","09","8th grade or less","1",766
,"Connecticut","09","9th through 12th grade with no diploma","2",2484
,"Connecticut","09","High school graduate or GED completed","3",6587
,"Connecticut","09","Some college credit, but not a degree","4",6078
,"Connecticut","09","Associate degree (AA, AS)","5",3126
,"Connecticut","09","Bachelor's degree (BA, AB, BS)","6",8200
,"Connecticut","09","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5961
,"Connecticut","09","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1456
,"Connecticut","09","Unknown or Not Stated","Unk",67
,"Connecticut","09","Excluded","Exc",0
,"Connecticut","09","Not Reported","NR",0
,"Delaware","10","8th grade or less","1",461
,"Delaware","10","9th through 12th grade with no diploma","2",1048
,"Delaware","10","High school graduate or GED completed","3",2824
,"Delaware","10","Some college credit, but not a degree","4",2127
,"Delaware","10","Associate degree (AA, AS)","5",740
,"Delaware","10","Bachelor's degree (BA, AB, BS)","6",1959
,"Delaware","10","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1144
,"Delaware","10","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",253
,"Delaware","10","Unknown or Not Stated","Unk",65
,"Delaware","10","Excluded","Exc",0
,"Delaware","10","Not Reported","NR",0
,"District of Columbia","11","8th grade or less","1",275
,"District of Columbia","11","9th through 12th grade with no diploma","2",828
,"District of Columbia","11","High school graduate or GED completed","3",2035
,"District of Columbia","11","Some college credit, but not a degree","4",1171
,"District of Columbia","11","Associate degree (AA, AS)","5",255
,"District of Columbia","11","Bachelor's degree (BA, AB, BS)","6",1550
,"District of Columbia","11","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1932
,"District of Columbia","11","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1070
,"District of Columbia","11","Unknown or Not Stated","Unk",96
,"District of Columbia","11","Excluded","Exc",0
,"District of Columbia","11","Not Reported","NR",0
,"Florida","12","8th grade or less","1",6404
,"Florida","12","9th through 12th grade with no diploma","2",18922
,"Florida","12","High school graduate or GED completed","3",67627
,"Florida","12","Some college credit, but not a degree","4",40610
,"Florida","12","Associate degree (AA, AS)","5",22817
,"Florida","12","Bachelor's degree (BA, AB, BS)","6",41416
,"Florida","12","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",16318
,"Florida","12","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",4887
,"Florida","12","Unknown or Not Stated","Unk",2541
,"Florida","12","Excluded","Exc",0
,"Florida","12","Not Reported","NR",0
,"Georgia","13","8th grade or less","1",4086
,"Georgia","13","9th through 12th grade with no diploma","2",11878
,"Georgia","13","High school graduate or GED completed","3",39741
,"Georgia","13","Some college credit, but not a degree","4",22893
,"Georgia","13","Associate degree (AA, AS)","5",9470
,"Georgia","13","Bachelor's degree (BA, AB, BS)","6",26669
,"Georgia","13","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",8745
,"Georgia","13","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2114
,"Georgia","13","Unknown or Not Stated","Unk",576
,"Georgia","13","Excluded","Exc",0
,"Georgia","13","Not Reported","NR",0
,"Hawaii","15","8th grade or less","1",137
,"Hawaii","15","9th through 12th grade with no diploma","2",2858
,"Hawaii","15","High school graduate or GED completed","3",2907
,"Hawaii","15","Some college credit, but not a degree","4",3433
,"Hawaii","15","Associate degree (AA, AS)","5",1976
,"Hawaii","15","Bachelor's degree (BA, AB, BS)","6",3889
,"Hawaii","15","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1407
,"Hawaii","15","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",248
,"Hawaii","15","Unknown or Not Stated","Unk",117
,"Hawaii","15","Excluded","Exc",0
,"Hawaii","15","Not Reported","NR",0
,"Idaho","16","8th grade or less","1",414
,"Idaho","16","9th through 12th grade with no diploma","2",1801
,"Idaho","16","High school graduate or GED completed","3",5430
,"Idaho","16","Some college credit, but not a degree","4",5476
,"Idaho","16","Associate degree (AA, AS)","5",2148
,"Idaho","16","Bachelor's degree (BA, AB, BS)","6",4673
,"Idaho","16","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1059
,"Idaho","16","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",300
,"Idaho","16","Unknown or Not Stated","Unk",102
,"Idaho","16","Excluded","Exc",0
,"Idaho","16","Not Reported","NR",0
,"Illinois","17","8th grade or less","1",3162
,"Illinois","17","9th through 12th grade with no diploma","2",11739
,"Illinois","17","High school graduate or GED completed","3",32953
,"Illinois","17","Some college credit, but not a degree","4",27669
,"Illinois","17","Associate degree (AA, AS)","5",11547
,"Illinois","17","Bachelor's degree (BA, AB, BS)","6",33058
,"Illinois","17","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",17859
,"Illinois","17","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",4588
,"Illinois","17","Unknown or Not Stated","Unk",2240
,"Illinois","17","Excluded","Exc",0
,"Illinois","17","Not Reported","NR",0
,"Indiana","18","8th grade or less","1",3769
,"Indiana","18","9th through 12th grade with no diploma","2",8453
,"Indiana","18","High school graduate or GED completed","3",23558
,"Indiana","18","Some college credit, but not a degree","4",16215
,"Indiana","18","Associate degree (AA, AS)","5",6842
,"Indiana","18","Bachelor's degree (BA, AB, BS)","6",16128
,"Indiana","18","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",4975
,"Indiana","18","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1601
,"Indiana","18","Unknown or Not Stated","Unk",105
,"Indiana","18","Excluded","Exc",0
,"Indiana","18","Not Reported","NR",0
,"Iowa","19","8th grade or less","1",1204
,"Iowa","19","9th through 12th grade with no diploma","2",3091
,"Iowa","19","High school graduate or GED completed","3",9172
,"Iowa","19","Some college credit, but not a degree","4",6349
,"Iowa","19","Associate degree (AA, AS)","5",4746
,"Iowa","19","Bachelor's degree (BA, AB, BS)","6",9062
,"Iowa","19","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3036
,"Iowa","19","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1047
,"Iowa","19","Unknown or Not Stated","Unk",78
,"Iowa","19","Excluded","Exc",0
,"Iowa","19","Not Reported","NR",0
,"Kansas","20","8th grade or less","1",1029
,"Kansas","20","9th through 12th grade with no diploma","2",3199
,"Kansas","20","High school graduate or GED completed","3",8832
,"Kansas","20","Some college credit, but not a degree","4",7350
,"Kansas","20","Associate degree (AA, AS)","5",3486
,"Kansas","20","Bachelor's degree (BA, AB, BS)","6",8249
,"Kansas","20","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3096
,"Kansas","20","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",886
,"Kansas","20","Unknown or Not Stated","Unk",134
,"Kansas","20","Excluded","Exc",0
,"Kansas","20","Not Reported","NR",0
,"Kentucky","21","8th grade or less","1",1859
,"Kentucky","21","9th through 12th grade with no diploma","2",5238
,"Kentucky","21","High school graduate or GED completed","3",15922
,"Kentucky","21","Some college credit, but not a degree","4",12130
,"Kentucky","21","Associate degree (AA, AS)","5",4928
,"Kentucky","21","Bachelor's degree (BA, AB, BS)","6",8173
,"Kentucky","21","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",4293
,"Kentucky","21","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1141
,"Kentucky","21","Unknown or Not Stated","Unk",238
,"Kentucky","21","Excluded","Exc",0
,"Kentucky","21","Not Reported","NR",0
,"Louisiana","22","8th grade or less","1",1635
,"Louisiana","22","9th through 12th grade with no diploma","2",7147
,"Louisiana","22","High school graduate or GED completed","3",19315
,"Louisiana","22","Some college credit, but not a degree","4",12217
,"Louisiana","22","Associate degree (AA, AS)","5",4582
,"Louisiana","22","Bachelor's degree (BA, AB, BS)","6",9747
,"Louisiana","22","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3407
,"Louisiana","22","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1196
,"Louisiana","22","Unknown or Not Stated","Unk",369
,"Louisiana","22","Excluded","Exc",0
,"Louisiana","22","Not Reported","NR",0
,"Maine","23","8th grade or less","1",191
,"Maine","23","9th through 12th grade with no diploma","2",628
,"Maine","23","High school graduate or GED completed","3",3303
,"Maine","23","Some college credit, but not a degree","4",2663
,"Maine","23","Associate degree (AA, AS)","5",1186
,"Maine","23","Bachelor's degree (BA, AB, BS)","6",2799
,"Maine","23","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1155
,"Maine","23","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",368
,"Maine","23","Unknown or Not Stated","Unk",18
,"Maine","23","Excluded","Exc",0
,"Maine","23","Not Reported","NR",0
,"Maryland","24","8th grade or less","1",3131
,"Maryland","24","9th through 12th grade with no diploma","2",5802
,"Maryland","24","High school graduate or GED completed","3",14188
,"Maryland","24","Some college credit, but not a degree","4",13647
,"Maryland","24","Associate degree (AA, AS)","5",4567
,"Maryland","24","Bachelor's degree (BA, AB, BS)","6",15476
,"Maryland","24","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",10653
,"Maryland","24","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",3202
,"Maryland","24","Unknown or Not Stated","Unk",414
,"Maryland","24","Excluded","Exc",0
,"Maryland","24","Not Reported","NR",0
,"Massachusetts","25","8th grade or less","1",1488
,"Massachusetts","25","9th through 12th grade with no diploma","2",4157
,"Massachusetts","25","High school graduate or GED completed","3",10954
,"Massachusetts","25","Some college credit, but not a degree","4",12377
,"Massachusetts","25","Associate degree (AA, AS)","5",4182
,"Massachusetts","25","Bachelor's degree (BA, AB, BS)","6",17385
,"Massachusetts","25","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",12871
,"Massachusetts","25","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",4068
,"Massachusetts","25","Unknown or Not Stated","Unk",1627
,"Massachusetts","25","Excluded","Exc",0
,"Massachusetts","25","Not Reported","NR",0
,"Michigan","26","8th grade or less","1",2244
,"Michigan","26","9th through 12th grade with no diploma","2",9624
,"Michigan","26","High school graduate or GED completed","3",27793
,"Michigan","26","Some college credit, but not a degree","4",25100
,"Michigan","26","Associate degree (AA, AS)","5",9423
,"Michigan","26","Bachelor's degree (BA, AB, BS)","6",22410
,"Michigan","26","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",9542
,"Michigan","26","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2836
,"Michigan","26","Unknown or Not Stated","Unk",1060
,"Michigan","26","Excluded","Exc",0
,"Michigan","26","Not Reported","NR",0
,"Minnesota","27","8th grade or less","1",2353
,"Minnesota","27","9th through 12th grade with no diploma","2",4390
,"Minnesota","27","High school graduate or GED completed","3",11329
,"Minnesota","27","Some college credit, but not a degree","4",12272
,"Minnesota","27","Associate degree (AA, AS)","5",8500
,"Minnesota","27","Bachelor's degree (BA, AB, BS)","6",18724
,"Minnesota","27","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",7144
,"Minnesota","27","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2243
,"Minnesota","27","Unknown or Not Stated","Unk",389
,"Minnesota","27","Excluded","Exc",0
,"Minnesota","27","Not Reported","NR",0
,"Mississippi","28","8th grade or less","1",770
,"Mississippi","28","9th through 12th grade with no diploma","2",3901
,"Mississippi","28","High school graduate or GED completed","3",10859
,"Mississippi","28","Some college credit, but not a degree","4",8795
,"Mississippi","28","Associate degree (AA, AS)","5",4741
,"Mississippi","28","Bachelor's degree (BA, AB, BS)","6",5080
,"Mississippi","28","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2177
,"Mississippi","28","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",580
,"Mississippi","28","Unknown or Not Stated","Unk",97
,"Mississippi","28","Excluded","Exc",0
,"Mississippi","28","Not Reported","NR",0
,"Missouri","29","8th grade or less","1",2011
,"Missouri","29","9th through 12th grade with no diploma","2",6716
,"Missouri","29","High school graduate or GED completed","3",18489
,"Missouri","29","Some college credit, but not a degree","4",16607
,"Missouri","29","Associate degree (AA, AS)","5",6494
,"Missouri","29","Bachelor's degree (BA, AB, BS)","6",14256
,"Missouri","29","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",6733
,"Missouri","29","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1722
,"Missouri","29","Unknown or Not Stated","Unk",241
,"Missouri","29","Excluded","Exc",0
,"Missouri","29","Not Reported","NR",0
,"Montana","30","8th grade or less","1",216
,"Montana","30","9th through 12th grade with no diploma","2",947
,"Montana","30","High school graduate or GED completed","3",3138
,"Montana","30","Some college credit, but not a degree","4",2594
,"Montana","30","Associate degree (AA, AS)","5",1026
,"Montana","30","Bachelor's degree (BA, AB, BS)","6",2512
,"Montana","30","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",767
,"Montana","30","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",271
,"Montana","30","Unknown or Not Stated","Unk",42
,"Montana","30","Excluded","Exc",0
,"Montana","30","Not Reported","NR",0
,"Nebraska","31","8th grade or less","1",1038
,"Nebraska","31","9th through 12th grade with no diploma","2",1965
,"Nebraska","31","High school graduate or GED completed","3",4890
,"Nebraska","31","Some college credit, but not a degree","4",5294
,"Nebraska","31","Associate degree (AA, AS)","5",2674
,"Nebraska","31","Bachelor's degree (BA, AB, BS)","6",6317
,"Nebraska","31","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2481
,"Nebraska","31","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",799
,"Nebraska","31","Unknown or Not Stated","Unk",30
,"Nebraska","31","Excluded","Exc",0
,"Nebraska","31","Not Reported","NR",0
,"Nevada","32","8th grade or less","1",829
,"Nevada","32","9th through 12th grade with no diploma","2",4826
,"Nevada","32","High school graduate or GED completed","3",11699
,"Nevada","32","Some college credit, but not a degree","4",7657
,"Nevada","32","Associate degree (AA, AS)","5",2598
,"Nevada","32","Bachelor's degree (BA, AB, BS)","6",5096
,"Nevada","32","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1709
,"Nevada","32","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",525
,"Nevada","32","Unknown or Not Stated","Unk",743
,"Nevada","32","Excluded","Exc",0
,"Nevada","32","Not Reported","NR",0
,"New Hampshire","33","8th grade or less","1",93
,"New Hampshire","33","9th through 12th grade with no diploma","2",564
,"New Hampshire","33","High school graduate or GED completed","3",2514
,"New Hampshire","33","Some college credit, but not a degree","4",2382
,"New Hampshire","33","Associate degree (AA, AS)","5",1082
,"New Hampshire","33","Bachelor's degree (BA, AB, BS)","6",3126
,"New Hampshire","33","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1774
,"New Hampshire","33","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",399
,"New Hampshire","33","Unknown or Not Stated","Unk",61
,"New Hampshire","33","Excluded","Exc",0
,"New Hampshire","33","Not Reported","NR",0
,"New Jersey","34","8th grade or less","1",4149
,"New Jersey","34","9th through 12th grade with no diploma","2",6437
,"New Jersey","34","High school graduate or GED completed","3",23898
,"New Jersey","34","Some college credit, but not a degree","4",12994
,"New Jersey","34","Associate degree (AA, AS)","5",6828
,"New Jersey","34","Bachelor's degree (BA, AB, BS)","6",26829
,"New Jersey","34","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",15901
,"New Jersey","34","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",3569
,"New Jersey","34","Unknown or Not Stated","Unk",618
,"New Jersey","34","Excluded","Exc",0
,"New Jersey","34","Not Reported","NR",0
,"New Mexico","35","8th grade or less","1",557
,"New Mexico","35","9th through 12th grade with no diploma","2",3490
,"New Mexico","35","High school graduate or GED completed","3",5609
,"New Mexico","35","Some college credit, but not a degree","4",6365
,"New Mexico","35","Associate degree (AA, AS)","5",2159
,"New Mexico","35","Bachelor's degree (BA, AB, BS)","6",3182
,"New Mexico","35","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1084
,"New Mexico","35","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",536
,"New Mexico","35","Unknown or Not Stated","Unk",57
,"New Mexico","35","Excluded","Exc",0
,"New Mexico","35","Not Reported","NR",0
,"New York","36","8th grade or less","1",9775
,"New York","36","9th through 12th grade with no diploma","2",22395
,"New York","36","High school graduate or GED completed","3",51751
,"New York","36","Some college credit, but not a degree","4",35082
,"New York","36","Associate degree (AA, AS)","5",17968
,"New York","36","Bachelor's degree (BA, AB, BS)","6",46108
,"New York","36","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",33389
,"New York","36","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",8428
,"New York","36","Unknown or Not Stated","Unk",1342
,"New York","36","Excluded","Exc",0
,"New York","36","Not Reported","NR",0
,"North Carolina","37","8th grade or less","1",3943
,"North Carolina","37","9th through 12th grade with no diploma","2",11694
,"North Carolina","37","High school graduate or GED completed","3",28321
,"North Carolina","37","Some college credit, but not a degree","4",25807
,"North Carolina","37","Associate degree (AA, AS)","5",11226
,"North Carolina","37","Bachelor's degree (BA, AB, BS)","6",24110
,"North Carolina","37","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",10446
,"North Carolina","37","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",3018
,"North Carolina","37","Unknown or Not Stated","Unk",389
,"North Carolina","37","Excluded","Exc",0
,"North Carolina","37","Not Reported","NR",0
,"North Dakota","38","8th grade or less","1",113
,"North Dakota","38","9th through 12th grade with no diploma","2",783
,"North Dakota","38","High school graduate or GED completed","3",2160
,"North Dakota","38","Some college credit, but not a degree","4",2118
,"North Dakota","38","Associate degree (AA, AS)","5",1413
,"North Dakota","38","Bachelor's degree (BA, AB, BS)","6",2793
,"North Dakota","38","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",776
,"North Dakota","38","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",346
,"North Dakota","38","Unknown or Not Stated","Unk",134
,"North Dakota","38","Excluded","Exc",0
,"North Dakota","38","Not Reported","NR",0
,"Ohio","39","8th grade or less","1",4774
,"Ohio","39","9th through 12th grade with no diploma","2",12633
,"Ohio","39","High school graduate or GED completed","3",37813
,"Ohio","39","Some college credit, but not a degree","4",25493
,"Ohio","39","Associate degree (AA, AS)","5",12070
,"Ohio","39","Bachelor's degree (BA, AB, BS)","6",26081
,"Ohio","39","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",12349
,"Ohio","39","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",3537
,"Ohio","39","Unknown or Not Stated","Unk",384
,"Ohio","39","Excluded","Exc",0
,"Ohio","39","Not Reported","NR",0
,"Oklahoma","40","8th grade or less","1",1441
,"Oklahoma","40","9th through 12th grade with no diploma","2",6134
,"Oklahoma","40","High school graduate or GED completed","3",15069
,"Oklahoma","40","Some college credit, but not a degree","4",11534
,"Oklahoma","40","Associate degree (AA, AS)","5",3891
,"Oklahoma","40","Bachelor's degree (BA, AB, BS)","6",8324
,"Oklahoma","40","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2472
,"Oklahoma","40","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",828
,"Oklahoma","40","Unknown or Not Stated","Unk",107
,"Oklahoma","40","Excluded","Exc",0
,"Oklahoma","40","Not Reported","NR",0
,"Oregon","41","8th grade or less","1",1129
,"Oregon","41","9th through 12th grade with no diploma","2",3975
,"Oregon","41","High school graduate or GED completed","3",9483
,"Oregon","41","Some college credit, but not a degree","4",9847
,"Oregon","41","Associate degree (AA, AS)","5",3548
,"Oregon","41","Bachelor's degree (BA, AB, BS)","6",8685
,"Oregon","41","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3883
,"Oregon","41","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1390
,"Oregon","41","Unknown or Not Stated","Unk",248
,"Oregon","41","Excluded","Exc",0
,"Oregon","41","Not Reported","NR",0
,"Pennsylvania","42","8th grade or less","1",4454
,"Pennsylvania","42","9th through 12th grade with no diploma","2",11444
,"Pennsylvania","42","High school graduate or GED completed","3",34084
,"Pennsylvania","42","Some college credit, but not a degree","4",22909
,"Pennsylvania","42","Associate degree (AA, AS)","5",11748
,"Pennsylvania","42","Bachelor's degree (BA, AB, BS)","6",29163
,"Pennsylvania","42","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",16131
,"Pennsylvania","42","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",4481
,"Pennsylvania","42","Unknown or Not Stated","Unk",1259
,"Pennsylvania","42","Excluded","Exc",0
,"Pennsylvania","42","Not Reported","NR",0
,"Rhode Island","44","8th grade or less","1",269
,"Rhode Island","44","9th through 12th grade with no diploma","2",898
,"Rhode Island","44","High school graduate or GED completed","3",2132
,"Rhode Island","44","Some college credit, but not a degree","4",2202
,"Rhode Island","44","Associate degree (AA, AS)","5",741
,"Rhode Island","44","Bachelor's degree (BA, AB, BS)","6",2270
,"Rhode Island","44","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1067
,"Rhode Island","44","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",350
,"Rhode Island","44","Unknown or Not Stated","Unk",577
,"Rhode Island","44","Excluded","Exc",0
,"Rhode Island","44","Not Reported","NR",0
,"South Carolina","45","8th grade or less","1",1293
,"South Carolina","45","9th through 12th grade with no diploma","2",6062
,"South Carolina","45","High school graduate or GED completed","3",14085
,"South Carolina","45","Some college credit, but not a degree","4",13570
,"South Carolina","45","Associate degree (AA, AS)","5",5215
,"South Carolina","45","Bachelor's degree (BA, AB, BS)","6",10514
,"South Carolina","45","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",4467
,"South Carolina","45","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1242
,"South Carolina","45","Unknown or Not Stated","Unk",221
,"South Carolina","45","Excluded","Exc",0
,"South Carolina","45","Not Reported","NR",0
,"South Dakota","46","8th grade or less","1",419
,"South Dakota","46","9th through 12th grade with no diploma","2",1282
,"South Dakota","46","High school graduate or GED completed","3",2901
,"South Dakota","46","Some college credit, but not a degree","4",1975
,"South Dakota","46","Associate degree (AA, AS)","5",1288
,"South Dakota","46","Bachelor's degree (BA, AB, BS)","6",2796
,"South Dakota","46","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",859
,"South Dakota","46","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",321
,"South Dakota","46","Unknown or Not Stated","Unk",52
,"South Dakota","46","Excluded","Exc",0
,"South Dakota","46","Not Reported","NR",0
,"Tennessee","47","8th grade or less","1",2572
,"Tennessee","47","9th through 12th grade with no diploma","2",7604
,"Tennessee","47","High school graduate or GED completed","3",22780
,"Tennessee","47","Some college credit, but not a degree","4",18865
,"Tennessee","47","Associate degree (AA, AS)","5",5919
