"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Illinois","17","45-49 years","45-49",316
,"Illinois","17","50 years and over","50+",34
,"Indiana","18","Under 15 years","15",46
,"Indiana","18","15-19 years","15-19",4840
,"Indiana","18","20-24 years","20-24",19316
,"Indiana","18","25-29 years","25-29",26238
,"Indiana","18","30-34 years","30-34",20660
,"Indiana","18","35-39 years","35-39",8753
,"Indiana","18","40-44 years","40-44",1686
,"Indiana","18","45-49 years","45-49",94
,"Indiana","18","50 years and over","50+",13
,"Iowa","19","Under 15 years","15",10
,"Iowa","19","15-19 years","15-19",1603
,"Iowa","19","20-24 years","20-24",7226
,"Iowa","19","25-29 years","25-29",12980
,"Iowa","19","30-34 years","30-34",10787
,"Iowa","19","35-39 years","35-39",4424
,"Iowa","19","40-44 years","40-44",713
,"Iowa","19","45-49 years","45-49",35
,"Iowa","19","50 years and over","50+",Suppressed
,"Kansas","20","Under 15 years","15",11
,"Kansas","20","15-19 years","15-19",1933
,"Kansas","20","20-24 years","20-24",7844
,"Kansas","20","25-29 years","25-29",11385
,"Kansas","20","30-34 years","30-34",10012
,"Kansas","20","35-39 years","35-39",4302
,"Kansas","20","40-44 years","40-44",730
,"Kansas","20","45-49 years","45-49",39
,"Kansas","20","50 years and over","50+",Suppressed
,"Kentucky","21","Under 15 years","15",26
,"Kentucky","21","15-19 years","15-19",3816
,"Kentucky","21","20-24 years","20-24",14142
,"Kentucky","21","25-29 years","25-29",16831
,"Kentucky","21","30-34 years","30-34",12617
,"Kentucky","21","35-39 years","35-39",5515
,"Kentucky","21","40-44 years","40-44",916
,"Kentucky","21","45-49 years","45-49",55
,"Kentucky","21","50 years and over","50+",Suppressed
,"Louisiana","22","Under 15 years","15",53
,"Louisiana","22","15-19 years","15-19",3991
,"Louisiana","22","20-24 years","20-24",15163
,"Louisiana","22","25-29 years","25-29",18634
,"Louisiana","22","30-34 years","30-34",14201
,"Louisiana","22","35-39 years","35-39",6385
,"Louisiana","22","40-44 years","40-44",1136
,"Louisiana","22","45-49 years","45-49",48
,"Louisiana","22","50 years and over","50+",Suppressed
,"Maine","23","Under 15 years","15",Suppressed
,"Maine","23","15-19 years","15-19",419
,"Maine","23","20-24 years","20-24",2285
,"Maine","23","25-29 years","25-29",3759
,"Maine","23","30-34 years","30-34",3771
,"Maine","23","35-39 years","35-39",1727
,"Maine","23","40-44 years","40-44",329
,"Maine","23","45-49 years","45-49",17
,"Maine","23","50 years and over","50+",Suppressed
,"Maryland","24","Under 15 years","15",33
,"Maryland","24","15-19 years","15-19",2645
,"Maryland","24","20-24 years","20-24",10256
,"Maryland","24","25-29 years","25-29",18989
,"Maryland","24","30-34 years","30-34",23066
,"Maryland","24","35-39 years","35-39",13021
,"Maryland","24","40-44 years","40-44",2794
,"Maryland","24","45-49 years","45-49",244
,"Maryland","24","50 years and over","50+",32
,"Massachusetts","25","Under 15 years","15",17
,"Massachusetts","25","15-19 years","15-19",1638
,"Massachusetts","25","20-24 years","20-24",7540
,"Massachusetts","25","25-29 years","25-29",16113
,"Massachusetts","25","30-34 years","30-34",25601
,"Massachusetts","25","35-39 years","35-39",14893
,"Massachusetts","25","40-44 years","40-44",3091
,"Massachusetts","25","45-49 years","45-49",197
,"Massachusetts","25","50 years and over","50+",19
,"Michigan","26","Under 15 years","15",45
,"Michigan","26","15-19 years","15-19",5042
,"Michigan","26","20-24 years","20-24",21616
,"Michigan","26","25-29 years","25-29",35226
,"Michigan","26","30-34 years","30-34",31433
,"Michigan","26","35-39 years","35-39",13827
,"Michigan","26","40-44 years","40-44",2666
,"Michigan","26","45-49 years","45-49",158
,"Michigan","26","50 years and over","50+",19
,"Minnesota","27","Under 15 years","15",20
,"Minnesota","27","15-19 years","15-19",1794
,"Minnesota","27","20-24 years","20-24",9138
,"Minnesota","27","25-29 years","25-29",20287
,"Minnesota","27","30-34 years","30-34",23306
,"Minnesota","27","35-39 years","35-39",10830
,"Minnesota","27","40-44 years","40-44",1797
,"Minnesota","27","45-49 years","45-49",151
,"Minnesota","27","50 years and over","50+",21
,"Mississippi","28","Under 15 years","15",49
,"Mississippi","28","15-19 years","15-19",2808
,"Mississippi","28","20-24 years","20-24",10777
,"Mississippi","28","25-29 years","25-29",11976
,"Mississippi","28","30-34 years","30-34",7561
,"Mississippi","28","35-39 years","35-39",3241
,"Mississippi","28","40-44 years","40-44",561
,"Mississippi","28","45-49 years","45-49",22
,"Mississippi","28","50 years and over","50+",Suppressed
,"Missouri","29","Under 15 years","15",31
,"Missouri","29","15-19 years","15-19",4109
,"Missouri","29","20-24 years","20-24",16400
,"Missouri","29","25-29 years","25-29",23233
,"Missouri","29","30-34 years","30-34",19395
,"Missouri","29","35-39 years","35-39",8458
,"Missouri","29","40-44 years","40-44",1555
,"Missouri","29","45-49 years","45-49",83
,"Missouri","29","50 years and over","50+",Suppressed
,"Montana","30","Under 15 years","15",Suppressed
,"Montana","30","15-19 years","15-19",531
,"Montana","30","20-24 years","20-24",2410
,"Montana","30","25-29 years","25-29",3633
,"Montana","30","30-34 years","30-34",3237
,"Montana","30","35-39 years","35-39",1442
,"Montana","30","40-44 years","40-44",242
,"Montana","30","45-49 years","45-49",16
,"Montana","30","50 years and over","50+",Suppressed
,"Nebraska","31","Under 15 years","15",Suppressed
,"Nebraska","31","15-19 years","15-19",1073
,"Nebraska","31","20-24 years","20-24",4585
,"Nebraska","31","25-29 years","25-29",8263
,"Nebraska","31","30-34 years","30-34",7662
,"Nebraska","31","35-39 years","35-39",3300
,"Nebraska","31","40-44 years","40-44",563
,"Nebraska","31","45-49 years","45-49",35
,"Nebraska","31","50 years and over","50+",Suppressed
,"Nevada","32","Under 15 years","15",14
,"Nevada","32","15-19 years","15-19",1800
,"Nevada","32","20-24 years","20-24",7611
,"Nevada","32","25-29 years","25-29",10570
,"Nevada","32","30-34 years","30-34",9296
,"Nevada","32","35-39 years","35-39",5132
,"Nevada","32","40-44 years","40-44",1158
,"Nevada","32","45-49 years","45-49",92
,"Nevada","32","50 years and over","50+",Suppressed
,"New Hampshire","33","Under 15 years","15",Suppressed
,"New Hampshire","33","15-19 years","15-19",334
,"New Hampshire","33","20-24 years","20-24",1699
,"New Hampshire","33","25-29 years","25-29",3446
,"New Hampshire","33","30-34 years","30-34",4160
,"New Hampshire","33","35-39 years","35-39",1976
,"New Hampshire","33","40-44 years","40-44",346
,"New Hampshire","33","45-49 years","45-49",29
,"New Hampshire","33","50 years and over","50+",Suppressed
,"New Jersey","34","Under 15 years","15",26
,"New Jersey","34","15-19 years","15-19",2814
,"New Jersey","34","20-24 years","20-24",12890
,"New Jersey","34","25-29 years","25-29",24891
,"New Jersey","34","30-34 years","30-34",34729
,"New Jersey","34","35-39 years","35-39",20790
,"New Jersey","34","40-44 years","40-44",4682
,"New Jersey","34","45-49 years","45-49",356
,"New Jersey","34","50 years and over","50+",45
,"New Mexico","35","Under 15 years","15",19
,"New Mexico","35","15-19 years","15-19",1724
,"New Mexico","35","20-24 years","20-24",5641
,"New Mexico","35","25-29 years","25-29",7064
,"New Mexico","35","30-34 years","30-34",5381
,"New Mexico","35","35-39 years","35-39",2653
,"New Mexico","35","40-44 years","40-44",528
,"New Mexico","35","45-49 years","45-49",28
,"New Mexico","35","50 years and over","50+",Suppressed
,"New York","36","Under 15 years","15",57
,"New York","36","15-19 years","15-19",6847
,"New York","36","20-24 years","20-24",33960
,"New York","36","25-29 years","25-29",57989
,"New York","36","30-34 years","30-34",71637
,"New York","36","35-39 years","35-39",43986
,"New York","36","40-44 years","40-44",10700
,"New York","36","45-49 years","45-49",939
,"New York","36","50 years and over","50+",123
,"North Carolina","37","Under 15 years","15",73
,"North Carolina","37","15-19 years","15-19",6303
,"North Carolina","37","20-24 years","20-24",25296
,"North Carolina","37","25-29 years","25-29",35424
,"North Carolina","37","30-34 years","30-34",32586
,"North Carolina","37","35-39 years","35-39",15898
,"North Carolina","37","40-44 years","40-44",3156
,"North Carolina","37","45-49 years","45-49",203
,"North Carolina","37","50 years and over","50+",15
,"North Dakota","38","Under 15 years","15",Suppressed
,"North Dakota","38","15-19 years","15-19",372
,"North Dakota","38","20-24 years","20-24",2031
,"North Dakota","38","25-29 years","25-29",3742
,"North Dakota","38","30-34 years","30-34",3076
,"North Dakota","38","35-39 years","35-39",1216
,"North Dakota","38","40-44 years","40-44",182
,"North Dakota","38","45-49 years","45-49",10
,"North Dakota","38","50 years and over","50+",Suppressed
,"Ohio","39","Under 15 years","15",56
,"Ohio","39","15-19 years","15-19",7044
,"Ohio","39","20-24 years","20-24",28974
,"Ohio","39","25-29 years","25-29",42183
,"Ohio","39","30-34 years","30-34",37471
,"Ohio","39","35-39 years","35-39",16269
,"Ohio","39","40-44 years","40-44",2899
,"Ohio","39","45-49 years","45-49",219
,"Ohio","39","50 years and over","50+",19
,"Oklahoma","40","Under 15 years","15",32
,"Oklahoma","40","15-19 years","15-19",3492
,"Oklahoma","40","20-24 years","20-24",12929
,"Oklahoma","40","25-29 years","25-29",15846
,"Oklahoma","40","30-34 years","30-34",11760
,"Oklahoma","40","35-39 years","35-39",4839
,"Oklahoma","40","40-44 years","40-44",861
,"Oklahoma","40","45-49 years","45-49",40
,"Oklahoma","40","50 years and over","50+",Suppressed
,"Oregon","41","Under 15 years","15",Suppressed
,"Oregon","41","15-19 years","15-19",1598
,"Oregon","41","20-24 years","20-24",7374
,"Oregon","41","25-29 years","25-29",12040
,"Oregon","41","30-34 years","30-34",12740
,"Oregon","41","35-39 years","35-39",6888
,"Oregon","41","40-44 years","40-44",1451
,"Oregon","41","45-49 years","45-49",81
,"Oregon","41","50 years and over","50+",Suppressed
,"Pennsylvania","42","Under 15 years","15",60
,"Pennsylvania","42","15-19 years","15-19",5599
,"Pennsylvania","42","20-24 years","20-24",23808
,"Pennsylvania","42","25-29 years","25-29",39877
,"Pennsylvania","42","30-34 years","30-34",42324
,"Pennsylvania","42","35-39 years","35-39",20045
,"Pennsylvania","42","40-44 years","40-44",3681
,"Pennsylvania","42","45-49 years","45-49",244
,"Pennsylvania","42","50 years and over","50+",35
,"Rhode Island","44","Under 15 years","15",Suppressed
,"Rhode Island","44","15-19 years","15-19",411
,"Rhode Island","44","20-24 years","20-24",1614
,"Rhode Island","44","25-29 years","25-29",2949
,"Rhode Island","44","30-34 years","30-34",3336
,"Rhode Island","44","35-39 years","35-39",1788
,"Rhode Island","44","40-44 years","40-44",391
,"Rhode Island","44","45-49 years","45-49",16
,"Rhode Island","44","50 years and over","50+",0
,"South Carolina","45","Under 15 years","15",35
,"South Carolina","45","15-19 years","15-19",3481
,"South Carolina","45","20-24 years","20-24",12714
,"South Carolina","45","25-29 years","25-29",17601
,"South Carolina","45","30-34 years","30-34",14637
,"South Carolina","45","35-39 years","35-39",6854
,"South Carolina","45","40-44 years","40-44",1257
,"South Carolina","45","45-49 years","45-49",88
,"South Carolina","45","50 years and over","50+",Suppressed
,"South Dakota","46","Under 15 years","15",Suppressed
,"South Dakota","46","15-19 years","15-19",565
,"South Dakota","46","20-24 years","20-24",2331
,"South Dakota","46","25-29 years","25-29",4017
,"South Dakota","46","30-34 years","30-34",3435
,"South Dakota","46","35-39 years","35-39",1336
,"South Dakota","46","40-44 years","40-44",187
,"South Dakota","46","45-49 years","45-49",18
,"South Dakota","46","50 years and over","50+",0
,"Tennessee","47","Under 15 years","15",66
,"Tennessee","47","15-19 years","15-19",5258
,"Tennessee","47","20-24 years","20-24",19537
,"Tennessee","47","25-29 years","25-29",25048
,"Tennessee","47","30-34 years","30-34",19967
,"Tennessee","47","35-39 years","35-39",9110
,"Tennessee","47","40-44 years","40-44",1650
,"Tennessee","47","45-49 years","45-49",110
,"Tennessee","47","50 years and over","50+",Suppressed
,"Texas","48","Under 15 years","15",304
,"Texas","48","15-19 years","15-19",25089
,"Texas","48","20-24 years","20-24",83329
,"Texas","48","25-29 years","25-29",110493
,"Texas","48","30-34 years","30-34",98862
,"Texas","48","35-39 years","35-39",49494
,"Texas","48","40-44 years","40-44",10307
,"Texas","48","45-49 years","45-49",696
,"Texas","48","50 years and over","50+",50
,"Utah","49","Under 15 years","15",Suppressed
,"Utah","49","15-19 years","15-19",1604
,"Utah","49","20-24 years","20-24",9927
,"Utah","49","25-29 years","25-29",15956
,"Utah","49","30-34 years","30-34",12635
,"Utah","49","35-39 years","35-39",5878
,"Utah","49","40-44 years","40-44",1132
,"Utah","49","45-49 years","45-49",68
,"Utah","49","50 years and over","50+",Suppressed
,"Vermont","50","Under 15 years","15",0
,"Vermont","50","15-19 years","15-19",182
,"Vermont","50","20-24 years","20-24",848
,"Vermont","50","25-29 years","25-29",1554
,"Vermont","50","30-34 years","30-34",1753
,"Vermont","50","35-39 years","35-39",921
,"Vermont","50","40-44 years","40-44",161
,"Vermont","50","45-49 years","45-49",12
,"Vermont","50","50 years and over","50+",Suppressed
,"Virginia","51","Under 15 years","15",39
,"Virginia","51","15-19 years","15-19",3803
,"Virginia","51","20-24 years","20-24",17122
,"Virginia","51","25-29 years","25-29",27799
,"Virginia","51","30-34 years","30-34",30639
,"Virginia","51","35-39 years","35-39",16756
,"Virginia","51","40-44 years","40-44",3387
,"Virginia","51","45-49 years","45-49",272
,"Virginia","51","50 years and over","50+",26
,"Washington","53","Under 15 years","15",17
,"Washington","53","15-19 years","15-19",2762
,"Washington","53","20-24 years","20-24",14122
,"Washington","53","25-29 years","25-29",24424
,"Washington","53","30-34 years","30-34",27003
,"Washington","53","35-39 years","35-39",14557
,"Washington","53","40-44 years","40-44",2954
,"Washington","53","45-49 years","45-49",228
,"Washington","53","50 years and over","50+",18
,"West Virginia","54","Under 15 years","15",10
,"West Virginia","54","15-19 years","15-19",1317
,"West Virginia","54","20-24 years","20-24",5160
,"West Virginia","54","25-29 years","25-29",5800
,"West Virginia","54","30-34 years","30-34",3927
,"West Virginia","54","35-39 years","35-39",1703
,"West Virginia","54","40-44 years","40-44",303
,"West Virginia","54","45-49 years","45-49",17
,"West Virginia","54","50 years and over","50+",11
,"Wisconsin","55","Under 15 years","15",26
,"Wisconsin","55","15-19 years","15-19",2406
,"Wisconsin","55","20-24 years","20-24",10929
,"Wisconsin","55","25-29 years","25-29",19811
,"Wisconsin","55","30-34 years","30-34",20273
,"Wisconsin","55","35-39 years","35-39",9024
,"Wisconsin","55","40-44 years","40-44",1547
,"Wisconsin","55","45-49 years","45-49",77
,"Wisconsin","55","50 years and over","50+",Suppressed
,"Wyoming","56","Under 15 years","15",Suppressed
,"Wyoming","56","15-19 years","15-19",362
,"Wyoming","56","20-24 years","20-24",1497
,"Wyoming","56","25-29 years","25-29",2122
,"Wyoming","56","30-34 years","30-34",1708
,"Wyoming","56","35-39 years","35-39",713
,"Wyoming","56","40-44 years","40-44",147
,"Wyoming","56","45-49 years","45-49",Suppressed
,"Wyoming","56","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2018"
"Group By: State of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:03:51 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:03:51 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
