"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Minnesota","27","Unknown or Not Stated","5",522
,"Minnesota","27","Not Reported","100",0
,"Mississippi","28","1st to 3rd month","1",28308
,"Mississippi","28","4th to 6th month","2",6118
,"Mississippi","28","7th to final month","3",1312
,"Mississippi","28","No prenatal care","4",433
,"Mississippi","28","Unknown or Not Stated","5",829
,"Mississippi","28","Not Reported","100",0
,"Missouri","29","1st to 3rd month","1",52361
,"Missouri","29","4th to 6th month","2",12624
,"Missouri","29","7th to final month","3",3251
,"Missouri","29","No prenatal care","4",1210
,"Missouri","29","Unknown or Not Stated","5",3823
,"Missouri","29","Not Reported","100",0
,"Montana","30","1st to 3rd month","1",8884
,"Montana","30","4th to 6th month","2",1848
,"Montana","30","7th to final month","3",572
,"Montana","30","No prenatal care","4",161
,"Montana","30","Unknown or Not Stated","5",48
,"Montana","30","Not Reported","100",0
,"Nebraska","31","1st to 3rd month","1",19504
,"Nebraska","31","4th to 6th month","2",4074
,"Nebraska","31","7th to final month","3",930
,"Nebraska","31","No prenatal care","4",245
,"Nebraska","31","Unknown or Not Stated","5",735
,"Nebraska","31","Not Reported","100",0
,"Nevada","32","1st to 3rd month","1",25805
,"Nevada","32","4th to 6th month","2",5755
,"Nevada","32","7th to final month","3",1117
,"Nevada","32","No prenatal care","4",1896
,"Nevada","32","Unknown or Not Stated","5",1109
,"Nevada","32","Not Reported","100",0
,"New Hampshire","33","1st to 3rd month","1",10245
,"New Hampshire","33","4th to 6th month","2",1272
,"New Hampshire","33","7th to final month","3",369
,"New Hampshire","33","No prenatal care","4",75
,"New Hampshire","33","Unknown or Not Stated","5",34
,"New Hampshire","33","Not Reported","100",0
,"New Jersey","34","1st to 3rd month","1",76188
,"New Jersey","34","4th to 6th month","2",17403
,"New Jersey","34","7th to final month","3",4309
,"New Jersey","34","No prenatal care","4",1682
,"New Jersey","34","Unknown or Not Stated","5",1641
,"New Jersey","34","Not Reported","100",0
,"New Mexico","35","1st to 3rd month","1",15905
,"New Mexico","35","4th to 6th month","2",4225
,"New Mexico","35","7th to final month","3",1562
,"New Mexico","35","No prenatal care","4",992
,"New Mexico","35","Unknown or Not Stated","5",355
,"New Mexico","35","Not Reported","100",0
,"New York","36","1st to 3rd month","1",177826
,"New York","36","4th to 6th month","2",31287
,"New York","36","7th to final month","3",9444
,"New York","36","No prenatal care","4",1325
,"New York","36","Unknown or Not Stated","5",6356
,"New York","36","Not Reported","100",0
,"North Carolina","37","1st to 3rd month","1",88123
,"North Carolina","37","4th to 6th month","2",21966
,"North Carolina","37","7th to final month","3",5697
,"North Carolina","37","No prenatal care","4",2247
,"North Carolina","37","Unknown or Not Stated","5",921
,"North Carolina","37","Not Reported","100",0
,"North Dakota","38","1st to 3rd month","1",8097
,"North Dakota","38","4th to 6th month","2",1402
,"North Dakota","38","7th to final month","3",564
,"North Dakota","38","No prenatal care","4",36
,"North Dakota","38","Unknown or Not Stated","5",537
,"North Dakota","38","Not Reported","100",0
,"Ohio","39","1st to 3rd month","1",102559
,"Ohio","39","4th to 6th month","2",23179
,"Ohio","39","7th to final month","3",6164
,"Ohio","39","No prenatal care","4",2002
,"Ohio","39","Unknown or Not Stated","5",1230
,"Ohio","39","Not Reported","100",0
,"Oklahoma","40","1st to 3rd month","1",36572
,"Oklahoma","40","4th to 6th month","2",8814
,"Oklahoma","40","7th to final month","3",2516
,"Oklahoma","40","No prenatal care","4",821
,"Oklahoma","40","Unknown or Not Stated","5",1077
,"Oklahoma","40","Not Reported","100",0
,"Oregon","41","1st to 3rd month","1",34500
,"Oregon","41","4th to 6th month","2",5415
,"Oregon","41","7th to final month","3",1546
,"Oregon","41","No prenatal care","4",409
,"Oregon","41","Unknown or Not Stated","5",318
,"Oregon","41","Not Reported","100",0
,"Pennsylvania","42","1st to 3rd month","1",101845
,"Pennsylvania","42","4th to 6th month","2",21210
,"Pennsylvania","42","7th to final month","3",6068
,"Pennsylvania","42","No prenatal care","4",2324
,"Pennsylvania","42","Unknown or Not Stated","5",4226
,"Pennsylvania","42","Not Reported","100",0
,"Rhode Island","44","1st to 3rd month","1",8597
,"Rhode Island","44","4th to 6th month","2",1410
,"Rhode Island","44","7th to final month","3",130
,"Rhode Island","44","No prenatal care","4",43
,"Rhode Island","44","Unknown or Not Stated","5",326
,"Rhode Island","44","Not Reported","100",0
,"South Carolina","45","1st to 3rd month","1",42021
,"South Carolina","45","4th to 6th month","2",10485
,"South Carolina","45","7th to final month","3",2850
,"South Carolina","45","No prenatal care","4",1202
,"South Carolina","45","Unknown or Not Stated","5",111
,"South Carolina","45","Not Reported","100",0
,"South Dakota","46","1st to 3rd month","1",9118
,"South Dakota","46","4th to 6th month","2",1991
,"South Dakota","46","7th to final month","3",544
,"South Dakota","46","No prenatal care","4",116
,"South Dakota","46","Unknown or Not Stated","5",124
,"South Dakota","46","Not Reported","100",0
,"Tennessee","47","1st to 3rd month","1",56759
,"Tennessee","47","4th to 6th month","2",13627
,"Tennessee","47","7th to final month","3",3373
,"Tennessee","47","No prenatal care","4",1276
,"Tennessee","47","Unknown or Not Stated","5",5716
,"Tennessee","47","Not Reported","100",0
,"Texas","48","1st to 3rd month","1",257744
,"Texas","48","4th to 6th month","2",78805
,"Texas","48","7th to final month","3",23500
,"Texas","48","No prenatal care","4",12073
,"Texas","48","Unknown or Not Stated","5",6502
,"Texas","48","Not Reported","100",0
,"Utah","49","1st to 3rd month","1",38337
,"Utah","49","4th to 6th month","2",6262
,"Utah","49","7th to final month","3",1641
,"Utah","49","No prenatal care","4",403
,"Utah","49","Unknown or Not Stated","5",566
,"Utah","49","Not Reported","100",0
,"Vermont","50","1st to 3rd month","1",4827
,"Vermont","50","4th to 6th month","2",479
,"Vermont","50","7th to final month","3",80
,"Vermont","50","No prenatal care","4",23
,"Vermont","50","Unknown or Not Stated","5",23
,"Vermont","50","Not Reported","100",0
,"Virginia","51","1st to 3rd month","1",73790
,"Virginia","51","4th to 6th month","2",15426
,"Virginia","51","7th to final month","3",3358
,"Virginia","51","No prenatal care","4",1347
,"Virginia","51","Unknown or Not Stated","5",5922
,"Virginia","51","Not Reported","100",0
,"Washington","53","1st to 3rd month","1",62327
,"Washington","53","4th to 6th month","2",12440
,"Washington","53","7th to final month","3",3915
,"Washington","53","No prenatal care","4",712
,"Washington","53","Unknown or Not Stated","5",6691
,"Washington","53","Not Reported","100",0
,"West Virginia","54","1st to 3rd month","1",14217
,"West Virginia","54","4th to 6th month","2",2612
,"West Virginia","54","7th to final month","3",877
,"West Virginia","54","No prenatal care","4",337
,"West Virginia","54","Unknown or Not Stated","5",205
,"West Virginia","54","Not Reported","100",0
,"Wisconsin","55","1st to 3rd month","1",51293
,"Wisconsin","55","4th to 6th month","2",8177
,"Wisconsin","55","7th to final month","3",2040
,"Wisconsin","55","No prenatal care","4",435
,"Wisconsin","55","Unknown or Not Stated","5",2153
,"Wisconsin","55","Not Reported","100",0
,"Wyoming","56","1st to 3rd month","1",4917
,"Wyoming","56","4th to 6th month","2",1078
,"Wyoming","56","7th to final month","3",348
,"Wyoming","56","No prenatal care","4",96
,"Wyoming","56","Unknown or Not Stated","5",123
,"Wyoming","56","Not Reported","100",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2018"
"Group By: State of Residence; Trimester Prenatal Care Began"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:38:09 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:38:09 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
