"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"District of Columbia","11","30-34 years","30-34",2504
,"District of Columbia","11","35-39 years","35-39",2227
,"District of Columbia","11","40-44 years","40-44",579
,"District of Columbia","11","45-49 years","45-49",51
,"District of Columbia","11","50 years and over","50+",Suppressed
,"Florida","12","Under 15 years","15",103
,"Florida","12","15-19 years","15-19",8108
,"Florida","12","20-24 years","20-24",35569
,"Florida","12","25-29 years","25-29",59709
,"Florida","12","30-34 years","30-34",68091
,"Florida","12","35-39 years","35-39",39660
,"Florida","12","40-44 years","40-44",9431
,"Florida","12","45-49 years","45-49",667
,"Florida","12","50 years and over","50+",72
,"Georgia","13","Under 15 years","15",91
,"Georgia","13","15-19 years","15-19",6259
,"Georgia","13","20-24 years","20-24",24617
,"Georgia","13","25-29 years","25-29",35383
,"Georgia","13","30-34 years","30-34",35505
,"Georgia","13","35-39 years","35-39",18493
,"Georgia","13","40-44 years","40-44",4458
,"Georgia","13","45-49 years","45-49",275
,"Georgia","13","50 years and over","50+",39
,"Hawaii","15","Under 15 years","15",Suppressed
,"Hawaii","15","15-19 years","15-19",423
,"Hawaii","15","20-24 years","20-24",2461
,"Hawaii","15","25-29 years","25-29",3808
,"Hawaii","15","30-34 years","30-34",4275
,"Hawaii","15","35-39 years","35-39",2958
,"Hawaii","15","40-44 years","40-44",830
,"Hawaii","15","45-49 years","45-49",45
,"Hawaii","15","50 years and over","50+",Suppressed
,"Idaho","16","Under 15 years","15",Suppressed
,"Idaho","16","15-19 years","15-19",800
,"Idaho","16","20-24 years","20-24",4678
,"Idaho","16","25-29 years","25-29",7253
,"Idaho","16","30-34 years","30-34",6123
,"Idaho","16","35-39 years","35-39",2900
,"Idaho","16","40-44 years","40-44",597
,"Idaho","16","45-49 years","45-49",38
,"Idaho","16","50 years and over","50+",Suppressed
,"Illinois","17","Under 15 years","15",58
,"Illinois","17","15-19 years","15-19",4324
,"Illinois","17","20-24 years","20-24",18655
,"Illinois","17","25-29 years","25-29",32249
,"Illinois","17","30-34 years","30-34",41111
,"Illinois","17","35-39 years","35-39",23001
,"Illinois","17","40-44 years","40-44",5052
,"Illinois","17","45-49 years","45-49",340
,"Illinois","17","50 years and over","50+",30
,"Indiana","18","Under 15 years","15",42
,"Indiana","18","15-19 years","15-19",3605
,"Indiana","18","20-24 years","20-24",16867
,"Indiana","18","25-29 years","25-29",24816
,"Indiana","18","30-34 years","30-34",21694
,"Indiana","18","35-39 years","35-39",9803
,"Indiana","18","40-44 years","40-44",2033
,"Indiana","18","45-49 years","45-49",125
,"Indiana","18","50 years and over","50+",15
,"Iowa","19","Under 15 years","15",11
,"Iowa","19","15-19 years","15-19",1299
,"Iowa","19","20-24 years","20-24",6445
,"Iowa","19","25-29 years","25-29",11813
,"Iowa","19","30-34 years","30-34",10896
,"Iowa","19","35-39 years","35-39",4642
,"Iowa","19","40-44 years","40-44",896
,"Iowa","19","45-49 years","45-49",45
,"Iowa","19","50 years and over","50+",Suppressed
,"Kansas","20","Under 15 years","15",18
,"Kansas","20","15-19 years","15-19",1536
,"Kansas","20","20-24 years","20-24",6899
,"Kansas","20","25-29 years","25-29",10397
,"Kansas","20","30-34 years","30-34",9736
,"Kansas","20","35-39 years","35-39",4515
,"Kansas","20","40-44 years","40-44",902
,"Kansas","20","45-49 years","45-49",60
,"Kansas","20","50 years and over","50+",Suppressed
,"Kentucky","21","Under 15 years","15",34
,"Kentucky","21","15-19 years","15-19",2976
,"Kentucky","21","20-24 years","20-24",12570
,"Kentucky","21","25-29 years","25-29",16227
,"Kentucky","21","30-34 years","30-34",13168
,"Kentucky","21","35-39 years","35-39",5750
,"Kentucky","21","40-44 years","40-44",1189
,"Kentucky","21","45-49 years","45-49",66
,"Kentucky","21","50 years and over","50+",Suppressed
,"Louisiana","22","Under 15 years","15",70
,"Louisiana","22","15-19 years","15-19",3490
,"Louisiana","22","20-24 years","20-24",13193
,"Louisiana","22","25-29 years","25-29",16152
,"Louisiana","22","30-34 years","30-34",13853
,"Louisiana","22","35-39 years","35-39",6708
,"Louisiana","22","40-44 years","40-44",1391
,"Louisiana","22","45-49 years","45-49",68
,"Louisiana","22","50 years and over","50+",Suppressed
,"Maine","23","Under 15 years","15",Suppressed
,"Maine","23","15-19 years","15-19",283
,"Maine","23","20-24 years","20-24",1732
,"Maine","23","25-29 years","25-29",3229
,"Maine","23","30-34 years","30-34",3889
,"Maine","23","35-39 years","35-39",2055
,"Maine","23","40-44 years","40-44",413
,"Maine","23","45-49 years","45-49",19
,"Maine","23","50 years and over","50+",Suppressed
,"Maryland","24","Under 15 years","15",32
,"Maryland","24","15-19 years","15-19",2105
,"Maryland","24","20-24 years","20-24",8563
,"Maryland","24","25-29 years","25-29",15684
,"Maryland","24","30-34 years","30-34",21818
,"Maryland","24","35-39 years","35-39",13713
,"Maryland","24","40-44 years","40-44",3330
,"Maryland","24","45-49 years","45-49",296
,"Maryland","24","50 years and over","50+",53
,"Massachusetts","25","Under 15 years","15",15
,"Massachusetts","25","15-19 years","15-19",1311
,"Massachusetts","25","20-24 years","20-24",6331
,"Massachusetts","25","25-29 years","25-29",13777
,"Massachusetts","25","30-34 years","30-34",25527
,"Massachusetts","25","35-39 years","35-39",16490
,"Massachusetts","25","40-44 years","40-44",3358
,"Massachusetts","25","45-49 years","45-49",252
,"Massachusetts","25","50 years and over","50+",32
,"Michigan","26","Under 15 years","15",38
,"Michigan","26","15-19 years","15-19",3418
,"Michigan","26","20-24 years","20-24",16145
,"Michigan","26","25-29 years","25-29",29440
,"Michigan","26","30-34 years","30-34",32213
,"Michigan","26","35-39 years","35-39",14817
,"Michigan","26","40-44 years","40-44",2859
,"Michigan","26","45-49 years","45-49",173
,"Michigan","26","50 years and over","50+",21
,"Minnesota","27","Under 15 years","15",20
,"Minnesota","27","15-19 years","15-19",1465
,"Minnesota","27","20-24 years","20-24",7663
,"Minnesota","27","25-29 years","25-29",17122
,"Minnesota","27","30-34 years","30-34",21639
,"Minnesota","27","35-39 years","35-39",11338
,"Minnesota","27","40-44 years","40-44",2258
,"Minnesota","27","45-49 years","45-49",177
,"Minnesota","27","50 years and over","50+",33
,"Mississippi","28","Under 15 years","15",29
,"Mississippi","28","15-19 years","15-19",2596
,"Mississippi","28","20-24 years","20-24",9179
,"Mississippi","28","25-29 years","25-29",10690
,"Mississippi","28","30-34 years","30-34",7976
,"Mississippi","28","35-39 years","35-39",3310
,"Mississippi","28","40-44 years","40-44",643
,"Mississippi","28","45-49 years","45-49",35
,"Mississippi","28","50 years and over","50+",Suppressed
,"Missouri","29","Under 15 years","15",41
,"Missouri","29","15-19 years","15-19",3166
,"Missouri","29","20-24 years","20-24",13676
,"Missouri","29","25-29 years","25-29",20394
,"Missouri","29","30-34 years","30-34",19125
,"Missouri","29","35-39 years","35-39",8852
,"Missouri","29","40-44 years","40-44",1757
,"Missouri","29","45-49 years","45-49",104
,"Missouri","29","50 years and over","50+",Suppressed
,"Montana","30","Under 15 years","15",Suppressed
,"Montana","30","15-19 years","15-19",398
,"Montana","30","20-24 years","20-24",1937
,"Montana","30","25-29 years","25-29",3361
,"Montana","30","30-34 years","30-34",3371
,"Montana","30","35-39 years","35-39",1674
,"Montana","30","40-44 years","40-44",321
,"Montana","30","45-49 years","45-49",14
,"Montana","30","50 years and over","50+",0
,"Nebraska","31","Under 15 years","15",12
,"Nebraska","31","15-19 years","15-19",896
,"Nebraska","31","20-24 years","20-24",4071
,"Nebraska","31","25-29 years","25-29",7554
,"Nebraska","31","30-34 years","30-34",7401
,"Nebraska","31","35-39 years","35-39",3479
,"Nebraska","31","40-44 years","40-44",655
,"Nebraska","31","45-49 years","45-49",42
,"Nebraska","31","50 years and over","50+",Suppressed
,"Nevada","32","Under 15 years","15",17
,"Nevada","32","15-19 years","15-19",1248
,"Nevada","32","20-24 years","20-24",5660
,"Nevada","32","25-29 years","25-29",9004
,"Nevada","32","30-34 years","30-34",9357
,"Nevada","32","35-39 years","35-39",5161
,"Nevada","32","40-44 years","40-44",1263
,"Nevada","32","45-49 years","45-49",75
,"Nevada","32","50 years and over","50+",Suppressed
,"New Hampshire","33","Under 15 years","15",Suppressed
,"New Hampshire","33","15-19 years","15-19",186
,"New Hampshire","33","20-24 years","20-24",1232
,"New Hampshire","33","25-29 years","25-29",3104
,"New Hampshire","33","30-34 years","30-34",4611
,"New Hampshire","33","35-39 years","35-39",2322
,"New Hampshire","33","40-44 years","40-44",455
,"New Hampshire","33","45-49 years","45-49",21
,"New Hampshire","33","50 years and over","50+",Suppressed
,"New Jersey","34","Under 15 years","15",32
,"New Jersey","34","15-19 years","15-19",2153
,"New Jersey","34","20-24 years","20-24",11313
,"New Jersey","34","25-29 years","25-29",22351
,"New Jersey","34","30-34 years","30-34",36114
,"New Jersey","34","35-39 years","35-39",23138
,"New Jersey","34","40-44 years","40-44",5426
,"New Jersey","34","45-49 years","45-49",423
,"New Jersey","34","50 years and over","50+",51
,"New Mexico","35","Under 15 years","15",15
,"New Mexico","35","15-19 years","15-19",1267
,"New Mexico","35","20-24 years","20-24",4872
,"New Mexico","35","25-29 years","25-29",6151
,"New Mexico","35","30-34 years","30-34",5238
,"New Mexico","35","35-39 years","35-39",2766
,"New Mexico","35","40-44 years","40-44",611
,"New Mexico","35","45-49 years","45-49",29
,"New Mexico","35","50 years and over","50+",Suppressed
,"New York","36","Under 15 years","15",76
,"New York","36","15-19 years","15-19",5000
,"New York","36","20-24 years","20-24",28372
,"New York","36","25-29 years","25-29",47799
,"New York","36","30-34 years","30-34",66294
,"New York","36","35-39 years","35-39",43582
,"New York","36","40-44 years","40-44",11433
,"New York","36","45-49 years","45-49",916
,"New York","36","50 years and over","50+",140
,"North Carolina","37","Under 15 years","15",76
,"North Carolina","37","15-19 years","15-19",5238
,"North Carolina","37","20-24 years","20-24",22480
,"North Carolina","37","25-29 years","25-29",34104
,"North Carolina","37","30-34 years","30-34",35781
,"North Carolina","37","35-39 years","35-39",18309
,"North Carolina","37","40-44 years","40-44",3845
,"North Carolina","37","45-49 years","45-49",236
,"North Carolina","37","50 years and over","50+",13
,"North Dakota","38","Under 15 years","15",Suppressed
,"North Dakota","38","15-19 years","15-19",299
,"North Dakota","38","20-24 years","20-24",1604
,"North Dakota","38","25-29 years","25-29",3192
,"North Dakota","38","30-34 years","30-34",3073
,"North Dakota","38","35-39 years","35-39",1226
,"North Dakota","38","40-44 years","40-44",237
,"North Dakota","38","45-49 years","45-49",13
,"North Dakota","38","50 years and over","50+",0
,"Ohio","39","Under 15 years","15",70
,"Ohio","39","15-19 years","15-19",5478
,"Ohio","39","20-24 years","20-24",24362
,"Ohio","39","25-29 years","25-29",37729
,"Ohio","39","30-34 years","30-34",37757
,"Ohio","39","35-39 years","35-39",17855
,"Ohio","39","40-44 years","40-44",3409
,"Ohio","39","45-49 years","45-49",208
,"Ohio","39","50 years and over","50+",28
,"Oklahoma","40","Under 15 years","15",26
,"Oklahoma","40","15-19 years","15-19",2855
,"Oklahoma","40","20-24 years","20-24",11920
,"Oklahoma","40","25-29 years","25-29",14793
,"Oklahoma","40","30-34 years","30-34",11812
,"Oklahoma","40","35-39 years","35-39",5322
,"Oklahoma","40","40-44 years","40-44",1130
,"Oklahoma","40","45-49 years","45-49",46
,"Oklahoma","40","50 years and over","50+",Suppressed
,"Oregon","41","Under 15 years","15",Suppressed
,"Oregon","41","15-19 years","15-19",1172
,"Oregon","41","20-24 years","20-24",5915
,"Oregon","41","25-29 years","25-29",10507
,"Oregon","41","30-34 years","30-34",11873
,"Oregon","41","35-39 years","35-39",7110
,"Oregon","41","40-44 years","40-44",1611
,"Oregon","41","45-49 years","45-49",96
,"Oregon","41","50 years and over","50+",Suppressed
,"Pennsylvania","42","Under 15 years","15",58
,"Pennsylvania","42","15-19 years","15-19",4077
,"Pennsylvania","42","20-24 years","20-24",19343
,"Pennsylvania","42","25-29 years","25-29",34064
,"Pennsylvania","42","30-34 years","30-34",42177
,"Pennsylvania","42","35-39 years","35-39",22394
,"Pennsylvania","42","40-44 years","40-44",4498
,"Pennsylvania","42","45-49 years","45-49",297
,"Pennsylvania","42","50 years and over","50+",43
,"Rhode Island","44","Under 15 years","15",Suppressed
,"Rhode Island","44","15-19 years","15-19",271
,"Rhode Island","44","20-24 years","20-24",1257
,"Rhode Island","44","25-29 years","25-29",2373
,"Rhode Island","44","30-34 years","30-34",3495
,"Rhode Island","44","35-39 years","35-39",1971
,"Rhode Island","44","40-44 years","40-44",404
,"Rhode Island","44","45-49 years","45-49",24
,"Rhode Island","44","50 years and over","50+",Suppressed
,"South Carolina","45","Under 15 years","15",39
,"South Carolina","45","15-19 years","15-19",2965
,"South Carolina","45","20-24 years","20-24",11339
,"South Carolina","45","25-29 years","25-29",16832
,"South Carolina","45","30-34 years","30-34",16596
,"South Carolina","45","35-39 years","35-39",8128
,"South Carolina","45","40-44 years","40-44",1709
,"South Carolina","45","45-49 years","45-49",107
,"South Carolina","45","50 years and over","50+",14
,"South Dakota","46","Under 15 years","15",Suppressed
,"South Dakota","46","15-19 years","15-19",506
,"South Dakota","46","20-24 years","20-24",2027
,"South Dakota","46","25-29 years","25-29",3620
,"South Dakota","46","30-34 years","30-34",3358
,"South Dakota","46","35-39 years","35-39",1395
,"South Dakota","46","40-44 years","40-44",274
,"South Dakota","46","45-49 years","45-49",13
,"South Dakota","46","50 years and over","50+",0
,"Tennessee","47","Under 15 years","15",52
,"Tennessee","47","15-19 years","15-19",4547
,"Tennessee","47","20-24 years","20-24",18043
,"Tennessee","47","25-29 years","25-29",24994
,"Tennessee","47","30-34 years","30-34",22504
,"Tennessee","47","35-39 years","35-39",10593
,"Tennessee","47","40-44 years","40-44",2182
,"Tennessee","47","45-49 years","45-49",98
,"Tennessee","47","50 years and over","50+",Suppressed
,"Texas","48","Under 15 years","15",284
,"Texas","48","15-19 years","15-19",20856
,"Texas","48","20-24 years","20-24",78378
,"Texas","48","25-29 years","25-29",110858
,"Texas","48","30-34 years","30-34",108192
,"Texas","48","35-39 years","35-39",55920
,"Texas","48","40-44 years","40-44",12542
,"Texas","48","45-49 years","45-49",822
,"Texas","48","50 years and over","50+",93
,"Utah","49","Under 15 years","15",Suppressed
,"Utah","49","15-19 years","15-19",1202
,"Utah","49","20-24 years","20-24",8294
,"Utah","49","25-29 years","25-29",15887
,"Utah","49","30-34 years","30-34",12615
,"Utah","49","35-39 years","35-39",5667
,"Utah","49","40-44 years","40-44",1245
,"Utah","49","45-49 years","45-49",95
,"Utah","49","50 years and over","50+",Suppressed
,"Vermont","50","Under 15 years","15",0
,"Vermont","50","15-19 years","15-19",116
,"Vermont","50","20-24 years","20-24",598
,"Vermont","50","25-29 years","25-29",1267
,"Vermont","50","30-34 years","30-34",1789
,"Vermont","50","35-39 years","35-39",1081
,"Vermont","50","40-44 years","40-44",197
,"Vermont","50","45-49 years","45-49",16
,"Vermont","50","50 years and over","50+",Suppressed
,"Virginia","51","Under 15 years","15",38
,"Virginia","51","15-19 years","15-19",3037
,"Virginia","51","20-24 years","20-24",14138
,"Virginia","51","25-29 years","25-29",24204
,"Virginia","51","30-34 years","30-34",29774
,"Virginia","51","35-39 years","35-39",17170
,"Virginia","51","40-44 years","40-44",3951
,"Virginia","51","45-49 years","45-49",293
,"Virginia","51","50 years and over","50+",44
,"Washington","53","Under 15 years","15",19
,"Washington","53","15-19 years","15-19",2226
,"Washington","53","20-24 years","20-24",11675
,"Washington","53","25-29 years","25-29",21318
,"Washington","53","30-34 years","30-34",26439
,"Washington","53","35-39 years","35-39",15484
,"Washington","53","40-44 years","40-44",3497
,"Washington","53","45-49 years","45-49",242
,"Washington","53","50 years and over","50+",32
,"West Virginia","54","Under 15 years","15",11
,"West Virginia","54","15-19 years","15-19",973
,"West Virginia","54","20-24 years","20-24",4474
,"West Virginia","54","25-29 years","25-29",5317
,"West Virginia","54","30-34 years","30-34",3857
,"West Virginia","54","35-39 years","35-39",1615
,"West Virginia","54","40-44 years","40-44",335
,"West Virginia","54","45-49 years","45-49",23
,"West Virginia","54","50 years and over","50+",Suppressed
,"Wisconsin","55","Under 15 years","15",20
,"Wisconsin","55","15-19 years","15-19",1882
,"Wisconsin","55","20-24 years","20-24",9030
,"Wisconsin","55","25-29 years","25-29",17806
,"Wisconsin","55","30-34 years","30-34",19878
,"Wisconsin","55","35-39 years","35-39",9263
,"Wisconsin","55","40-44 years","40-44",1771
,"Wisconsin","55","45-49 years","45-49",96
,"Wisconsin","55","50 years and over","50+",Suppressed
,"Wyoming","56","Under 15 years","15",0
,"Wyoming","56","15-19 years","15-19",246
,"Wyoming","56","20-24 years","20-24",1334
,"Wyoming","56","25-29 years","25-29",1863
,"Wyoming","56","30-34 years","30-34",1616
,"Wyoming","56","35-39 years","35-39",765
,"Wyoming","56","40-44 years","40-44",151
,"Wyoming","56","45-49 years","45-49",14
,"Wyoming","56","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2023"
"Group By: State of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:51:53 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:51:53 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
