"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Hawaii","15","42 weeks or more","09",79
,"Hawaii","15","Unknown or Not Stated","10",11
,"Idaho","16","Under 20 weeks","01",Suppressed
,"Idaho","16","20 - 27 weeks","02",98
,"Idaho","16","28 - 31 weeks","03",166
,"Idaho","16","32 - 35 weeks","04",958
,"Idaho","16","36 weeks","05",786
,"Idaho","16","37 - 39 weeks","06",14860
,"Idaho","16","40 weeks","07",4266
,"Idaho","16","41 weeks","08",1194
,"Idaho","16","42 weeks or more","09",84
,"Idaho","16","Unknown or Not Stated","10",Suppressed
,"Illinois","17","Under 20 weeks","01",57
,"Illinois","17","20 - 27 weeks","02",744
,"Illinois","17","28 - 31 weeks","03",1238
,"Illinois","17","32 - 35 weeks","04",6406
,"Illinois","17","36 weeks","05",5745
,"Illinois","17","37 - 39 weeks","06",93205
,"Illinois","17","40 weeks","07",20567
,"Illinois","17","41 weeks","08",4017
,"Illinois","17","42 weeks or more","09",154
,"Illinois","17","Unknown or Not Stated","10",56
,"Indiana","18","Under 20 weeks","01",28
,"Indiana","18","20 - 27 weeks","02",476
,"Indiana","18","28 - 31 weeks","03",702
,"Indiana","18","32 - 35 weeks","04",4005
,"Indiana","18","36 weeks","05",3468
,"Indiana","18","37 - 39 weeks","06",55606
,"Indiana","18","40 weeks","07",12929
,"Indiana","18","41 weeks","08",2525
,"Indiana","18","42 weeks or more","09",190
,"Indiana","18","Unknown or Not Stated","10",17
,"Iowa","19","Under 20 weeks","01",16
,"Iowa","19","20 - 27 weeks","02",197
,"Iowa","19","28 - 31 weeks","03",278
,"Iowa","19","32 - 35 weeks","04",1602
,"Iowa","19","36 weeks","05",1599
,"Iowa","19","37 - 39 weeks","06",25334
,"Iowa","19","40 weeks","07",6221
,"Iowa","19","41 weeks","08",1486
,"Iowa","19","42 weeks or more","09",80
,"Iowa","19","Unknown or Not Stated","10",22
,"Kansas","20","Under 20 weeks","01",12
,"Kansas","20","20 - 27 weeks","02",184
,"Kansas","20","28 - 31 weeks","03",278
,"Kansas","20","32 - 35 weeks","04",1569
,"Kansas","20","36 weeks","05",1365
,"Kansas","20","37 - 39 weeks","06",24362
,"Kansas","20","40 weeks","07",5883
,"Kansas","20","41 weeks","08",958
,"Kansas","20","42 weeks or more","09",73
,"Kansas","20","Unknown or Not Stated","10",21
,"Kentucky","21","Under 20 weeks","01",19
,"Kentucky","21","20 - 27 weeks","02",335
,"Kentucky","21","28 - 31 weeks","03",583
,"Kentucky","21","32 - 35 weeks","04",2798
,"Kentucky","21","36 weeks","05",2512
,"Kentucky","21","37 - 39 weeks","06",37480
,"Kentucky","21","40 weeks","07",7123
,"Kentucky","21","41 weeks","08",1235
,"Kentucky","21","42 weeks or more","09",108
,"Kentucky","21","Unknown or Not Stated","10",21
,"Louisiana","22","Under 20 weeks","01",23
,"Louisiana","22","20 - 27 weeks","02",507
,"Louisiana","22","28 - 31 weeks","03",714
,"Louisiana","22","32 - 35 weeks","04",3385
,"Louisiana","22","36 weeks","05",3133
,"Louisiana","22","37 - 39 weeks","06",41874
,"Louisiana","22","40 weeks","07",6730
,"Louisiana","22","41 weeks","08",998
,"Louisiana","22","42 weeks or more","09",40
,"Louisiana","22","Unknown or Not Stated","10",33
,"Maine","23","Under 20 weeks","01",Suppressed
,"Maine","23","20 - 27 weeks","02",56
,"Maine","23","28 - 31 weeks","03",114
,"Maine","23","32 - 35 weeks","04",503
,"Maine","23","36 weeks","05",446
,"Maine","23","37 - 39 weeks","06",7721
,"Maine","23","40 weeks","07",2205
,"Maine","23","41 weeks","08",873
,"Maine","23","42 weeks or more","09",75
,"Maine","23","Unknown or Not Stated","10",Suppressed
,"Maryland","24","Under 20 weeks","01",31
,"Maryland","24","20 - 27 weeks","02",445
,"Maryland","24","28 - 31 weeks","03",682
,"Maryland","24","32 - 35 weeks","04",3281
,"Maryland","24","36 weeks","05",2857
,"Maryland","24","37 - 39 weeks","06",43801
,"Maryland","24","40 weeks","07",13139
,"Maryland","24","41 weeks","08",3856
,"Maryland","24","42 weeks or more","09",150
,"Maryland","24","Unknown or Not Stated","10",43
,"Massachusetts","25","Under 20 weeks","01",Suppressed
,"Massachusetts","25","20 - 27 weeks","02",322
,"Massachusetts","25","28 - 31 weeks","03",505
,"Massachusetts","25","32 - 35 weeks","04",2879
,"Massachusetts","25","36 weeks","05",2461
,"Massachusetts","25","37 - 39 weeks","06",42629
,"Massachusetts","25","40 weeks","07",14494
,"Massachusetts","25","41 weeks","08",5096
,"Massachusetts","25","42 weeks or more","09",223
,"Massachusetts","25","Unknown or Not Stated","10",519
,"Michigan","26","Under 20 weeks","01",66
,"Michigan","26","20 - 27 weeks","02",702
,"Michigan","26","28 - 31 weeks","03",993
,"Michigan","26","32 - 35 weeks","04",5126
,"Michigan","26","36 weeks","05",4233
,"Michigan","26","37 - 39 weeks","06",68403
,"Michigan","26","40 weeks","07",19682
,"Michigan","26","41 weeks","08",5355
,"Michigan","26","42 weeks or more","09",337
,"Michigan","26","Unknown or Not Stated","10",83
,"Minnesota","27","Under 20 weeks","01",23
,"Minnesota","27","20 - 27 weeks","02",332
,"Minnesota","27","28 - 31 weeks","03",558
,"Minnesota","27","32 - 35 weeks","04",2742
,"Minnesota","27","36 weeks","05",2540
,"Minnesota","27","37 - 39 weeks","06",41362
,"Minnesota","27","40 weeks","07",12088
,"Minnesota","27","41 weeks","08",4381
,"Minnesota","27","42 weeks or more","09",342
,"Minnesota","27","Unknown or Not Stated","10",57
,"Mississippi","28","Under 20 weeks","01",11
,"Mississippi","28","20 - 27 weeks","02",347
,"Mississippi","28","28 - 31 weeks","03",476
,"Mississippi","28","32 - 35 weeks","04",2385
,"Mississippi","28","36 weeks","05",2038
,"Mississippi","28","37 - 39 weeks","06",25746
,"Mississippi","28","40 weeks","07",3622
,"Mississippi","28","41 weeks","08",474
,"Mississippi","28","42 weeks or more","09",41
,"Mississippi","28","Unknown or Not Stated","10",16
,"Missouri","29","Under 20 weeks","01",20
,"Missouri","29","20 - 27 weeks","02",425
,"Missouri","29","28 - 31 weeks","03",625
,"Missouri","29","32 - 35 weeks","04",3527
,"Missouri","29","36 weeks","05",3224
,"Missouri","29","37 - 39 weeks","06",49058
,"Missouri","29","40 weeks","07",10372
,"Missouri","29","41 weeks","08",1904
,"Missouri","29","42 weeks or more","09",207
,"Missouri","29","Unknown or Not Stated","10",91
,"Montana","30","Under 20 weeks","01",Suppressed
,"Montana","30","20 - 27 weeks","02",47
,"Montana","30","28 - 31 weeks","03",94
,"Montana","30","32 - 35 weeks","04",487
,"Montana","30","36 weeks","05",460
,"Montana","30","37 - 39 weeks","06",7599
,"Montana","30","40 weeks","07",1988
,"Montana","30","41 weeks","08",509
,"Montana","30","42 weeks or more","09",33
,"Montana","30","Unknown or Not Stated","10",12
,"Nebraska","31","Under 20 weeks","01",12
,"Nebraska","31","20 - 27 weeks","02",130
,"Nebraska","31","28 - 31 weeks","03",248
,"Nebraska","31","32 - 35 weeks","04",1096
,"Nebraska","31","36 weeks","05",1167
,"Nebraska","31","37 - 39 weeks","06",17395
,"Nebraska","31","40 weeks","07",3825
,"Nebraska","31","41 weeks","08",693
,"Nebraska","31","42 weeks or more","09",32
,"Nebraska","31","Unknown or Not Stated","10",11
,"Nevada","32","Under 20 weeks","01",Suppressed
,"Nevada","32","20 - 27 weeks","02",229
,"Nevada","32","28 - 31 weeks","03",321
,"Nevada","32","32 - 35 weeks","04",1707
,"Nevada","32","36 weeks","05",1516
,"Nevada","32","37 - 39 weeks","06",23324
,"Nevada","32","40 weeks","07",5566
,"Nevada","32","41 weeks","08",946
,"Nevada","32","42 weeks or more","09",61
,"Nevada","32","Unknown or Not Stated","10",10
,"New Hampshire","33","Under 20 weeks","01",Suppressed
,"New Hampshire","33","20 - 27 weeks","02",48
,"New Hampshire","33","28 - 31 weeks","03",88
,"New Hampshire","33","32 - 35 weeks","04",503
,"New Hampshire","33","36 weeks","05",436
,"New Hampshire","33","37 - 39 weeks","06",7392
,"New Hampshire","33","40 weeks","07",2701
,"New Hampshire","33","41 weeks","08",1373
,"New Hampshire","33","42 weeks or more","09",61
,"New Hampshire","33","Unknown or Not Stated","10",21
,"New Jersey","34","Under 20 weeks","01",11
,"New Jersey","34","20 - 27 weeks","02",501
,"New Jersey","34","28 - 31 weeks","03",839
,"New Jersey","34","32 - 35 weeks","04",4241
,"New Jersey","34","36 weeks","05",3721
,"New Jersey","34","37 - 39 weeks","06",65195
,"New Jersey","34","40 weeks","07",20860
,"New Jersey","34","41 weeks","08",5901
,"New Jersey","34","42 weeks or more","09",201
,"New Jersey","34","Unknown or Not Stated","10",27
,"New Mexico","35","Under 20 weeks","01",Suppressed
,"New Mexico","35","20 - 27 weeks","02",109
,"New Mexico","35","28 - 31 weeks","03",178
,"New Mexico","35","32 - 35 weeks","04",1015
,"New Mexico","35","36 weeks","05",836
,"New Mexico","35","37 - 39 weeks","06",14537
,"New Mexico","35","40 weeks","07",3740
,"New Mexico","35","41 weeks","08",910
,"New Mexico","35","42 weeks or more","09",48
,"New Mexico","35","Unknown or Not Stated","10",14
,"New York","36","Under 20 weeks","01",39
,"New York","36","20 - 27 weeks","02",1181
,"New York","36","28 - 31 weeks","03",1852
,"New York","36","32 - 35 weeks","04",9270
,"New York","36","36 weeks","05",8048
,"New York","36","37 - 39 weeks","06",132177
,"New York","36","40 weeks","07",43955
,"New York","36","41 weeks","08",13188
,"New York","36","42 weeks or more","09",686
,"New York","36","Unknown or Not Stated","10",346
,"North Carolina","37","Under 20 weeks","01",36
,"North Carolina","37","20 - 27 weeks","02",857
,"North Carolina","37","28 - 31 weeks","03",1289
,"North Carolina","37","32 - 35 weeks","04",5809
,"North Carolina","37","36 weeks","05",5041
,"North Carolina","37","37 - 39 weeks","06",79334
,"North Carolina","37","40 weeks","07",22000
,"North Carolina","37","41 weeks","08",5799
,"North Carolina","37","42 weeks or more","09",253
,"North Carolina","37","Unknown or Not Stated","10",48
,"North Dakota","38","Under 20 weeks","01",Suppressed
,"North Dakota","38","20 - 27 weeks","02",46
,"North Dakota","38","28 - 31 weeks","03",82
,"North Dakota","38","32 - 35 weeks","04",473
,"North Dakota","38","36 weeks","05",363
,"North Dakota","38","37 - 39 weeks","06",7053
,"North Dakota","38","40 weeks","07",1661
,"North Dakota","38","41 weeks","08",400
,"North Dakota","38","42 weeks or more","09",22
,"North Dakota","38","Unknown or Not Stated","10",10
,"Ohio","39","Under 20 weeks","01",74
,"Ohio","39","20 - 27 weeks","02",847
,"Ohio","39","28 - 31 weeks","03",1327
,"Ohio","39","32 - 35 weeks","04",6191
,"Ohio","39","36 weeks","05",5298
,"Ohio","39","37 - 39 weeks","06",89613
,"Ohio","39","40 weeks","07",21379
,"Ohio","39","41 weeks","08",4627
,"Ohio","39","42 weeks or more","09",334
,"Ohio","39","Unknown or Not Stated","10",101
,"Oklahoma","40","Under 20 weeks","01",13
,"Oklahoma","40","20 - 27 weeks","02",327
,"Oklahoma","40","28 - 31 weeks","03",513
,"Oklahoma","40","32 - 35 weeks","04",2550
,"Oklahoma","40","36 weeks","05",2369
,"Oklahoma","40","37 - 39 weeks","06",35309
,"Oklahoma","40","40 weeks","07",6185
,"Oklahoma","40","41 weeks","08",1021
,"Oklahoma","40","42 weeks or more","09",72
,"Oklahoma","40","Unknown or Not Stated","10",51
,"Oregon","41","Under 20 weeks","01",Suppressed
,"Oregon","41","20 - 27 weeks","02",152
,"Oregon","41","28 - 31 weeks","03",305
,"Oregon","41","32 - 35 weeks","04",1696
,"Oregon","41","36 weeks","05",1473
,"Oregon","41","37 - 39 weeks","06",25000
,"Oregon","41","40 weeks","07",8608
,"Oregon","41","41 weeks","08",3437
,"Oregon","41","42 weeks or more","09",216
,"Oregon","41","Unknown or Not Stated","10",20
,"Pennsylvania","42","Under 20 weeks","01",47
,"Pennsylvania","42","20 - 27 weeks","02",765
,"Pennsylvania","42","28 - 31 weeks","03",1151
,"Pennsylvania","42","32 - 35 weeks","04",5878
,"Pennsylvania","42","36 weeks","05",5165
,"Pennsylvania","42","37 - 39 weeks","06",85538
,"Pennsylvania","42","40 weeks","07",25945
,"Pennsylvania","42","41 weeks","08",7589
,"Pennsylvania","42","42 weeks or more","09",341
,"Pennsylvania","42","Unknown or Not Stated","10",203
,"Rhode Island","44","Under 20 weeks","01",Suppressed
,"Rhode Island","44","20 - 27 weeks","02",57
,"Rhode Island","44","28 - 31 weeks","03",85
,"Rhode Island","44","32 - 35 weeks","04",459
,"Rhode Island","44","36 weeks","05",405
,"Rhode Island","44","37 - 39 weeks","06",6612
,"Rhode Island","44","40 weeks","07",1987
,"Rhode Island","44","41 weeks","08",826
,"Rhode Island","44","42 weeks or more","09",25
,"Rhode Island","44","Unknown or Not Stated","10",Suppressed
,"South Carolina","45","Under 20 weeks","01",22
,"South Carolina","45","20 - 27 weeks","02",457
,"South Carolina","45","28 - 31 weeks","03",652
,"South Carolina","45","32 - 35 weeks","04",3066
,"South Carolina","45","36 weeks","05",2706
,"South Carolina","45","37 - 39 weeks","06",40418
,"South Carolina","45","40 weeks","07",8229
,"South Carolina","45","41 weeks","08",1515
,"South Carolina","45","42 weeks or more","09",96
,"South Carolina","45","Unknown or Not Stated","10",24
,"South Dakota","46","Under 20 weeks","01",Suppressed
,"South Dakota","46","20 - 27 weeks","02",47
,"South Dakota","46","28 - 31 weeks","03",79
,"South Dakota","46","32 - 35 weeks","04",516
,"South Dakota","46","36 weeks","05",552
,"South Dakota","46","37 - 39 weeks","06",7680
,"South Dakota","46","40 weeks","07",1974
,"South Dakota","46","41 weeks","08",480
,"South Dakota","46","42 weeks or more","09",34
,"South Dakota","46","Unknown or Not Stated","10",Suppressed
,"Tennessee","47","Under 20 weeks","01",18
,"Tennessee","47","20 - 27 weeks","02",522
,"Tennessee","47","28 - 31 weeks","03",825
,"Tennessee","47","32 - 35 weeks","04",4131
,"Tennessee","47","36 weeks","05",3722
,"Tennessee","47","37 - 39 weeks","06",56351
,"Tennessee","47","40 weeks","07",13229
,"Tennessee","47","41 weeks","08",2672
,"Tennessee","47","42 weeks or more","09",188
,"Tennessee","47","Unknown or Not Stated","10",59
,"Texas","48","Under 20 weeks","01",139
,"Texas","48","20 - 27 weeks","02",2455
,"Texas","48","28 - 31 weeks","03",3733
,"Texas","48","32 - 35 weeks","04",19049
,"Texas","48","36 weeks","05",17142
,"Texas","48","37 - 39 weeks","06",265413
,"Texas","48","40 weeks","07",53645
,"Texas","48","41 weeks","08",11103
,"Texas","48","42 weeks or more","09",813
,"Texas","48","Unknown or Not Stated","10",102
,"Utah","49","Under 20 weeks","01",11
,"Utah","49","20 - 27 weeks","02",215
,"Utah","49","28 - 31 weeks","03",387
,"Utah","49","32 - 35 weeks","04",2076
,"Utah","49","36 weeks","05",1932
,"Utah","49","37 - 39 weeks","06",33977
,"Utah","49","40 weeks","07",6576
,"Utah","49","41 weeks","08",1435
,"Utah","49","42 weeks or more","09",102
,"Utah","49","Unknown or Not Stated","10",Suppressed
,"Vermont","50","Under 20 weeks","01",Suppressed
,"Vermont","50","20 - 27 weeks","02",22
,"Vermont","50","28 - 31 weeks","03",27
,"Vermont","50","32 - 35 weeks","04",204
,"Vermont","50","36 weeks","05",178
,"Vermont","50","37 - 39 weeks","06",3158
,"Vermont","50","40 weeks","07",1178
,"Vermont","50","41 weeks","08",575
,"Vermont","50","42 weeks or more","09",37
,"Vermont","50","Unknown or Not Stated","10",Suppressed
,"Virginia","51","Under 20 weeks","01",35
,"Virginia","51","20 - 27 weeks","02",621
,"Virginia","51","28 - 31 weeks","03",829
,"Virginia","51","32 - 35 weeks","04",4270
,"Virginia","51","36 weeks","05",3725
,"Virginia","51","37 - 39 weeks","06",62693
,"Virginia","51","40 weeks","07",18164
,"Virginia","51","41 weeks","08",5190
,"Virginia","51","42 weeks or more","09",267
,"Virginia","51","Unknown or Not Stated","10",31
,"Washington","53","Under 20 weeks","01",19
,"Washington","53","20 - 27 weeks","02",368
,"Washington","53","28 - 31 weeks","03",676
,"Washington","53","32 - 35 weeks","04",3308
,"Washington","53","36 weeks","05",3051
,"Washington","53","37 - 39 weeks","06",51926
,"Washington","53","40 weeks","07",17139
,"Washington","53","41 weeks","08",6848
,"Washington","53","42 weeks or more","09",403
,"Washington","53","Unknown or Not Stated","10",173
,"West Virginia","54","Under 20 weeks","01",Suppressed
,"West Virginia","54","20 - 27 weeks","02",98
,"West Virginia","54","28 - 31 weeks","03",195
,"West Virginia","54","32 - 35 weeks","04",1018
,"West Virginia","54","36 weeks","05",888
,"West Virginia","54","37 - 39 weeks","06",12415
,"West Virginia","54","40 weeks","07",2059
,"West Virginia","54","41 weeks","08",492
,"West Virginia","54","42 weeks or more","09",23
,"West Virginia","54","Unknown or Not Stated","10",Suppressed
,"Wisconsin","55","Under 20 weeks","01",13
,"Wisconsin","55","20 - 27 weeks","02",335
,"Wisconsin","55","28 - 31 weeks","03",554
,"Wisconsin","55","32 - 35 weeks","04",2822
,"Wisconsin","55","36 weeks","05",2449
,"Wisconsin","55","37 - 39 weeks","06",41204
,"Wisconsin","55","40 weeks","07",11462
,"Wisconsin","55","41 weeks","08",2692
,"Wisconsin","55","42 weeks or more","09",196
,"Wisconsin","55","Unknown or Not Stated","10",54
,"Wyoming","56","Under 20 weeks","01",Suppressed
,"Wyoming","56","20 - 27 weeks","02",21
,"Wyoming","56","28 - 31 weeks","03",41
,"Wyoming","56","32 - 35 weeks","04",314
,"Wyoming","56","36 weeks","05",299
,"Wyoming","56","37 - 39 weeks","06",4311
,"Wyoming","56","40 weeks","07",1017
,"Wyoming","56","41 weeks","08",216
,"Wyoming","56","42 weeks or more","09",14
,"Wyoming","56","Unknown or Not Stated","10",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2021"
"Group By: State of Residence; OE Gestational Age Recode 10"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 1:55:14 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 1:55:14 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
