"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Massachusetts","25","25-29 years","25-29",14508
,"Massachusetts","25","30-34 years","30-34",26775
,"Massachusetts","25","35-39 years","35-39",16341
,"Massachusetts","25","40-44 years","40-44",3339
,"Massachusetts","25","45-49 years","45-49",207
,"Massachusetts","25","50 years and over","50+",26
,"Michigan","26","Under 15 years","15",53
,"Michigan","26","15-19 years","15-19",3871
,"Michigan","26","20-24 years","20-24",18142
,"Michigan","26","25-29 years","25-29",31890
,"Michigan","26","30-34 years","30-34",33357
,"Michigan","26","35-39 years","35-39",14660
,"Michigan","26","40-44 years","40-44",2798
,"Michigan","26","45-49 years","45-49",189
,"Michigan","26","50 years and over","50+",20
,"Minnesota","27","Under 15 years","15",26
,"Minnesota","27","15-19 years","15-19",1561
,"Minnesota","27","20-24 years","20-24",7873
,"Minnesota","27","25-29 years","25-29",18115
,"Minnesota","27","30-34 years","30-34",23059
,"Minnesota","27","35-39 years","35-39",11574
,"Minnesota","27","40-44 years","40-44",2069
,"Minnesota","27","45-49 years","45-49",127
,"Minnesota","27","50 years and over","50+",21
,"Mississippi","28","Under 15 years","15",52
,"Mississippi","28","15-19 years","15-19",2545
,"Mississippi","28","20-24 years","20-24",9633
,"Mississippi","28","25-29 years","25-29",11153
,"Mississippi","28","30-34 years","30-34",7884
,"Mississippi","28","35-39 years","35-39",3178
,"Mississippi","28","40-44 years","40-44",681
,"Mississippi","28","45-49 years","45-49",30
,"Mississippi","28","50 years and over","50+",0
,"Missouri","29","Under 15 years","15",38
,"Missouri","29","15-19 years","15-19",3312
,"Missouri","29","20-24 years","20-24",14392
,"Missouri","29","25-29 years","25-29",21539
,"Missouri","29","30-34 years","30-34",19657
,"Missouri","29","35-39 years","35-39",8768
,"Missouri","29","40-44 years","40-44",1654
,"Missouri","29","45-49 years","45-49",85
,"Missouri","29","50 years and over","50+",Suppressed
,"Montana","30","Under 15 years","15",Suppressed
,"Montana","30","15-19 years","15-19",442
,"Montana","30","20-24 years","20-24",2044
,"Montana","30","25-29 years","25-29",3452
,"Montana","30","30-34 years","30-34",3406
,"Montana","30","35-39 years","35-39",1567
,"Montana","30","40-44 years","40-44",296
,"Montana","30","45-49 years","45-49",16
,"Montana","30","50 years and over","50+",Suppressed
,"Nebraska","31","Under 15 years","15",Suppressed
,"Nebraska","31","15-19 years","15-19",944
,"Nebraska","31","20-24 years","20-24",4245
,"Nebraska","31","25-29 years","25-29",7823
,"Nebraska","31","30-34 years","30-34",7574
,"Nebraska","31","35-39 years","35-39",3371
,"Nebraska","31","40-44 years","40-44",620
,"Nebraska","31","45-49 years","45-49",26
,"Nebraska","31","50 years and over","50+",0
,"Nevada","32","Under 15 years","15",Suppressed
,"Nevada","32","15-19 years","15-19",1384
,"Nevada","32","20-24 years","20-24",6311
,"Nevada","32","25-29 years","25-29",10083
,"Nevada","32","30-34 years","30-34",9546
,"Nevada","32","35-39 years","35-39",5111
,"Nevada","32","40-44 years","40-44",1154
,"Nevada","32","45-49 years","45-49",72
,"Nevada","32","50 years and over","50+",16
,"New Hampshire","33","Under 15 years","15",Suppressed
,"New Hampshire","33","15-19 years","15-19",225
,"New Hampshire","33","20-24 years","20-24",1409
,"New Hampshire","33","25-29 years","25-29",3514
,"New Hampshire","33","30-34 years","30-34",4772
,"New Hampshire","33","35-39 years","35-39",2233
,"New Hampshire","33","40-44 years","40-44",436
,"New Hampshire","33","45-49 years","45-49",28
,"New Hampshire","33","50 years and over","50+",Suppressed
,"New Jersey","34","Under 15 years","15",36
,"New Jersey","34","15-19 years","15-19",2253
,"New Jersey","34","20-24 years","20-24",11588
,"New Jersey","34","25-29 years","25-29",22938
,"New Jersey","34","30-34 years","30-34",36739
,"New Jersey","34","35-39 years","35-39",22427
,"New Jersey","34","40-44 years","40-44",5130
,"New Jersey","34","45-49 years","45-49",340
,"New Jersey","34","50 years and over","50+",46
,"New Mexico","35","Under 15 years","15",15
,"New Mexico","35","15-19 years","15-19",1324
,"New Mexico","35","20-24 years","20-24",5027
,"New Mexico","35","25-29 years","25-29",6368
,"New Mexico","35","30-34 years","30-34",5276
,"New Mexico","35","35-39 years","35-39",2794
,"New Mexico","35","40-44 years","40-44",553
,"New Mexico","35","45-49 years","45-49",32
,"New Mexico","35","50 years and over","50+",Suppressed
,"New York","36","Under 15 years","15",60
,"New York","36","15-19 years","15-19",5373
,"New York","36","20-24 years","20-24",29078
,"New York","36","25-29 years","25-29",50490
,"New York","36","30-34 years","30-34",70042
,"New York","36","35-39 years","35-39",43875
,"New York","36","40-44 years","40-44",10816
,"New York","36","45-49 years","45-49",877
,"New York","36","50 years and over","50+",131
,"North Carolina","37","Under 15 years","15",68
,"North Carolina","37","15-19 years","15-19",5474
,"North Carolina","37","20-24 years","20-24",23730
,"North Carolina","37","25-29 years","25-29",34483
,"North Carolina","37","30-34 years","30-34",35510
,"North Carolina","37","35-39 years","35-39",17401
,"North Carolina","37","40-44 years","40-44",3566
,"North Carolina","37","45-49 years","45-49",221
,"North Carolina","37","50 years and over","50+",13
,"North Dakota","38","Under 15 years","15",Suppressed
,"North Dakota","38","15-19 years","15-19",317
,"North Dakota","38","20-24 years","20-24",1713
,"North Dakota","38","25-29 years","25-29",3415
,"North Dakota","38","30-34 years","30-34",3175
,"North Dakota","38","35-39 years","35-39",1259
,"North Dakota","38","40-44 years","40-44",216
,"North Dakota","38","45-49 years","45-49",13
,"North Dakota","38","50 years and over","50+",0
,"Ohio","39","Under 15 years","15",100
,"Ohio","39","15-19 years","15-19",5790
,"Ohio","39","20-24 years","20-24",26110
,"Ohio","39","25-29 years","25-29",39195
,"Ohio","39","30-34 years","30-34",38104
,"Ohio","39","35-39 years","35-39",17177
,"Ohio","39","40-44 years","40-44",3110
,"Ohio","39","45-49 years","45-49",181
,"Ohio","39","50 years and over","50+",24
,"Oklahoma","40","Under 15 years","15",44
,"Oklahoma","40","15-19 years","15-19",3189
,"Oklahoma","40","20-24 years","20-24",12288
,"Oklahoma","40","25-29 years","25-29",14994
,"Oklahoma","40","30-34 years","30-34",11721
,"Oklahoma","40","35-39 years","35-39",5177
,"Oklahoma","40","40-44 years","40-44",955
,"Oklahoma","40","45-49 years","45-49",39
,"Oklahoma","40","50 years and over","50+",Suppressed
,"Oregon","41","Under 15 years","15",11
,"Oregon","41","15-19 years","15-19",1159
,"Oregon","41","20-24 years","20-24",6606
,"Oregon","41","25-29 years","25-29",11181
,"Oregon","41","30-34 years","30-34",12897
,"Oregon","41","35-39 years","35-39",7336
,"Oregon","41","40-44 years","40-44",1627
,"Oregon","41","45-49 years","45-49",92
,"Oregon","41","50 years and over","50+",Suppressed
,"Pennsylvania","42","Under 15 years","15",55
,"Pennsylvania","42","15-19 years","15-19",4643
,"Pennsylvania","42","20-24 years","20-24",20675
,"Pennsylvania","42","25-29 years","25-29",36528
,"Pennsylvania","42","30-34 years","30-34",44072
,"Pennsylvania","42","35-39 years","35-39",22194
,"Pennsylvania","42","40-44 years","40-44",4188
,"Pennsylvania","42","45-49 years","45-49",233
,"Pennsylvania","42","50 years and over","50+",34
,"Rhode Island","44","Under 15 years","15",Suppressed
,"Rhode Island","44","15-19 years","15-19",286
,"Rhode Island","44","20-24 years","20-24",1431
,"Rhode Island","44","25-29 years","25-29",2679
,"Rhode Island","44","30-34 years","30-34",3705
,"Rhode Island","44","35-39 years","35-39",1915
,"Rhode Island","44","40-44 years","40-44",411
,"Rhode Island","44","45-49 years","45-49",30
,"Rhode Island","44","50 years and over","50+",Suppressed
,"South Carolina","45","Under 15 years","15",41
,"South Carolina","45","15-19 years","15-19",2953
,"South Carolina","45","20-24 years","20-24",11904
,"South Carolina","45","25-29 years","25-29",16977
,"South Carolina","45","30-34 years","30-34",16013
,"South Carolina","45","35-39 years","35-39",7633
,"South Carolina","45","40-44 years","40-44",1564
,"South Carolina","45","45-49 years","45-49",90
,"South Carolina","45","50 years and over","50+",10
,"South Dakota","46","Under 15 years","15",Suppressed
,"South Dakota","46","15-19 years","15-19",501
,"South Dakota","46","20-24 years","20-24",2113
,"South Dakota","46","25-29 years","25-29",3723
,"South Dakota","46","30-34 years","30-34",3358
,"South Dakota","46","35-39 years","35-39",1422
,"South Dakota","46","40-44 years","40-44",226
,"South Dakota","46","45-49 years","45-49",19
,"South Dakota","46","50 years and over","50+",Suppressed
,"Tennessee","47","Under 15 years","15",72
,"Tennessee","47","15-19 years","15-19",4613
,"Tennessee","47","20-24 years","20-24",18470
,"Tennessee","47","25-29 years","25-29",24559
,"Tennessee","47","30-34 years","30-34",21901
,"Tennessee","47","35-39 years","35-39",9981
,"Tennessee","47","40-44 years","40-44",2007
,"Tennessee","47","45-49 years","45-49",107
,"Tennessee","47","50 years and over","50+",Suppressed
,"Texas","48","Under 15 years","15",260
,"Texas","48","15-19 years","15-19",21041
,"Texas","48","20-24 years","20-24",77682
,"Texas","48","25-29 years","25-29",108529
,"Texas","48","30-34 years","30-34",102200
,"Texas","48","35-39 years","35-39",52036
,"Texas","48","40-44 years","40-44",11097
,"Texas","48","45-49 years","45-49",674
,"Texas","48","50 years and over","50+",75
,"Utah","49","Under 15 years","15",Suppressed
,"Utah","49","15-19 years","15-19",1282
,"Utah","49","20-24 years","20-24",9057
,"Utah","49","25-29 years","25-29",16467
,"Utah","49","30-34 years","30-34",12772
,"Utah","49","35-39 years","35-39",5827
,"Utah","49","40-44 years","40-44",1217
,"Utah","49","45-49 years","45-49",82
,"Utah","49","50 years and over","50+",Suppressed
,"Vermont","50","Under 15 years","15",0
,"Vermont","50","15-19 years","15-19",133
,"Vermont","50","20-24 years","20-24",698
,"Vermont","50","25-29 years","25-29",1385
,"Vermont","50","30-34 years","30-34",1900
,"Vermont","50","35-39 years","35-39",1051
,"Vermont","50","40-44 years","40-44",196
,"Vermont","50","45-49 years","45-49",19
,"Vermont","50","50 years and over","50+",Suppressed
,"Virginia","51","Under 15 years","15",25
,"Virginia","51","15-19 years","15-19",3198
,"Virginia","51","20-24 years","20-24",14940
,"Virginia","51","25-29 years","25-29",25655
,"Virginia","51","30-34 years","30-34",30831
,"Virginia","51","35-39 years","35-39",17185
,"Virginia","51","40-44 years","40-44",3713
,"Virginia","51","45-49 years","45-49",246
,"Virginia","51","50 years and over","50+",32
,"Washington","53","Under 15 years","15",29
,"Washington","53","15-19 years","15-19",2276
,"Washington","53","20-24 years","20-24",12510
,"Washington","53","25-29 years","25-29",22652
,"Washington","53","30-34 years","30-34",27395
,"Washington","53","35-39 years","35-39",15634
,"Washington","53","40-44 years","40-44",3195
,"Washington","53","45-49 years","45-49",193
,"Washington","53","50 years and over","50+",27
,"West Virginia","54","Under 15 years","15",10
,"West Virginia","54","15-19 years","15-19",1080
,"West Virginia","54","20-24 years","20-24",4792
,"West Virginia","54","25-29 years","25-29",5295
,"West Virginia","54","30-34 years","30-34",3984
,"West Virginia","54","35-39 years","35-39",1663
,"West Virginia","54","40-44 years","40-44",349
,"West Virginia","54","45-49 years","45-49",20
,"West Virginia","54","50 years and over","50+",Suppressed
,"Wisconsin","55","Under 15 years","15",24
,"Wisconsin","55","15-19 years","15-19",1906
,"Wisconsin","55","20-24 years","20-24",9602
,"Wisconsin","55","25-29 years","25-29",18728
,"Wisconsin","55","30-34 years","30-34",20572
,"Wisconsin","55","35-39 years","35-39",9121
,"Wisconsin","55","40-44 years","40-44",1729
,"Wisconsin","55","45-49 years","45-49",90
,"Wisconsin","55","50 years and over","50+",Suppressed
,"Wyoming","56","Under 15 years","15",Suppressed
,"Wyoming","56","15-19 years","15-19",295
,"Wyoming","56","20-24 years","20-24",1418
,"Wyoming","56","25-29 years","25-29",1961
,"Wyoming","56","30-34 years","30-34",1644
,"Wyoming","56","35-39 years","35-39",757
,"Wyoming","56","40-44 years","40-44",154
,"Wyoming","56","45-49 years","45-49",Suppressed
,"Wyoming","56","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2021"
"Group By: State of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:32:02 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:32:02 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
