"Notes","State of Residence","State of Residence Code","Mother's Education","Mother's Education Code",Births
,"Florida","12","8th grade or less","1",5867
,"Florida","12","9th through 12th grade with no diploma","2",15340
,"Florida","12","High school graduate or GED completed","3",66101
,"Florida","12","Some college credit, but not a degree","4",36563
,"Florida","12","Associate degree (AA, AS)","5",22968
,"Florida","12","Bachelor's degree (BA, AB, BS)","6",43722
,"Florida","12","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",17835
,"Florida","12","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",5555
,"Florida","12","Unknown or Not Stated","Unk",2309
,"Florida","12","Excluded","Exc",0
,"Florida","12","Not Reported","NR",0
,"Georgia","13","8th grade or less","1",3662
,"Georgia","13","9th through 12th grade with no diploma","2",10174
,"Georgia","13","High school graduate or GED completed","3",40316
,"Georgia","13","Some college credit, but not a degree","4",20086
,"Georgia","13","Associate degree (AA, AS)","5",9898
,"Georgia","13","Bachelor's degree (BA, AB, BS)","6",27451
,"Georgia","13","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",9675
,"Georgia","13","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2483
,"Georgia","13","Unknown or Not Stated","Unk",328
,"Georgia","13","Excluded","Exc",0
,"Georgia","13","Not Reported","NR",0
,"Hawaii","15","8th grade or less","1",102
,"Hawaii","15","9th through 12th grade with no diploma","2",2354
,"Hawaii","15","High school graduate or GED completed","3",2719
,"Hawaii","15","Some college credit, but not a degree","4",3000
,"Hawaii","15","Associate degree (AA, AS)","5",1580
,"Hawaii","15","Bachelor's degree (BA, AB, BS)","6",3744
,"Hawaii","15","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1523
,"Hawaii","15","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",296
,"Hawaii","15","Unknown or Not Stated","Unk",302
,"Hawaii","15","Excluded","Exc",0
,"Hawaii","15","Not Reported","NR",0
,"Idaho","16","8th grade or less","1",399
,"Idaho","16","9th through 12th grade with no diploma","2",1630
,"Idaho","16","High school graduate or GED completed","3",5443
,"Idaho","16","Some college credit, but not a degree","4",5436
,"Idaho","16","Associate degree (AA, AS)","5",2283
,"Idaho","16","Bachelor's degree (BA, AB, BS)","6",5345
,"Idaho","16","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1306
,"Idaho","16","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",381
,"Idaho","16","Unknown or Not Stated","Unk",204
,"Idaho","16","Excluded","Exc",0
,"Idaho","16","Not Reported","NR",0
,"Illinois","17","8th grade or less","1",2443
,"Illinois","17","9th through 12th grade with no diploma","2",8829
,"Illinois","17","High school graduate or GED completed","3",29948
,"Illinois","17","Some college credit, but not a degree","4",23823
,"Illinois","17","Associate degree (AA, AS)","5",10754
,"Illinois","17","Bachelor's degree (BA, AB, BS)","6",32759
,"Illinois","17","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",17353
,"Illinois","17","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",4824
,"Illinois","17","Unknown or Not Stated","Unk",1456
,"Illinois","17","Excluded","Exc",0
,"Illinois","17","Not Reported","NR",0
,"Indiana","18","8th grade or less","1",3897
,"Indiana","18","9th through 12th grade with no diploma","2",7363
,"Indiana","18","High school graduate or GED completed","3",23268
,"Indiana","18","Some college credit, but not a degree","4",14538
,"Indiana","18","Associate degree (AA, AS)","5",6544
,"Indiana","18","Bachelor's degree (BA, AB, BS)","6",17013
,"Indiana","18","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5391
,"Indiana","18","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1717
,"Indiana","18","Unknown or Not Stated","Unk",215
,"Indiana","18","Excluded","Exc",0
,"Indiana","18","Not Reported","NR",0
,"Iowa","19","8th grade or less","1",1256
,"Iowa","19","9th through 12th grade with no diploma","2",2767
,"Iowa","19","High school graduate or GED completed","3",8971
,"Iowa","19","Some college credit, but not a degree","4",5809
,"Iowa","19","Associate degree (AA, AS)","5",4487
,"Iowa","19","Bachelor's degree (BA, AB, BS)","6",9170
,"Iowa","19","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3262
,"Iowa","19","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1047
,"Iowa","19","Unknown or Not Stated","Unk",66
,"Iowa","19","Excluded","Exc",0
,"Iowa","19","Not Reported","NR",0
,"Kansas","20","8th grade or less","1",1113
,"Kansas","20","9th through 12th grade with no diploma","2",2538
,"Kansas","20","High school graduate or GED completed","3",8961
,"Kansas","20","Some college credit, but not a degree","4",6177
,"Kansas","20","Associate degree (AA, AS)","5",3178
,"Kansas","20","Bachelor's degree (BA, AB, BS)","6",8368
,"Kansas","20","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3171
,"Kansas","20","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",994
,"Kansas","20","Unknown or Not Stated","Unk",205
,"Kansas","20","Excluded","Exc",0
,"Kansas","20","Not Reported","NR",0
,"Kentucky","21","8th grade or less","1",2078
,"Kentucky","21","9th through 12th grade with no diploma","2",4400
,"Kentucky","21","High school graduate or GED completed","3",16117
,"Kentucky","21","Some college credit, but not a degree","4",10531
,"Kentucky","21","Associate degree (AA, AS)","5",4683
,"Kentucky","21","Bachelor's degree (BA, AB, BS)","6",8683
,"Kentucky","21","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",4294
,"Kentucky","21","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1180
,"Kentucky","21","Unknown or Not Stated","Unk",248
,"Kentucky","21","Excluded","Exc",0
,"Kentucky","21","Not Reported","NR",0
,"Louisiana","22","8th grade or less","1",1550
,"Louisiana","22","9th through 12th grade with no diploma","2",6063
,"Louisiana","22","High school graduate or GED completed","3",19762
,"Louisiana","22","Some college credit, but not a degree","4",10654
,"Louisiana","22","Associate degree (AA, AS)","5",4578
,"Louisiana","22","Bachelor's degree (BA, AB, BS)","6",9591
,"Louisiana","22","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3678
,"Louisiana","22","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1252
,"Louisiana","22","Unknown or Not Stated","Unk",309
,"Louisiana","22","Excluded","Exc",0
,"Louisiana","22","Not Reported","NR",0
,"Maine","23","8th grade or less","1",194
,"Maine","23","9th through 12th grade with no diploma","2",603
,"Maine","23","High school graduate or GED completed","3",2855
,"Maine","23","Some college credit, but not a degree","4",2377
,"Maine","23","Associate degree (AA, AS)","5",1094
,"Maine","23","Bachelor's degree (BA, AB, BS)","6",3094
,"Maine","23","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1326
,"Maine","23","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",421
,"Maine","23","Unknown or Not Stated","Unk",42
,"Maine","23","Excluded","Exc",0
,"Maine","23","Not Reported","NR",0
,"Maryland","24","8th grade or less","1",3086
,"Maryland","24","9th through 12th grade with no diploma","2",5195
,"Maryland","24","High school graduate or GED completed","3",13779
,"Maryland","24","Some college credit, but not a degree","4",12001
,"Maryland","24","Associate degree (AA, AS)","5",4462
,"Maryland","24","Bachelor's degree (BA, AB, BS)","6",15194
,"Maryland","24","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",10894
,"Maryland","24","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",3275
,"Maryland","24","Unknown or Not Stated","Unk",399
,"Maryland","24","Excluded","Exc",0
,"Maryland","24","Not Reported","NR",0
,"Massachusetts","25","8th grade or less","1",1189
,"Massachusetts","25","9th through 12th grade with no diploma","2",3773
,"Massachusetts","25","High school graduate or GED completed","3",10811
,"Massachusetts","25","Some college credit, but not a degree","4",11061
,"Massachusetts","25","Associate degree (AA, AS)","5",4089
,"Massachusetts","25","Bachelor's degree (BA, AB, BS)","6",18531
,"Massachusetts","25","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",13762
,"Massachusetts","25","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",4310
,"Massachusetts","25","Unknown or Not Stated","Unk",1611
,"Massachusetts","25","Excluded","Exc",0
,"Massachusetts","25","Not Reported","NR",0
,"Michigan","26","8th grade or less","1",1946
,"Michigan","26","9th through 12th grade with no diploma","2",7956
,"Michigan","26","High school graduate or GED completed","3",27780
,"Michigan","26","Some college credit, but not a degree","4",22583
,"Michigan","26","Associate degree (AA, AS)","5",9299
,"Michigan","26","Bachelor's degree (BA, AB, BS)","6",21980
,"Michigan","26","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",9545
,"Michigan","26","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2986
,"Michigan","26","Unknown or Not Stated","Unk",905
,"Michigan","26","Excluded","Exc",0
,"Michigan","26","Not Reported","NR",0
,"Minnesota","27","8th grade or less","1",1995
,"Minnesota","27","9th through 12th grade with no diploma","2",4025
,"Minnesota","27","High school graduate or GED completed","3",10620
,"Minnesota","27","Some college credit, but not a degree","4",10696
,"Minnesota","27","Associate degree (AA, AS)","5",7625
,"Minnesota","27","Bachelor's degree (BA, AB, BS)","6",19036
,"Minnesota","27","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",7634
,"Minnesota","27","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2464
,"Minnesota","27","Unknown or Not Stated","Unk",330
,"Minnesota","27","Excluded","Exc",0
,"Minnesota","27","Not Reported","NR",0
,"Mississippi","28","8th grade or less","1",729
,"Mississippi","28","9th through 12th grade with no diploma","2",3344
,"Mississippi","28","High school graduate or GED completed","3",10901
,"Mississippi","28","Some college credit, but not a degree","4",7347
,"Mississippi","28","Associate degree (AA, AS)","5",4790
,"Mississippi","28","Bachelor's degree (BA, AB, BS)","6",5080
,"Mississippi","28","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2264
,"Mississippi","28","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",604
,"Mississippi","28","Unknown or Not Stated","Unk",97
,"Mississippi","28","Excluded","Exc",0
,"Mississippi","28","Not Reported","NR",0
,"Missouri","29","8th grade or less","1",1971
,"Missouri","29","9th through 12th grade with no diploma","2",5623
,"Missouri","29","High school graduate or GED completed","3",17951
,"Missouri","29","Some college credit, but not a degree","4",14292
,"Missouri","29","Associate degree (AA, AS)","5",6090
,"Missouri","29","Bachelor's degree (BA, AB, BS)","6",14331
,"Missouri","29","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",6996
,"Missouri","29","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1935
,"Missouri","29","Unknown or Not Stated","Unk",264
,"Missouri","29","Excluded","Exc",0
,"Missouri","29","Not Reported","NR",0
,"Montana","30","8th grade or less","1",220
,"Montana","30","9th through 12th grade with no diploma","2",810
,"Montana","30","High school graduate or GED completed","3",2932
,"Montana","30","Some college credit, but not a degree","4",2270
,"Montana","30","Associate degree (AA, AS)","5",1073
,"Montana","30","Bachelor's degree (BA, AB, BS)","6",2639
,"Montana","30","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",909
,"Montana","30","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",363
,"Montana","30","Unknown or Not Stated","Unk",15
,"Montana","30","Excluded","Exc",0
,"Montana","30","Not Reported","NR",0
,"Nebraska","31","8th grade or less","1",1050
,"Nebraska","31","9th through 12th grade with no diploma","2",1661
,"Nebraska","31","High school graduate or GED completed","3",4842
,"Nebraska","31","Some college credit, but not a degree","4",4879
,"Nebraska","31","Associate degree (AA, AS)","5",2436
,"Nebraska","31","Bachelor's degree (BA, AB, BS)","6",6296
,"Nebraska","31","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2595
,"Nebraska","31","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",818
,"Nebraska","31","Unknown or Not Stated","Unk",32
,"Nebraska","31","Excluded","Exc",0
,"Nebraska","31","Not Reported","NR",0
,"Nevada","32","8th grade or less","1",513
,"Nevada","32","9th through 12th grade with no diploma","2",3822
,"Nevada","32","High school graduate or GED completed","3",11173
,"Nevada","32","Some college credit, but not a degree","4",7109
,"Nevada","32","Associate degree (AA, AS)","5",2537
,"Nevada","32","Bachelor's degree (BA, AB, BS)","6",5299
,"Nevada","32","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1892
,"Nevada","32","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",544
,"Nevada","32","Unknown or Not Stated","Unk",797
,"Nevada","32","Excluded","Exc",0
,"Nevada","32","Not Reported","NR",0
,"New Hampshire","33","8th grade or less","1",72
,"New Hampshire","33","9th through 12th grade with no diploma","2",527
,"New Hampshire","33","High school graduate or GED completed","3",2506
,"New Hampshire","33","Some college credit, but not a degree","4",2179
,"New Hampshire","33","Associate degree (AA, AS)","5",1115
,"New Hampshire","33","Bachelor's degree (BA, AB, BS)","6",3559
,"New Hampshire","33","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2144
,"New Hampshire","33","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",463
,"New Hampshire","33","Unknown or Not Stated","Unk",60
,"New Hampshire","33","Excluded","Exc",0
,"New Hampshire","33","Not Reported","NR",0
,"New Jersey","34","8th grade or less","1",3566
,"New Jersey","34","9th through 12th grade with no diploma","2",5150
,"New Jersey","34","High school graduate or GED completed","3",23384
,"New Jersey","34","Some college credit, but not a degree","4",11997
,"New Jersey","34","Associate degree (AA, AS)","5",6910
,"New Jersey","34","Bachelor's degree (BA, AB, BS)","6",28276
,"New Jersey","34","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",16990
,"New Jersey","34","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",4080
,"New Jersey","34","Unknown or Not Stated","Unk",1144
,"New Jersey","34","Excluded","Exc",0
,"New Jersey","34","Not Reported","NR",0
,"New Mexico","35","8th grade or less","1",502
,"New Mexico","35","9th through 12th grade with no diploma","2",2871
,"New Mexico","35","High school graduate or GED completed","3",5358
,"New Mexico","35","Some college credit, but not a degree","4",5541
,"New Mexico","35","Associate degree (AA, AS)","5",2076
,"New Mexico","35","Bachelor's degree (BA, AB, BS)","6",3126
,"New Mexico","35","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1411
,"New Mexico","35","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",440
,"New Mexico","35","Unknown or Not Stated","Unk",66
,"New Mexico","35","Excluded","Exc",0
,"New Mexico","35","Not Reported","NR",0
,"New York","36","8th grade or less","1",8023
,"New York","36","9th through 12th grade with no diploma","2",17929
,"New York","36","High school graduate or GED completed","3",48420
,"New York","36","Some college credit, but not a degree","4",30756
,"New York","36","Associate degree (AA, AS)","5",17058
,"New York","36","Bachelor's degree (BA, AB, BS)","6",45572
,"New York","36","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",33196
,"New York","36","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",8265
,"New York","36","Unknown or Not Stated","Unk",1523
,"New York","36","Excluded","Exc",0
,"New York","36","Not Reported","NR",0
,"North Carolina","37","8th grade or less","1",3627
,"North Carolina","37","9th through 12th grade with no diploma","2",10187
,"North Carolina","37","High school graduate or GED completed","3",30032
,"North Carolina","37","Some college credit, but not a degree","4",23322
,"North Carolina","37","Associate degree (AA, AS)","5",11743
,"North Carolina","37","Bachelor's degree (BA, AB, BS)","6",26112
,"North Carolina","37","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",11680
,"North Carolina","37","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",3425
,"North Carolina","37","Unknown or Not Stated","Unk",338
,"North Carolina","37","Excluded","Exc",0
,"North Carolina","37","Not Reported","NR",0
,"North Dakota","38","8th grade or less","1",93
,"North Dakota","38","9th through 12th grade with no diploma","2",673
,"North Dakota","38","High school graduate or GED completed","3",2070
,"North Dakota","38","Some college credit, but not a degree","4",1914
,"North Dakota","38","Associate degree (AA, AS)","5",1329
,"North Dakota","38","Bachelor's degree (BA, AB, BS)","6",2689
,"North Dakota","38","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",857
,"North Dakota","38","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",336
,"North Dakota","38","Unknown or Not Stated","Unk",151
,"North Dakota","38","Excluded","Exc",0
,"North Dakota","38","Not Reported","NR",0
,"Ohio","39","8th grade or less","1",5060
,"Ohio","39","9th through 12th grade with no diploma","2",10348
,"Ohio","39","High school graduate or GED completed","3",37267
,"Ohio","39","Some college credit, but not a degree","4",21817
,"Ohio","39","Associate degree (AA, AS)","5",11650
,"Ohio","39","Bachelor's degree (BA, AB, BS)","6",26962
,"Ohio","39","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",12615
,"Ohio","39","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",3621
,"Ohio","39","Unknown or Not Stated","Unk",451
,"Ohio","39","Excluded","Exc",0
,"Ohio","39","Not Reported","NR",0
,"Oklahoma","40","8th grade or less","1",1288
,"Oklahoma","40","9th through 12th grade with no diploma","2",5458
,"Oklahoma","40","High school graduate or GED completed","3",15129
,"Oklahoma","40","Some college credit, but not a degree","4",10752
,"Oklahoma","40","Associate degree (AA, AS)","5",3889
,"Oklahoma","40","Bachelor's degree (BA, AB, BS)","6",8336
,"Oklahoma","40","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2620
,"Oklahoma","40","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",828
,"Oklahoma","40","Unknown or Not Stated","Unk",110
,"Oklahoma","40","Excluded","Exc",0
,"Oklahoma","40","Not Reported","NR",0
,"Oregon","41","8th grade or less","1",941
,"Oregon","41","9th through 12th grade with no diploma","2",3224
,"Oregon","41","High school graduate or GED completed","3",9487
,"Oregon","41","Some college credit, but not a degree","4",8920
,"Oregon","41","Associate degree (AA, AS)","5",3527
,"Oregon","41","Bachelor's degree (BA, AB, BS)","6",9135
,"Oregon","41","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3930
,"Oregon","41","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1425
,"Oregon","41","Unknown or Not Stated","Unk",325
,"Oregon","41","Excluded","Exc",0
,"Oregon","41","Not Reported","NR",0
,"Pennsylvania","42","8th grade or less","1",4913
,"Pennsylvania","42","9th through 12th grade with no diploma","2",9760
,"Pennsylvania","42","High school graduate or GED completed","3",33040
,"Pennsylvania","42","Some college credit, but not a degree","4",20558
,"Pennsylvania","42","Associate degree (AA, AS)","5",11149
,"Pennsylvania","42","Bachelor's degree (BA, AB, BS)","6",30278
,"Pennsylvania","42","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",17020
,"Pennsylvania","42","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",4940
,"Pennsylvania","42","Unknown or Not Stated","Unk",964
,"Pennsylvania","42","Excluded","Exc",0
,"Pennsylvania","42","Not Reported","NR",0
,"Rhode Island","44","8th grade or less","1",291
,"Rhode Island","44","9th through 12th grade with no diploma","2",852
,"Rhode Island","44","High school graduate or GED completed","3",2049
,"Rhode Island","44","Some college credit, but not a degree","4",2166
,"Rhode Island","44","Associate degree (AA, AS)","5",786
,"Rhode Island","44","Bachelor's degree (BA, AB, BS)","6",2547
,"Rhode Island","44","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1317
,"Rhode Island","44","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",424
,"Rhode Island","44","Unknown or Not Stated","Unk",32
,"Rhode Island","44","Excluded","Exc",0
,"Rhode Island","44","Not Reported","NR",0
,"South Carolina","45","8th grade or less","1",1280
,"South Carolina","45","9th through 12th grade with no diploma","2",5056
,"South Carolina","45","High school graduate or GED completed","3",14909
,"South Carolina","45","Some college credit, but not a degree","4",12406
,"South Carolina","45","Associate degree (AA, AS)","5",5383
,"South Carolina","45","Bachelor's degree (BA, AB, BS)","6",11437
,"South Carolina","45","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5120
,"South Carolina","45","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1393
,"South Carolina","45","Unknown or Not Stated","Unk",201
,"South Carolina","45","Excluded","Exc",0
,"South Carolina","45","Not Reported","NR",0
,"South Dakota","46","8th grade or less","1",439
,"South Dakota","46","9th through 12th grade with no diploma","2",1138
,"South Dakota","46","High school graduate or GED completed","3",2822
,"South Dakota","46","Some college credit, but not a degree","4",1695
,"South Dakota","46","Associate degree (AA, AS)","5",1234
,"South Dakota","46","Bachelor's degree (BA, AB, BS)","6",2827
,"South Dakota","46","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",862
,"South Dakota","46","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",309
,"South Dakota","46","Unknown or Not Stated","Unk",43
,"South Dakota","46","Excluded","Exc",0
,"South Dakota","46","Not Reported","NR",0
,"Tennessee","47","8th grade or less","1",3186
,"Tennessee","47","9th through 12th grade with no diploma","2",7022
,"Tennessee","47","High school graduate or GED completed","3",22626
,"Tennessee","47","Some college credit, but not a degree","4",17184
,"Tennessee","47","Associate degree (AA, AS)","5",6285
