"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Idaho","16","No prenatal care","4",168
,"Idaho","16","Unknown or Not Stated","5",180
,"Idaho","16","Not Reported","100",0
,"Illinois","17","1st to 3rd month","1",102801
,"Illinois","17","4th to 6th month","2",19861
,"Illinois","17","7th to final month","3",4713
,"Illinois","17","No prenatal care","4",1807
,"Illinois","17","Unknown or Not Stated","5",3007
,"Illinois","17","Not Reported","100",0
,"Indiana","18","1st to 3rd month","1",60707
,"Indiana","18","4th to 6th month","2",14230
,"Indiana","18","7th to final month","3",3436
,"Indiana","18","No prenatal care","4",1423
,"Indiana","18","Unknown or Not Stated","5",150
,"Indiana","18","Not Reported","100",0
,"Iowa","19","1st to 3rd month","1",30421
,"Iowa","19","4th to 6th month","2",4835
,"Iowa","19","7th to final month","3",1149
,"Iowa","19","No prenatal care","4",328
,"Iowa","19","Unknown or Not Stated","5",102
,"Iowa","19","Not Reported","100",0
,"Kansas","20","1st to 3rd month","1",29016
,"Kansas","20","4th to 6th month","2",4063
,"Kansas","20","7th to final month","3",890
,"Kansas","20","No prenatal care","4",384
,"Kansas","20","Unknown or Not Stated","5",352
,"Kansas","20","Not Reported","100",0
,"Kentucky","21","1st to 3rd month","1",39960
,"Kentucky","21","4th to 6th month","2",7870
,"Kentucky","21","7th to final month","3",2221
,"Kentucky","21","No prenatal care","4",897
,"Kentucky","21","Unknown or Not Stated","5",1266
,"Kentucky","21","Not Reported","100",0
,"Louisiana","22","1st to 3rd month","1",42474
,"Louisiana","22","4th to 6th month","2",8748
,"Louisiana","22","7th to final month","3",2512
,"Louisiana","22","No prenatal care","4",1498
,"Louisiana","22","Unknown or Not Stated","5",2205
,"Louisiana","22","Not Reported","100",0
,"Maine","23","1st to 3rd month","1",10214
,"Maine","23","4th to 6th month","2",1280
,"Maine","23","7th to final month","3",343
,"Maine","23","No prenatal care","4",67
,"Maine","23","Unknown or Not Stated","5",102
,"Maine","23","Not Reported","100",0
,"Maryland","24","1st to 3rd month","1",50409
,"Maryland","24","4th to 6th month","2",11457
,"Maryland","24","7th to final month","3",2970
,"Maryland","24","No prenatal care","4",974
,"Maryland","24","Unknown or Not Stated","5",2475
,"Maryland","24","Not Reported","100",0
,"Massachusetts","25","1st to 3rd month","1",57905
,"Massachusetts","25","4th to 6th month","2",7659
,"Massachusetts","25","7th to final month","3",2164
,"Massachusetts","25","No prenatal care","4",345
,"Massachusetts","25","Unknown or Not Stated","5",1064
,"Massachusetts","25","Not Reported","100",0
,"Michigan","26","1st to 3rd month","1",82283
,"Michigan","26","4th to 6th month","2",15744
,"Michigan","26","7th to final month","3",3678
,"Michigan","26","No prenatal care","4",1958
,"Michigan","26","Unknown or Not Stated","5",1317
,"Michigan","26","Not Reported","100",0
,"Minnesota","27","1st to 3rd month","1",53673
,"Minnesota","27","4th to 6th month","2",8223
,"Minnesota","27","7th to final month","3",1666
,"Minnesota","27","No prenatal care","4",449
,"Minnesota","27","Unknown or Not Stated","5",414
,"Minnesota","27","Not Reported","100",0
,"Mississippi","28","1st to 3rd month","1",26988
,"Mississippi","28","4th to 6th month","2",5971
,"Mississippi","28","7th to final month","3",1241
,"Mississippi","28","No prenatal care","4",588
,"Mississippi","28","Unknown or Not Stated","5",368
,"Mississippi","28","Not Reported","100",0
,"Missouri","29","1st to 3rd month","1",52400
,"Missouri","29","4th to 6th month","2",10867
,"Missouri","29","7th to final month","3",2728
,"Missouri","29","No prenatal care","4",1433
,"Missouri","29","Unknown or Not Stated","5",2025
,"Missouri","29","Not Reported","100",0
,"Montana","30","1st to 3rd month","1",9018
,"Montana","30","4th to 6th month","2",1586
,"Montana","30","7th to final month","3",458
,"Montana","30","No prenatal care","4",149
,"Montana","30","Unknown or Not Stated","5",20
,"Montana","30","Not Reported","100",0
,"Nebraska","31","1st to 3rd month","1",19538
,"Nebraska","31","4th to 6th month","2",3723
,"Nebraska","31","7th to final month","3",783
,"Nebraska","31","No prenatal care","4",227
,"Nebraska","31","Unknown or Not Stated","5",338
,"Nebraska","31","Not Reported","100",0
,"Nevada","32","1st to 3rd month","1",25922
,"Nevada","32","4th to 6th month","2",4662
,"Nevada","32","7th to final month","3",971
,"Nevada","32","No prenatal care","4",1554
,"Nevada","32","Unknown or Not Stated","5",577
,"Nevada","32","Not Reported","100",0
,"New Hampshire","33","1st to 3rd month","1",10524
,"New Hampshire","33","4th to 6th month","2",1403
,"New Hampshire","33","7th to final month","3",374
,"New Hampshire","33","No prenatal care","4",86
,"New Hampshire","33","Unknown or Not Stated","5",238
,"New Hampshire","33","Not Reported","100",0
,"New Jersey","34","1st to 3rd month","1",77440
,"New Jersey","34","4th to 6th month","2",16710
,"New Jersey","34","7th to final month","3",3840
,"New Jersey","34","No prenatal care","4",1880
,"New Jersey","34","Unknown or Not Stated","5",1627
,"New Jersey","34","Not Reported","100",0
,"New Mexico","35","1st to 3rd month","1",14964
,"New Mexico","35","4th to 6th month","2",3649
,"New Mexico","35","7th to final month","3",1494
,"New Mexico","35","No prenatal care","4",761
,"New Mexico","35","Unknown or Not Stated","5",523
,"New Mexico","35","Not Reported","100",0
,"New York","36","1st to 3rd month","1",165046
,"New York","36","4th to 6th month","2",29262
,"New York","36","7th to final month","3",8301
,"New York","36","No prenatal care","4",1899
,"New York","36","Unknown or Not Stated","5",6234
,"New York","36","Not Reported","100",0
,"North Carolina","37","1st to 3rd month","1",88934
,"North Carolina","37","4th to 6th month","2",20460
,"North Carolina","37","7th to final month","3",5454
,"North Carolina","37","No prenatal care","4",4589
,"North Carolina","37","Unknown or Not Stated","5",1029
,"North Carolina","37","Not Reported","100",0
,"North Dakota","38","1st to 3rd month","1",8028
,"North Dakota","38","4th to 6th month","2",1235
,"North Dakota","38","7th to final month","3",469
,"North Dakota","38","No prenatal care","4",89
,"North Dakota","38","Unknown or Not Stated","5",291
,"North Dakota","38","Not Reported","100",0
,"Ohio","39","1st to 3rd month","1",101225
,"Ohio","39","4th to 6th month","2",20414
,"Ohio","39","7th to final month","3",4994
,"Ohio","39","No prenatal care","4",2093
,"Ohio","39","Unknown or Not Stated","5",1065
,"Ohio","39","Not Reported","100",0
,"Oklahoma","40","1st to 3rd month","1",37213
,"Oklahoma","40","4th to 6th month","2",7629
,"Oklahoma","40","7th to final month","3",1999
,"Oklahoma","40","No prenatal care","4",944
,"Oklahoma","40","Unknown or Not Stated","5",625
,"Oklahoma","40","Not Reported","100",0
,"Oregon","41","1st to 3rd month","1",34033
,"Oregon","41","4th to 6th month","2",4935
,"Oregon","41","7th to final month","3",1276
,"Oregon","41","No prenatal care","4",412
,"Oregon","41","Unknown or Not Stated","5",258
,"Oregon","41","Not Reported","100",0
,"Pennsylvania","42","1st to 3rd month","1",99405
,"Pennsylvania","42","4th to 6th month","2",19900
,"Pennsylvania","42","7th to final month","3",5685
,"Pennsylvania","42","No prenatal care","4",2749
,"Pennsylvania","42","Unknown or Not Stated","5",4883
,"Pennsylvania","42","Not Reported","100",0
,"Rhode Island","44","1st to 3rd month","1",8904
,"Rhode Island","44","4th to 6th month","2",1391
,"Rhode Island","44","7th to final month","3",112
,"Rhode Island","44","No prenatal care","4",30
,"Rhode Island","44","Unknown or Not Stated","5",27
,"Rhode Island","44","Not Reported","100",0
,"South Carolina","45","1st to 3rd month","1",42314
,"South Carolina","45","4th to 6th month","2",9750
,"South Carolina","45","7th to final month","3",3110
,"South Carolina","45","No prenatal care","4",1910
,"South Carolina","45","Unknown or Not Stated","5",101
,"South Carolina","45","Not Reported","100",0
,"South Dakota","46","1st to 3rd month","1",8768
,"South Dakota","46","4th to 6th month","2",1741
,"South Dakota","46","7th to final month","3",580
,"South Dakota","46","No prenatal care","4",168
,"South Dakota","46","Unknown or Not Stated","5",112
,"South Dakota","46","Not Reported","100",0
,"Tennessee","47","1st to 3rd month","1",59467
,"Tennessee","47","4th to 6th month","2",14398
,"Tennessee","47","7th to final month","3",3765
,"Tennessee","47","No prenatal care","4",2548
,"Tennessee","47","Unknown or Not Stated","5",1539
,"Tennessee","47","Not Reported","100",0
,"Texas","48","1st to 3rd month","1",256994
,"Texas","48","4th to 6th month","2",70567
,"Texas","48","7th to final month","3",20989
,"Texas","48","No prenatal care","4",14824
,"Texas","48","Unknown or Not Stated","5",10220
,"Texas","48","Not Reported","100",0
,"Utah","49","1st to 3rd month","1",38548
,"Utah","49","4th to 6th month","2",5963
,"Utah","49","7th to final month","3",1467
,"Utah","49","No prenatal care","4",260
,"Utah","49","Unknown or Not Stated","5",474
,"Utah","49","Not Reported","100",0
,"Vermont","50","1st to 3rd month","1",4743
,"Vermont","50","4th to 6th month","2",464
,"Vermont","50","7th to final month","3",84
,"Vermont","50","No prenatal care","4",26
,"Vermont","50","Unknown or Not Stated","5",67
,"Vermont","50","Not Reported","100",0
,"Virginia","51","1st to 3rd month","1",75886
,"Virginia","51","4th to 6th month","2",13724
,"Virginia","51","7th to final month","3",3570
,"Virginia","51","No prenatal care","4",1287
,"Virginia","51","Unknown or Not Stated","5",1358
,"Virginia","51","Not Reported","100",0
,"Washington","53","1st to 3rd month","1",58426
,"Washington","53","4th to 6th month","2",11516
,"Washington","53","7th to final month","3",3781
,"Washington","53","No prenatal care","4",998
,"Washington","53","Unknown or Not Stated","5",9190
,"Washington","53","Not Reported","100",0
,"West Virginia","54","1st to 3rd month","1",13547
,"West Virginia","54","4th to 6th month","2",2303
,"West Virginia","54","7th to final month","3",719
,"West Virginia","54","No prenatal care","4",417
,"West Virginia","54","Unknown or Not Stated","5",212
,"West Virginia","54","Not Reported","100",0
,"Wisconsin","55","1st to 3rd month","1",50573
,"Wisconsin","55","4th to 6th month","2",7456
,"Wisconsin","55","7th to final month","3",2232
,"Wisconsin","55","No prenatal care","4",535
,"Wisconsin","55","Unknown or Not Stated","5",985
,"Wisconsin","55","Not Reported","100",0
,"Wyoming","56","1st to 3rd month","1",5003
,"Wyoming","56","4th to 6th month","2",773
,"Wyoming","56","7th to final month","3",268
,"Wyoming","56","No prenatal care","4",86
,"Wyoming","56","Unknown or Not Stated","5",107
,"Wyoming","56","Not Reported","100",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2021"
"Group By: State of Residence; Trimester Prenatal Care Began"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 1:58:30 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 1:58:30 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
