"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Delaware","10","35-39 years","35-39",1820
,"Delaware","10","40-44 years","40-44",402
,"Delaware","10","45-49 years","45-49",28
,"Delaware","10","50 years and over","50+",Suppressed
,"District of Columbia","11","Under 15 years","15",Suppressed
,"District of Columbia","11","15-19 years","15-19",240
,"District of Columbia","11","20-24 years","20-24",919
,"District of Columbia","11","25-29 years","25-29",1475
,"District of Columbia","11","30-34 years","30-34",2587
,"District of Columbia","11","35-39 years","35-39",2198
,"District of Columbia","11","40-44 years","40-44",596
,"District of Columbia","11","45-49 years","45-49",49
,"District of Columbia","11","50 years and over","50+",Suppressed
,"Florida","12","Under 15 years","15",121
,"Florida","12","15-19 years","15-19",8139
,"Florida","12","20-24 years","20-24",37159
,"Florida","12","25-29 years","25-29",61206
,"Florida","12","30-34 years","30-34",69079
,"Florida","12","35-39 years","35-39",38850
,"Florida","12","40-44 years","40-44",9207
,"Florida","12","45-49 years","45-49",608
,"Florida","12","50 years and over","50+",64
,"Georgia","13","Under 15 years","15",75
,"Georgia","13","15-19 years","15-19",6128
,"Georgia","13","20-24 years","20-24",25322
,"Georgia","13","25-29 years","25-29",36037
,"Georgia","13","30-34 years","30-34",35705
,"Georgia","13","35-39 years","35-39",18347
,"Georgia","13","40-44 years","40-44",4182
,"Georgia","13","45-49 years","45-49",302
,"Georgia","13","50 years and over","50+",32
,"Hawaii","15","Under 15 years","15",Suppressed
,"Hawaii","15","15-19 years","15-19",432
,"Hawaii","15","20-24 years","20-24",2582
,"Hawaii","15","25-29 years","25-29",4054
,"Hawaii","15","30-34 years","30-34",4592
,"Hawaii","15","35-39 years","35-39",3030
,"Hawaii","15","40-44 years","40-44",772
,"Hawaii","15","45-49 years","45-49",63
,"Hawaii","15","50 years and over","50+",Suppressed
,"Idaho","16","Under 15 years","15",Suppressed
,"Idaho","16","15-19 years","15-19",807
,"Idaho","16","20-24 years","20-24",4796
,"Idaho","16","25-29 years","25-29",7175
,"Idaho","16","30-34 years","30-34",5995
,"Idaho","16","35-39 years","35-39",2942
,"Idaho","16","40-44 years","40-44",636
,"Idaho","16","45-49 years","45-49",34
,"Idaho","16","50 years and over","50+",Suppressed
,"Illinois","17","Under 15 years","15",43
,"Illinois","17","15-19 years","15-19",4495
,"Illinois","17","20-24 years","20-24",19294
,"Illinois","17","25-29 years","25-29",33358
,"Illinois","17","30-34 years","30-34",42052
,"Illinois","17","35-39 years","35-39",23664
,"Illinois","17","40-44 years","40-44",5047
,"Illinois","17","45-49 years","45-49",349
,"Illinois","17","50 years and over","50+",48
,"Indiana","18","Under 15 years","15",50
,"Indiana","18","15-19 years","15-19",3741
,"Indiana","18","20-24 years","20-24",17371
,"Indiana","18","25-29 years","25-29",24950
,"Indiana","18","30-34 years","30-34",21919
,"Indiana","18","35-39 years","35-39",9530
,"Indiana","18","40-44 years","40-44",1964
,"Indiana","18","45-49 years","45-49",116
,"Indiana","18","50 years and over","50+",Suppressed
,"Iowa","19","Under 15 years","15",10
,"Iowa","19","15-19 years","15-19",1338
,"Iowa","19","20-24 years","20-24",6457
,"Iowa","19","25-29 years","25-29",12050
,"Iowa","19","30-34 years","30-34",11139
,"Iowa","19","35-39 years","35-39",4533
,"Iowa","19","40-44 years","40-44",925
,"Iowa","19","45-49 years","45-49",50
,"Iowa","19","50 years and over","50+",Suppressed
,"Kansas","20","Under 15 years","15",17
,"Kansas","20","15-19 years","15-19",1615
,"Kansas","20","20-24 years","20-24",6952
,"Kansas","20","25-29 years","25-29",10588
,"Kansas","20","30-34 years","30-34",9805
,"Kansas","20","35-39 years","35-39",4511
,"Kansas","20","40-44 years","40-44",860
,"Kansas","20","45-49 years","45-49",50
,"Kansas","20","50 years and over","50+",Suppressed
,"Kentucky","21","Under 15 years","15",44
,"Kentucky","21","15-19 years","15-19",3038
,"Kentucky","21","20-24 years","20-24",12827
,"Kentucky","21","25-29 years","25-29",16290
,"Kentucky","21","30-34 years","30-34",13176
,"Kentucky","21","35-39 years","35-39",5716
,"Kentucky","21","40-44 years","40-44",1155
,"Kentucky","21","45-49 years","45-49",62
,"Kentucky","21","50 years and over","50+",Suppressed
,"Louisiana","22","Under 15 years","15",59
,"Louisiana","22","15-19 years","15-19",3502
,"Louisiana","22","20-24 years","20-24",13604
,"Louisiana","22","25-29 years","25-29",16902
,"Louisiana","22","30-34 years","30-34",14320
,"Louisiana","22","35-39 years","35-39",6696
,"Louisiana","22","40-44 years","40-44",1333
,"Louisiana","22","45-49 years","45-49",59
,"Louisiana","22","50 years and over","50+",Suppressed
,"Maine","23","Under 15 years","15",Suppressed
,"Maine","23","15-19 years","15-19",319
,"Maine","23","20-24 years","20-24",1843
,"Maine","23","25-29 years","25-29",3438
,"Maine","23","30-34 years","30-34",3896
,"Maine","23","35-39 years","35-39",2159
,"Maine","23","40-44 years","40-44",408
,"Maine","23","45-49 years","45-49",24
,"Maine","23","50 years and over","50+",Suppressed
,"Maryland","24","Under 15 years","15",38
,"Maryland","24","15-19 years","15-19",2066
,"Maryland","24","20-24 years","20-24",9131
,"Maryland","24","25-29 years","25-29",16783
,"Maryland","24","30-34 years","30-34",23140
,"Maryland","24","35-39 years","35-39",14025
,"Maryland","24","40-44 years","40-44",3301
,"Maryland","24","45-49 years","45-49",251
,"Maryland","24","50 years and over","50+",47
,"Massachusetts","25","Under 15 years","15",12
,"Massachusetts","25","15-19 years","15-19",1302
,"Massachusetts","25","20-24 years","20-24",6522
,"Massachusetts","25","25-29 years","25-29",14276
,"Massachusetts","25","30-34 years","30-34",26081
,"Massachusetts","25","35-39 years","35-39",16520
,"Massachusetts","25","40-44 years","40-44",3577
,"Massachusetts","25","45-49 years","45-49",257
,"Massachusetts","25","50 years and over","50+",37
,"Michigan","26","Under 15 years","15",46
,"Michigan","26","15-19 years","15-19",3608
,"Michigan","26","20-24 years","20-24",17343
,"Michigan","26","25-29 years","25-29",30706
,"Michigan","26","30-34 years","30-34",32768
,"Michigan","26","35-39 years","35-39",14762
,"Michigan","26","40-44 years","40-44",2869
,"Michigan","26","45-49 years","45-49",200
,"Michigan","26","50 years and over","50+",19
,"Minnesota","27","Under 15 years","15",20
,"Minnesota","27","15-19 years","15-19",1496
,"Minnesota","27","20-24 years","20-24",7840
,"Minnesota","27","25-29 years","25-29",17746
,"Minnesota","27","30-34 years","30-34",22571
,"Minnesota","27","35-39 years","35-39",11860
,"Minnesota","27","40-44 years","40-44",2294
,"Minnesota","27","45-49 years","45-49",164
,"Minnesota","27","50 years and over","50+",24
,"Mississippi","28","Under 15 years","15",53
,"Mississippi","28","15-19 years","15-19",2683
,"Mississippi","28","20-24 years","20-24",9426
,"Mississippi","28","25-29 years","25-29",10708
,"Mississippi","28","30-34 years","30-34",7850
,"Mississippi","28","35-39 years","35-39",3275
,"Mississippi","28","40-44 years","40-44",647
,"Mississippi","28","45-49 years","45-49",32
,"Mississippi","28","50 years and over","50+",Suppressed
,"Missouri","29","Under 15 years","15",40
,"Missouri","29","15-19 years","15-19",3270
,"Missouri","29","20-24 years","20-24",14234
,"Missouri","29","25-29 years","25-29",21058
,"Missouri","29","30-34 years","30-34",19712
,"Missouri","29","35-39 years","35-39",8917
,"Missouri","29","40-44 years","40-44",1659
,"Missouri","29","45-49 years","45-49",91
,"Missouri","29","50 years and over","50+",Suppressed
,"Montana","30","Under 15 years","15",Suppressed
,"Montana","30","15-19 years","15-19",401
,"Montana","30","20-24 years","20-24",2046
,"Montana","30","25-29 years","25-29",3352
,"Montana","30","30-34 years","30-34",3412
,"Montana","30","35-39 years","35-39",1609
,"Montana","30","40-44 years","40-44",330
,"Montana","30","45-49 years","45-49",20
,"Montana","30","50 years and over","50+",Suppressed
,"Nebraska","31","Under 15 years","15",14
,"Nebraska","31","15-19 years","15-19",937
,"Nebraska","31","20-24 years","20-24",4131
,"Nebraska","31","25-29 years","25-29",7664
,"Nebraska","31","30-34 years","30-34",7503
,"Nebraska","31","35-39 years","35-39",3359
,"Nebraska","31","40-44 years","40-44",690
,"Nebraska","31","45-49 years","45-49",43
,"Nebraska","31","50 years and over","50+",Suppressed
,"Nevada","32","Under 15 years","15",14
,"Nevada","32","15-19 years","15-19",1304
,"Nevada","32","20-24 years","20-24",6051
,"Nevada","32","25-29 years","25-29",9670
,"Nevada","32","30-34 years","30-34",9615
,"Nevada","32","35-39 years","35-39",5275
,"Nevada","32","40-44 years","40-44",1178
,"Nevada","32","45-49 years","45-49",72
,"Nevada","32","50 years and over","50+",14
,"New Hampshire","33","Under 15 years","15",Suppressed
,"New Hampshire","33","15-19 years","15-19",183
,"New Hampshire","33","20-24 years","20-24",1286
,"New Hampshire","33","25-29 years","25-29",3178
,"New Hampshire","33","30-34 years","30-34",4660
,"New Hampshire","33","35-39 years","35-39",2320
,"New Hampshire","33","40-44 years","40-44",417
,"New Hampshire","33","45-49 years","45-49",28
,"New Hampshire","33","50 years and over","50+",Suppressed
,"New Jersey","34","Under 15 years","15",30
,"New Jersey","34","15-19 years","15-19",2288
,"New Jersey","34","20-24 years","20-24",11746
,"New Jersey","34","25-29 years","25-29",22780
,"New Jersey","34","30-34 years","30-34",36936
,"New Jersey","34","35-39 years","35-39",23408
,"New Jersey","34","40-44 years","40-44",5248
,"New Jersey","34","45-49 years","45-49",398
,"New Jersey","34","50 years and over","50+",59
,"New Mexico","35","Under 15 years","15",19
,"New Mexico","35","15-19 years","15-19",1372
,"New Mexico","35","20-24 years","20-24",5084
,"New Mexico","35","25-29 years","25-29",6336
,"New Mexico","35","30-34 years","30-34",5462
,"New Mexico","35","35-39 years","35-39",2714
,"New Mexico","35","40-44 years","40-44",579
,"New Mexico","35","45-49 years","45-49",46
,"New Mexico","35","50 years and over","50+",Suppressed
,"New York","36","Under 15 years","15",69
,"New York","36","15-19 years","15-19",5031
,"New York","36","20-24 years","20-24",28923
,"New York","36","25-29 years","25-29",49064
,"New York","36","30-34 years","30-34",67687
,"New York","36","35-39 years","35-39",44351
,"New York","36","40-44 years","40-44",11563
,"New York","36","45-49 years","45-49",939
,"New York","36","50 years and over","50+",147
,"North Carolina","37","Under 15 years","15",67
,"North Carolina","37","15-19 years","15-19",5167
,"North Carolina","37","20-24 years","20-24",23485
,"North Carolina","37","25-29 years","25-29",34632
,"North Carolina","37","30-34 years","30-34",36216
,"North Carolina","37","35-39 years","35-39",17829
,"North Carolina","37","40-44 years","40-44",3875
,"North Carolina","37","45-49 years","45-49",263
,"North Carolina","37","50 years and over","50+",28
,"North Dakota","38","Under 15 years","15",Suppressed
,"North Dakota","38","15-19 years","15-19",305
,"North Dakota","38","20-24 years","20-24",1617
,"North Dakota","38","25-29 years","25-29",3107
,"North Dakota","38","30-34 years","30-34",3070
,"North Dakota","38","35-39 years","35-39",1225
,"North Dakota","38","40-44 years","40-44",233
,"North Dakota","38","45-49 years","45-49",Suppressed
,"North Dakota","38","50 years and over","50+",Suppressed
,"Ohio","39","Under 15 years","15",70
,"Ohio","39","15-19 years","15-19",5621
,"Ohio","39","20-24 years","20-24",25297
,"Ohio","39","25-29 years","25-29",38311
,"Ohio","39","30-34 years","30-34",37988
,"Ohio","39","35-39 years","35-39",17471
,"Ohio","39","40-44 years","40-44",3265
,"Ohio","39","45-49 years","45-49",195
,"Ohio","39","50 years and over","50+",13
,"Oklahoma","40","Under 15 years","15",25
,"Oklahoma","40","15-19 years","15-19",2856
,"Oklahoma","40","20-24 years","20-24",12148
,"Oklahoma","40","25-29 years","25-29",14802
,"Oklahoma","40","30-34 years","30-34",12088
,"Oklahoma","40","35-39 years","35-39",5336
,"Oklahoma","40","40-44 years","40-44",1014
,"Oklahoma","40","45-49 years","45-49",57
,"Oklahoma","40","50 years and over","50+",Suppressed
,"Oregon","41","Under 15 years","15",10
,"Oregon","41","15-19 years","15-19",1230
,"Oregon","41","20-24 years","20-24",6341
,"Oregon","41","25-29 years","25-29",10682
,"Oregon","41","30-34 years","30-34",12262
,"Oregon","41","35-39 years","35-39",7222
,"Oregon","41","40-44 years","40-44",1625
,"Oregon","41","45-49 years","45-49",115
,"Oregon","41","50 years and over","50+",Suppressed
,"Pennsylvania","42","Under 15 years","15",53
,"Pennsylvania","42","15-19 years","15-19",4352
,"Pennsylvania","42","20-24 years","20-24",19807
,"Pennsylvania","42","25-29 years","25-29",35564
,"Pennsylvania","42","30-34 years","30-34",43467
,"Pennsylvania","42","35-39 years","35-39",22325
,"Pennsylvania","42","40-44 years","40-44",4367
,"Pennsylvania","42","45-49 years","45-49",265
,"Pennsylvania","42","50 years and over","50+",52
,"Rhode Island","44","Under 15 years","15",Suppressed
,"Rhode Island","44","15-19 years","15-19",300
,"Rhode Island","44","20-24 years","20-24",1326
,"Rhode Island","44","25-29 years","25-29",2613
,"Rhode Island","44","30-34 years","30-34",3599
,"Rhode Island","44","35-39 years","35-39",1947
,"Rhode Island","44","40-44 years","40-44",450
,"Rhode Island","44","45-49 years","45-49",28
,"Rhode Island","44","50 years and over","50+",Suppressed
,"South Carolina","45","Under 15 years","15",44
,"South Carolina","45","15-19 years","15-19",2875
,"South Carolina","45","20-24 years","20-24",11712
,"South Carolina","45","25-29 years","25-29",17087
,"South Carolina","45","30-34 years","30-34",16496
,"South Carolina","45","35-39 years","35-39",7838
,"South Carolina","45","40-44 years","40-44",1658
,"South Carolina","45","45-49 years","45-49",105
,"South Carolina","45","50 years and over","50+",Suppressed
,"South Dakota","46","Under 15 years","15",Suppressed
,"South Dakota","46","15-19 years","15-19",512
,"South Dakota","46","20-24 years","20-24",2061
,"South Dakota","46","25-29 years","25-29",3658
,"South Dakota","46","30-34 years","30-34",3267
,"South Dakota","46","35-39 years","35-39",1436
,"South Dakota","46","40-44 years","40-44",248
,"South Dakota","46","45-49 years","45-49",11
,"South Dakota","46","50 years and over","50+",Suppressed
,"Tennessee","47","Under 15 years","15",70
,"Tennessee","47","15-19 years","15-19",4502
,"Tennessee","47","20-24 years","20-24",18166
,"Tennessee","47","25-29 years","25-29",24854
,"Tennessee","47","30-34 years","30-34",22198
,"Tennessee","47","35-39 years","35-39",10270
,"Tennessee","47","40-44 years","40-44",2065
,"Tennessee","47","45-49 years","45-49",121
,"Tennessee","47","50 years and over","50+",19
,"Texas","48","Under 15 years","15",267
,"Texas","48","15-19 years","15-19",21337
,"Texas","48","20-24 years","20-24",79842
,"Texas","48","25-29 years","25-29",112268
,"Texas","48","30-34 years","30-34",107770
,"Texas","48","35-39 years","35-39",55532
,"Texas","48","40-44 years","40-44",11897
,"Texas","48","45-49 years","45-49",742
,"Texas","48","50 years and over","50+",86
,"Utah","49","Under 15 years","15",Suppressed
,"Utah","49","15-19 years","15-19",1203
,"Utah","49","20-24 years","20-24",8732
,"Utah","49","25-29 years","25-29",16116
,"Utah","49","30-34 years","30-34",12684
,"Utah","49","35-39 years","35-39",5676
,"Utah","49","40-44 years","40-44",1267
,"Utah","49","45-49 years","45-49",72
,"Utah","49","50 years and over","50+",Suppressed
,"Vermont","50","Under 15 years","15",Suppressed
,"Vermont","50","15-19 years","15-19",116
,"Vermont","50","20-24 years","20-24",703
,"Vermont","50","25-29 years","25-29",1284
,"Vermont","50","30-34 years","30-34",1835
,"Vermont","50","35-39 years","35-39",1145
,"Vermont","50","40-44 years","40-44",215
,"Vermont","50","45-49 years","45-49",13
,"Vermont","50","50 years and over","50+",Suppressed
,"Virginia","51","Under 15 years","15",47
,"Virginia","51","15-19 years","15-19",3045
,"Virginia","51","20-24 years","20-24",14702
,"Virginia","51","25-29 years","25-29",25466
,"Virginia","51","30-34 years","30-34",30487
,"Virginia","51","35-39 years","35-39",17675
,"Virginia","51","40-44 years","40-44",3879
,"Virginia","51","45-49 years","45-49",288
,"Virginia","51","50 years and over","50+",41
,"Washington","53","Under 15 years","15",25
,"Washington","53","15-19 years","15-19",2144
,"Washington","53","20-24 years","20-24",12228
,"Washington","53","25-29 years","25-29",22009
,"Washington","53","30-34 years","30-34",27205
,"Washington","53","35-39 years","35-39",15995
,"Washington","53","40-44 years","40-44",3435
,"Washington","53","45-49 years","45-49",253
,"Washington","53","50 years and over","50+",39
,"West Virginia","54","Under 15 years","15",10
,"West Virginia","54","15-19 years","15-19",1024
,"West Virginia","54","20-24 years","20-24",4538
,"West Virginia","54","25-29 years","25-29",5360
,"West Virginia","54","30-34 years","30-34",3950
,"West Virginia","54","35-39 years","35-39",1682
,"West Virginia","54","40-44 years","40-44",332
,"West Virginia","54","45-49 years","45-49",23
,"West Virginia","54","50 years and over","50+",10
,"Wisconsin","55","Under 15 years","15",19
,"Wisconsin","55","15-19 years","15-19",1832
,"Wisconsin","55","20-24 years","20-24",8968
,"Wisconsin","55","25-29 years","25-29",17761
,"Wisconsin","55","30-34 years","30-34",20445
,"Wisconsin","55","35-39 years","35-39",9173
,"Wisconsin","55","40-44 years","40-44",1750
,"Wisconsin","55","45-49 years","45-49",96
,"Wisconsin","55","50 years and over","50+",Suppressed
,"Wyoming","56","Under 15 years","15",Suppressed
,"Wyoming","56","15-19 years","15-19",300
,"Wyoming","56","20-24 years","20-24",1327
,"Wyoming","56","25-29 years","25-29",1878
,"Wyoming","56","30-34 years","30-34",1633
,"Wyoming","56","35-39 years","35-39",769
,"Wyoming","56","40-44 years","40-44",133
,"Wyoming","56","45-49 years","45-49",Suppressed
,"Wyoming","56","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2022"
"Group By: State of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:41:39 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:41:39 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
