"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Nevada","32","7th to final month","3",1020
,"Nevada","32","No prenatal care","4",1637
,"Nevada","32","Unknown or Not Stated","5",666
,"Nevada","32","Not Reported","100",0
,"New Hampshire","33","1st to 3rd month","1",10247
,"New Hampshire","33","4th to 6th month","2",1202
,"New Hampshire","33","7th to final month","3",338
,"New Hampshire","33","No prenatal care","4",85
,"New Hampshire","33","Unknown or Not Stated","5",205
,"New Hampshire","33","Not Reported","100",0
,"New Jersey","34","1st to 3rd month","1",77384
,"New Jersey","34","4th to 6th month","2",18243
,"New Jersey","34","7th to final month","3",4615
,"New Jersey","34","No prenatal care","4",1770
,"New Jersey","34","Unknown or Not Stated","5",881
,"New Jersey","34","Not Reported","100",0
,"New Mexico","35","1st to 3rd month","1",14321
,"New Mexico","35","4th to 6th month","2",4096
,"New Mexico","35","7th to final month","3",1662
,"New Mexico","35","No prenatal care","4",735
,"New Mexico","35","Unknown or Not Stated","5",800
,"New Mexico","35","Not Reported","100",0
,"New York","36","1st to 3rd month","1",160888
,"New York","36","4th to 6th month","2",29846
,"New York","36","7th to final month","3",9295
,"New York","36","No prenatal care","4",2312
,"New York","36","Unknown or Not Stated","5",5433
,"New York","36","Not Reported","100",0
,"North Carolina","37","1st to 3rd month","1",87421
,"North Carolina","37","4th to 6th month","2",21852
,"North Carolina","37","7th to final month","3",5988
,"North Carolina","37","No prenatal care","4",5523
,"North Carolina","37","Unknown or Not Stated","5",778
,"North Carolina","37","Not Reported","100",0
,"North Dakota","38","1st to 3rd month","1",7603
,"North Dakota","38","4th to 6th month","2",1206
,"North Dakota","38","7th to final month","3",447
,"North Dakota","38","No prenatal care","4",138
,"North Dakota","38","Unknown or Not Stated","5",173
,"North Dakota","38","Not Reported","100",0
,"Ohio","39","1st to 3rd month","1",98904
,"Ohio","39","4th to 6th month","2",20817
,"Ohio","39","7th to final month","3",5377
,"Ohio","39","No prenatal care","4",2125
,"Ohio","39","Unknown or Not Stated","5",1008
,"Ohio","39","Not Reported","100",0
,"Oklahoma","40","1st to 3rd month","1",36732
,"Oklahoma","40","4th to 6th month","2",7879
,"Oklahoma","40","7th to final month","3",2049
,"Oklahoma","40","No prenatal care","4",1094
,"Oklahoma","40","Unknown or Not Stated","5",578
,"Oklahoma","40","Not Reported","100",0
,"Oregon","41","1st to 3rd month","1",31972
,"Oregon","41","4th to 6th month","2",5194
,"Oregon","41","7th to final month","3",1421
,"Oregon","41","No prenatal care","4",468
,"Oregon","41","Unknown or Not Stated","5",438
,"Oregon","41","Not Reported","100",0
,"Pennsylvania","42","1st to 3rd month","1",98079
,"Pennsylvania","42","4th to 6th month","2",20151
,"Pennsylvania","42","7th to final month","3",6022
,"Pennsylvania","42","No prenatal care","4",2658
,"Pennsylvania","42","Unknown or Not Stated","5",3342
,"Pennsylvania","42","Not Reported","100",0
,"Rhode Island","44","1st to 3rd month","1",8566
,"Rhode Island","44","4th to 6th month","2",1411
,"Rhode Island","44","7th to final month","3",152
,"Rhode Island","44","No prenatal care","4",59
,"Rhode Island","44","Unknown or Not Stated","5",81
,"Rhode Island","44","Not Reported","100",0
,"South Carolina","45","1st to 3rd month","1",43024
,"South Carolina","45","4th to 6th month","2",10346
,"South Carolina","45","7th to final month","3",3202
,"South Carolina","45","No prenatal care","4",1143
,"South Carolina","45","Unknown or Not Stated","5",105
,"South Carolina","45","Not Reported","100",0
,"South Dakota","46","1st to 3rd month","1",8616
,"South Dakota","46","4th to 6th month","2",1731
,"South Dakota","46","7th to final month","3",542
,"South Dakota","46","No prenatal care","4",213
,"South Dakota","46","Unknown or Not Stated","5",99
,"South Dakota","46","Not Reported","100",0
,"Tennessee","47","1st to 3rd month","1",58225
,"Tennessee","47","4th to 6th month","2",14978
,"Tennessee","47","7th to final month","3",4161
,"Tennessee","47","No prenatal care","4",1686
,"Tennessee","47","Unknown or Not Stated","5",3215
,"Tennessee","47","Not Reported","100",0
,"Texas","48","1st to 3rd month","1",257243
,"Texas","48","4th to 6th month","2",76912
,"Texas","48","7th to final month","3",24530
,"Texas","48","No prenatal care","4",15352
,"Texas","48","Unknown or Not Stated","5",15704
,"Texas","48","Not Reported","100",0
,"Utah","49","1st to 3rd month","1",36299
,"Utah","49","4th to 6th month","2",6540
,"Utah","49","7th to final month","3",1960
,"Utah","49","No prenatal care","4",263
,"Utah","49","Unknown or Not Stated","5",706
,"Utah","49","Not Reported","100",0
,"Vermont","50","1st to 3rd month","1",4552
,"Vermont","50","4th to 6th month","2",527
,"Vermont","50","7th to final month","3",114
,"Vermont","50","No prenatal care","4",39
,"Vermont","50","Unknown or Not Stated","5",84
,"Vermont","50","Not Reported","100",0
,"Virginia","51","1st to 3rd month","1",73840
,"Virginia","51","4th to 6th month","2",13604
,"Virginia","51","7th to final month","3",3428
,"Virginia","51","No prenatal care","4",1835
,"Virginia","51","Unknown or Not Stated","5",2923
,"Virginia","51","Not Reported","100",0
,"Washington","53","1st to 3rd month","1",57897
,"Washington","53","4th to 6th month","2",12859
,"Washington","53","7th to final month","3",4250
,"Washington","53","No prenatal care","4",1059
,"Washington","53","Unknown or Not Stated","5",7268
,"Washington","53","Not Reported","100",0
,"West Virginia","54","1st to 3rd month","1",13622
,"West Virginia","54","4th to 6th month","2",2165
,"West Virginia","54","7th to final month","3",657
,"West Virginia","54","No prenatal care","4",330
,"West Virginia","54","Unknown or Not Stated","5",155
,"West Virginia","54","Not Reported","100",0
,"Wisconsin","55","1st to 3rd month","1",49371
,"Wisconsin","55","4th to 6th month","2",7443
,"Wisconsin","55","7th to final month","3",1873
,"Wisconsin","55","No prenatal care","4",505
,"Wisconsin","55","Unknown or Not Stated","5",857
,"Wisconsin","55","Not Reported","100",0
,"Wyoming","56","1st to 3rd month","1",4699
,"Wyoming","56","4th to 6th month","2",871
,"Wyoming","56","7th to final month","3",258
,"Wyoming","56","No prenatal care","4",104
,"Wyoming","56","Unknown or Not Stated","5",117
,"Wyoming","56","Not Reported","100",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2022"
"Group By: State of Residence; Trimester Prenatal Care Began"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 2:15:39 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 2:15:39 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
