"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Georgia","13","7th to final month","3",6080
,"Georgia","13","No prenatal care","4",8237
,"Georgia","13","Unknown or Not Stated","5",1003
,"Georgia","13","Not Reported","100",0
,"Hawaii","15","1st to 3rd month","1",9218
,"Hawaii","15","4th to 6th month","2",2907
,"Hawaii","15","7th to final month","3",1100
,"Hawaii","15","No prenatal care","4",686
,"Hawaii","15","Unknown or Not Stated","5",1006
,"Hawaii","15","Not Reported","100",0
,"Idaho","16","1st to 3rd month","1",18805
,"Idaho","16","4th to 6th month","2",3404
,"Idaho","16","7th to final month","3",739
,"Idaho","16","No prenatal care","4",166
,"Idaho","16","Unknown or Not Stated","5",162
,"Idaho","16","Not Reported","100",0
,"Illinois","17","1st to 3rd month","1",94505
,"Illinois","17","4th to 6th month","2",21326
,"Illinois","17","7th to final month","3",5809
,"Illinois","17","No prenatal care","4",2159
,"Illinois","17","Unknown or Not Stated","5",1932
,"Illinois","17","Not Reported","100",0
,"Indiana","18","1st to 3rd month","1",59357
,"Indiana","18","4th to 6th month","2",15298
,"Indiana","18","7th to final month","3",3758
,"Indiana","18","No prenatal care","4",1622
,"Indiana","18","Unknown or Not Stated","5",222
,"Indiana","18","Not Reported","100",0
,"Iowa","19","1st to 3rd month","1",29130
,"Iowa","19","4th to 6th month","2",5510
,"Iowa","19","7th to final month","3",1278
,"Iowa","19","No prenatal care","4",463
,"Iowa","19","Unknown or Not Stated","5",55
,"Iowa","19","Not Reported","100",0
,"Kansas","20","1st to 3rd month","1",28109
,"Kansas","20","4th to 6th month","2",4347
,"Kansas","20","7th to final month","3",1006
,"Kansas","20","No prenatal care","4",410
,"Kansas","20","Unknown or Not Stated","5",112
,"Kansas","20","Not Reported","100",0
,"Kentucky","21","1st to 3rd month","1",40850
,"Kentucky","21","4th to 6th month","2",8263
,"Kentucky","21","7th to final month","3",2354
,"Kentucky","21","No prenatal care","4",1232
,"Kentucky","21","Unknown or Not Stated","5",214
,"Kentucky","21","Not Reported","100",0
,"Louisiana","22","1st to 3rd month","1",37359
,"Louisiana","22","4th to 6th month","2",10736
,"Louisiana","22","7th to final month","3",3054
,"Louisiana","22","No prenatal care","4",1316
,"Louisiana","22","Unknown or Not Stated","5",840
,"Louisiana","22","Not Reported","100",0
,"Maine","23","1st to 3rd month","1",9531
,"Maine","23","4th to 6th month","2",1471
,"Maine","23","7th to final month","3",391
,"Maine","23","No prenatal care","4",99
,"Maine","23","Unknown or Not Stated","5",109
,"Maine","23","Not Reported","100",0
,"Maryland","24","1st to 3rd month","1",47398
,"Maryland","24","4th to 6th month","2",11891
,"Maryland","24","7th to final month","3",2961
,"Maryland","24","No prenatal care","4",1140
,"Maryland","24","Unknown or Not Stated","5",2407
,"Maryland","24","Not Reported","100",0
,"Massachusetts","25","1st to 3rd month","1",54449
,"Massachusetts","25","4th to 6th month","2",9173
,"Massachusetts","25","7th to final month","3",2928
,"Massachusetts","25","No prenatal care","4",826
,"Massachusetts","25","Unknown or Not Stated","5",808
,"Massachusetts","25","Not Reported","100",0
,"Michigan","26","1st to 3rd month","1",76176
,"Michigan","26","4th to 6th month","2",15290
,"Michigan","26","7th to final month","3",4306
,"Michigan","26","No prenatal care","4",2048
,"Michigan","26","Unknown or Not Stated","5",1705
,"Michigan","26","Not Reported","100",0
,"Minnesota","27","1st to 3rd month","1",50969
,"Minnesota","27","4th to 6th month","2",8196
,"Minnesota","27","7th to final month","3",1926
,"Minnesota","27","No prenatal care","4",510
,"Minnesota","27","Unknown or Not Stated","5",509
,"Minnesota","27","Not Reported","100",0
,"Mississippi","28","1st to 3rd month","1",25061
,"Mississippi","28","4th to 6th month","2",5887
,"Mississippi","28","7th to final month","3",1391
,"Mississippi","28","No prenatal care","4",504
,"Mississippi","28","Unknown or Not Stated","5",630
,"Mississippi","28","Not Reported","100",0
,"Missouri","29","1st to 3rd month","1",50784
,"Missouri","29","4th to 6th month","2",12010
,"Missouri","29","7th to final month","3",2832
,"Missouri","29","No prenatal care","4",1529
,"Missouri","29","Unknown or Not Stated","5",843
,"Missouri","29","Not Reported","100",0
,"Montana","30","1st to 3rd month","1",8974
,"Montana","30","4th to 6th month","2",1700
,"Montana","30","7th to final month","3",476
,"Montana","30","No prenatal care","4",165
,"Montana","30","Unknown or Not Stated","5",16
,"Montana","30","Not Reported","100",0
,"Nebraska","31","1st to 3rd month","1",19443
,"Nebraska","31","4th to 6th month","2",3879
,"Nebraska","31","7th to final month","3",889
,"Nebraska","31","No prenatal care","4",315
,"Nebraska","31","Unknown or Not Stated","5",259
,"Nebraska","31","Not Reported","100",0
,"Nevada","32","1st to 3rd month","1",24255
,"Nevada","32","4th to 6th month","2",4719
,"Nevada","32","7th to final month","3",1052
,"Nevada","32","No prenatal care","4",1574
,"Nevada","32","Unknown or Not Stated","5",781
,"Nevada","32","Not Reported","100",0
,"New Hampshire","33","1st to 3rd month","1",10290
,"New Hampshire","33","4th to 6th month","2",1060
,"New Hampshire","33","7th to final month","3",293
,"New Hampshire","33","No prenatal care","4",84
,"New Hampshire","33","Unknown or Not Stated","5",43
,"New Hampshire","33","Not Reported","100",0
,"New Jersey","34","1st to 3rd month","1",75423
,"New Jersey","34","4th to 6th month","2",18578
,"New Jersey","34","7th to final month","3",4808
,"New Jersey","34","No prenatal care","4",1984
,"New Jersey","34","Unknown or Not Stated","5",579
,"New Jersey","34","Not Reported","100",0
,"New Mexico","35","1st to 3rd month","1",14069
,"New Mexico","35","4th to 6th month","2",4030
,"New Mexico","35","7th to final month","3",1525
,"New Mexico","35","No prenatal care","4",877
,"New Mexico","35","Unknown or Not Stated","5",827
,"New Mexico","35","Not Reported","100",0
,"New York","36","1st to 3rd month","1",156236
,"New York","36","4th to 6th month","2",31518
,"New York","36","7th to final month","3",9963
,"New York","36","No prenatal care","4",2595
,"New York","36","Unknown or Not Stated","5",5177
,"New York","36","Not Reported","100",0
,"North Carolina","37","1st to 3rd month","1",88399
,"North Carolina","37","4th to 6th month","2",22355
,"North Carolina","37","7th to final month","3",6087
,"North Carolina","37","No prenatal care","4",5467
,"North Carolina","37","Unknown or Not Stated","5",548
,"North Carolina","37","Not Reported","100",0
,"North Dakota","38","1st to 3rd month","1",7521
,"North Dakota","38","4th to 6th month","2",1319
,"North Dakota","38","7th to final month","3",466
,"North Dakota","38","No prenatal care","4",158
,"North Dakota","38","Unknown or Not Stated","5",170
,"North Dakota","38","Not Reported","100",0
,"Ohio","39","1st to 3rd month","1",96852
,"Ohio","39","4th to 6th month","2",21638
,"Ohio","39","7th to final month","3",5337
,"Ohio","39","No prenatal care","4",2063
,"Ohio","39","Unknown or Not Stated","5",905
,"Ohio","39","Not Reported","100",0
,"Oklahoma","40","1st to 3rd month","1",35987
,"Oklahoma","40","4th to 6th month","2",8266
,"Oklahoma","40","7th to final month","3",2009
,"Oklahoma","40","No prenatal care","4",829
,"Oklahoma","40","Unknown or Not Stated","5",871
,"Oklahoma","40","Not Reported","100",0
,"Oregon","41","1st to 3rd month","1",31682
,"Oregon","41","4th to 6th month","2",5233
,"Oregon","41","7th to final month","3",1296
,"Oregon","41","No prenatal care","4",409
,"Oregon","41","Unknown or Not Stated","5",343
,"Oregon","41","Not Reported","100",0
,"Pennsylvania","42","1st to 3rd month","1",95904
,"Pennsylvania","42","4th to 6th month","2",20119
,"Pennsylvania","42","7th to final month","3",6302
,"Pennsylvania","42","No prenatal care","4",2447
,"Pennsylvania","42","Unknown or Not Stated","5",2527
,"Pennsylvania","42","Not Reported","100",0
,"Rhode Island","44","1st to 3rd month","1",8490
,"Rhode Island","44","4th to 6th month","2",1259
,"Rhode Island","44","7th to final month","3",130
,"Rhode Island","44","No prenatal care","4",77
,"Rhode Island","44","Unknown or Not Stated","5",53
,"Rhode Island","44","Not Reported","100",0
,"South Carolina","45","1st to 3rd month","1",43671
,"South Carolina","45","4th to 6th month","2",10758
,"South Carolina","45","7th to final month","3",2935
,"South Carolina","45","No prenatal care","4",1273
,"South Carolina","45","Unknown or Not Stated","5",131
,"South Carolina","45","Not Reported","100",0
,"South Dakota","46","1st to 3rd month","1",8668
,"South Dakota","46","4th to 6th month","2",1825
,"South Dakota","46","7th to final month","3",608
,"South Dakota","46","No prenatal care","4",273
,"South Dakota","46","Unknown or Not Stated","5",77
,"South Dakota","46","Not Reported","100",0
,"Tennessee","47","1st to 3rd month","1",60775
,"Tennessee","47","4th to 6th month","2",16019
,"Tennessee","47","7th to final month","3",4054
,"Tennessee","47","No prenatal care","4",2221
,"Tennessee","47","Unknown or Not Stated","5",764
,"Tennessee","47","Not Reported","100",0
,"Texas","48","1st to 3rd month","1",252455
,"Texas","48","4th to 6th month","2",84147
,"Texas","48","7th to final month","3",26844
,"Texas","48","No prenatal care","4",15938
,"Texas","48","Unknown or Not Stated","5",11444
,"Texas","48","Not Reported","100",0
,"Utah","49","1st to 3rd month","1",35852
,"Utah","49","4th to 6th month","2",7236
,"Utah","49","7th to final month","3",2089
,"Utah","49","No prenatal care","4",492
,"Utah","49","Unknown or Not Stated","5",995
,"Utah","49","Not Reported","100",0
,"Vermont","50","1st to 3rd month","1",4396
,"Vermont","50","4th to 6th month","2",473
,"Vermont","50","7th to final month","3",102
,"Vermont","50","No prenatal care","4",38
,"Vermont","50","Unknown or Not Stated","5",14
,"Vermont","50","Not Reported","100",0
,"Virginia","51","1st to 3rd month","1",72497
,"Virginia","51","4th to 6th month","2",14387
,"Virginia","51","7th to final month","3",3341
,"Virginia","51","No prenatal care","4",2460
,"Virginia","51","Unknown or Not Stated","5",1369
,"Virginia","51","Not Reported","100",0
,"Washington","53","1st to 3rd month","1",57866
,"Washington","53","4th to 6th month","2",14093
,"Washington","53","7th to final month","3",4240
,"Washington","53","No prenatal care","4",1082
,"Washington","53","Unknown or Not Stated","5",5837
,"Washington","53","Not Reported","100",0
,"West Virginia","54","1st to 3rd month","1",13464
,"West Virginia","54","4th to 6th month","2",2346
,"West Virginia","54","7th to final month","3",701
,"West Virginia","54","No prenatal care","4",323
,"West Virginia","54","Unknown or Not Stated","5",188
,"West Virginia","54","Not Reported","100",0
,"Wisconsin","55","1st to 3rd month","1",48286
,"Wisconsin","55","4th to 6th month","2",7781
,"Wisconsin","55","7th to final month","3",1890
,"Wisconsin","55","No prenatal care","4",599
,"Wisconsin","55","Unknown or Not Stated","5",1130
,"Wisconsin","55","Not Reported","100",0
,"Wyoming","56","1st to 3rd month","1",4778
,"Wyoming","56","4th to 6th month","2",797
,"Wyoming","56","7th to final month","3",296
,"Wyoming","56","No prenatal care","4",77
,"Wyoming","56","Unknown or Not Stated","5",141
,"Wyoming","56","Not Reported","100",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2024"
"Group By: State of Residence; Trimester Prenatal Care Began"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 2:50:45 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 2:50:45 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
