"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Delaware","10","25-29 years","25-29",2842
,"Delaware","10","30-34 years","30-34",3278
,"Delaware","10","35-39 years","35-39",1820
,"Delaware","10","40-44 years","40-44",456
,"Delaware","10","45-49 years","45-49",25
,"Delaware","10","50 years and over","50+",Suppressed
,"District of Columbia","11","Under 15 years","15",Suppressed
,"District of Columbia","11","15-19 years","15-19",250
,"District of Columbia","11","20-24 years","20-24",845
,"District of Columbia","11","25-29 years","25-29",1263
,"District of Columbia","11","30-34 years","30-34",2448
,"District of Columbia","11","35-39 years","35-39",2163
,"District of Columbia","11","40-44 years","40-44",589
,"District of Columbia","11","45-49 years","45-49",46
,"District of Columbia","11","50 years and over","50+",Suppressed
,"Florida","12","Under 15 years","15",105
,"Florida","12","15-19 years","15-19",7822
,"Florida","12","20-24 years","20-24",35280
,"Florida","12","25-29 years","25-29",60600
,"Florida","12","30-34 years","30-34",69073
,"Florida","12","35-39 years","35-39",40700
,"Florida","12","40-44 years","40-44",10054
,"Florida","12","45-49 years","45-49",688
,"Florida","12","50 years and over","50+",67
,"Georgia","13","Under 15 years","15",78
,"Georgia","13","15-19 years","15-19",6100
,"Georgia","13","20-24 years","20-24",24576
,"Georgia","13","25-29 years","25-29",35775
,"Georgia","13","30-34 years","30-34",36138
,"Georgia","13","35-39 years","35-39",18916
,"Georgia","13","40-44 years","40-44",4510
,"Georgia","13","45-49 years","45-49",306
,"Georgia","13","50 years and over","50+",38
,"Hawaii","15","Under 15 years","15",Suppressed
,"Hawaii","15","15-19 years","15-19",416
,"Hawaii","15","20-24 years","20-24",2398
,"Hawaii","15","25-29 years","25-29",3961
,"Hawaii","15","30-34 years","30-34",4357
,"Hawaii","15","35-39 years","35-39",2899
,"Hawaii","15","40-44 years","40-44",800
,"Hawaii","15","45-49 years","45-49",74
,"Hawaii","15","50 years and over","50+",Suppressed
,"Idaho","16","Under 15 years","15",Suppressed
,"Idaho","16","15-19 years","15-19",767
,"Idaho","16","20-24 years","20-24",4903
,"Idaho","16","25-29 years","25-29",7492
,"Idaho","16","30-34 years","30-34",6361
,"Idaho","16","35-39 years","35-39",3003
,"Idaho","16","40-44 years","40-44",698
,"Idaho","16","45-49 years","45-49",41
,"Idaho","16","50 years and over","50+",Suppressed
,"Illinois","17","Under 15 years","15",54
,"Illinois","17","15-19 years","15-19",4228
,"Illinois","17","20-24 years","20-24",18654
,"Illinois","17","25-29 years","25-29",32327
,"Illinois","17","30-34 years","30-34",41209
,"Illinois","17","35-39 years","35-39",23703
,"Illinois","17","40-44 years","40-44",5179
,"Illinois","17","45-49 years","45-49",347
,"Illinois","17","50 years and over","50+",30
,"Indiana","18","Under 15 years","15",43
,"Indiana","18","15-19 years","15-19",3468
,"Indiana","18","20-24 years","20-24",16555
,"Indiana","18","25-29 years","25-29",25202
,"Indiana","18","30-34 years","30-34",22411
,"Indiana","18","35-39 years","35-39",10276
,"Indiana","18","40-44 years","40-44",2154
,"Indiana","18","45-49 years","45-49",135
,"Indiana","18","50 years and over","50+",13
,"Iowa","19","Under 15 years","15",18
,"Iowa","19","15-19 years","15-19",1359
,"Iowa","19","20-24 years","20-24",6332
,"Iowa","19","25-29 years","25-29",11966
,"Iowa","19","30-34 years","30-34",11048
,"Iowa","19","35-39 years","35-39",4693
,"Iowa","19","40-44 years","40-44",957
,"Iowa","19","45-49 years","45-49",61
,"Iowa","19","50 years and over","50+",Suppressed
,"Kansas","20","Under 15 years","15",22
,"Kansas","20","15-19 years","15-19",1515
,"Kansas","20","20-24 years","20-24",6962
,"Kansas","20","25-29 years","25-29",10419
,"Kansas","20","30-34 years","30-34",9574
,"Kansas","20","35-39 years","35-39",4532
,"Kansas","20","40-44 years","40-44",904
,"Kansas","20","45-49 years","45-49",50
,"Kansas","20","50 years and over","50+",Suppressed
,"Kentucky","21","Under 15 years","15",33
,"Kentucky","21","15-19 years","15-19",2975
,"Kentucky","21","20-24 years","20-24",12495
,"Kentucky","21","25-29 years","25-29",16375
,"Kentucky","21","30-34 years","30-34",13568
,"Kentucky","21","35-39 years","35-39",6159
,"Kentucky","21","40-44 years","40-44",1236
,"Kentucky","21","45-49 years","45-49",65
,"Kentucky","21","50 years and over","50+",Suppressed
,"Louisiana","22","Under 15 years","15",56
,"Louisiana","22","15-19 years","15-19",3244
,"Louisiana","22","20-24 years","20-24",12433
,"Louisiana","22","25-29 years","25-29",15897
,"Louisiana","22","30-34 years","30-34",13536
,"Louisiana","22","35-39 years","35-39",6674
,"Louisiana","22","40-44 years","40-44",1409
,"Louisiana","22","45-49 years","45-49",52
,"Louisiana","22","50 years and over","50+",Suppressed
,"Maine","23","Under 15 years","15",Suppressed
,"Maine","23","15-19 years","15-19",310
,"Maine","23","20-24 years","20-24",1641
,"Maine","23","25-29 years","25-29",3267
,"Maine","23","30-34 years","30-34",3814
,"Maine","23","35-39 years","35-39",2092
,"Maine","23","40-44 years","40-44",447
,"Maine","23","45-49 years","45-49",24
,"Maine","23","50 years and over","50+",Suppressed
,"Maryland","24","Under 15 years","15",42
,"Maryland","24","15-19 years","15-19",2045
,"Maryland","24","20-24 years","20-24",8516
,"Maryland","24","25-29 years","25-29",15624
,"Maryland","24","30-34 years","30-34",21785
,"Maryland","24","35-39 years","35-39",14000
,"Maryland","24","40-44 years","40-44",3441
,"Maryland","24","45-49 years","45-49",284
,"Maryland","24","50 years and over","50+",60
,"Massachusetts","25","Under 15 years","15",12
,"Massachusetts","25","15-19 years","15-19",1247
,"Massachusetts","25","20-24 years","20-24",6238
,"Massachusetts","25","25-29 years","25-29",13974
,"Massachusetts","25","30-34 years","30-34",25571
,"Massachusetts","25","35-39 years","35-39",17185
,"Massachusetts","25","40-44 years","40-44",3669
,"Massachusetts","25","45-49 years","45-49",252
,"Massachusetts","25","50 years and over","50+",36
,"Michigan","26","Under 15 years","15",43
,"Michigan","26","15-19 years","15-19",3255
,"Michigan","26","20-24 years","20-24",16038
,"Michigan","26","25-29 years","25-29",29281
,"Michigan","26","30-34 years","30-34",32341
,"Michigan","26","35-39 years","35-39",15402
,"Michigan","26","40-44 years","40-44",2989
,"Michigan","26","45-49 years","45-49",159
,"Michigan","26","50 years and over","50+",17
,"Minnesota","27","Under 15 years","15",21
,"Minnesota","27","15-19 years","15-19",1395
,"Minnesota","27","20-24 years","20-24",7717
,"Minnesota","27","25-29 years","25-29",17129
,"Minnesota","27","30-34 years","30-34",21701
,"Minnesota","27","35-39 years","35-39",11532
,"Minnesota","27","40-44 years","40-44",2430
,"Minnesota","27","45-49 years","45-49",161
,"Minnesota","27","50 years and over","50+",24
,"Mississippi","28","Under 15 years","15",41
,"Mississippi","28","15-19 years","15-19",2388
,"Mississippi","28","20-24 years","20-24",8644
,"Mississippi","28","25-29 years","25-29",10439
,"Mississippi","28","30-34 years","30-34",7890
,"Mississippi","28","35-39 years","35-39",3358
,"Mississippi","28","40-44 years","40-44",674
,"Mississippi","28","45-49 years","45-49",38
,"Mississippi","28","50 years and over","50+",Suppressed
,"Missouri","29","Under 15 years","15",40
,"Missouri","29","15-19 years","15-19",3168
,"Missouri","29","20-24 years","20-24",13623
,"Missouri","29","25-29 years","25-29",20649
,"Missouri","29","30-34 years","30-34",19702
,"Missouri","29","35-39 years","35-39",8936
,"Missouri","29","40-44 years","40-44",1764
,"Missouri","29","45-49 years","45-49",111
,"Missouri","29","50 years and over","50+",Suppressed
,"Montana","30","Under 15 years","15",Suppressed
,"Montana","30","15-19 years","15-19",373
,"Montana","30","20-24 years","20-24",1950
,"Montana","30","25-29 years","25-29",3512
,"Montana","30","30-34 years","30-34",3333
,"Montana","30","35-39 years","35-39",1800
,"Montana","30","40-44 years","40-44",336
,"Montana","30","45-49 years","45-49",19
,"Montana","30","50 years and over","50+",Suppressed
,"Nebraska","31","Under 15 years","15",12
,"Nebraska","31","15-19 years","15-19",970
,"Nebraska","31","20-24 years","20-24",4170
,"Nebraska","31","25-29 years","25-29",7762
,"Nebraska","31","30-34 years","30-34",7530
,"Nebraska","31","35-39 years","35-39",3553
,"Nebraska","31","40-44 years","40-44",747
,"Nebraska","31","45-49 years","45-49",41
,"Nebraska","31","50 years and over","50+",0
,"Nevada","32","Under 15 years","15",10
,"Nevada","32","15-19 years","15-19",1211
,"Nevada","32","20-24 years","20-24",5538
,"Nevada","32","25-29 years","25-29",9166
,"Nevada","32","30-34 years","30-34",9661
,"Nevada","32","35-39 years","35-39",5424
,"Nevada","32","40-44 years","40-44",1293
,"Nevada","32","45-49 years","45-49",72
,"Nevada","32","50 years and over","50+",Suppressed
,"New Hampshire","33","Under 15 years","15",Suppressed
,"New Hampshire","33","15-19 years","15-19",185
,"New Hampshire","33","20-24 years","20-24",1092
,"New Hampshire","33","25-29 years","25-29",3044
,"New Hampshire","33","30-34 years","30-34",4555
,"New Hampshire","33","35-39 years","35-39",2400
,"New Hampshire","33","40-44 years","40-44",461
,"New Hampshire","33","45-49 years","45-49",30
,"New Hampshire","33","50 years and over","50+",Suppressed
,"New Jersey","34","Under 15 years","15",31
,"New Jersey","34","15-19 years","15-19",2115
,"New Jersey","34","20-24 years","20-24",11451
,"New Jersey","34","25-29 years","25-29",22031
,"New Jersey","34","30-34 years","30-34",36064
,"New Jersey","34","35-39 years","35-39",23693
,"New Jersey","34","40-44 years","40-44",5523
,"New Jersey","34","45-49 years","45-49",416
,"New Jersey","34","50 years and over","50+",48
,"New Mexico","35","Under 15 years","15",16
,"New Mexico","35","15-19 years","15-19",1280
,"New Mexico","35","20-24 years","20-24",4956
,"New Mexico","35","25-29 years","25-29",6131
,"New Mexico","35","30-34 years","30-34",5504
,"New Mexico","35","35-39 years","35-39",2798
,"New Mexico","35","40-44 years","40-44",609
,"New Mexico","35","45-49 years","45-49",32
,"New Mexico","35","50 years and over","50+",Suppressed
,"New York","36","Under 15 years","15",63
,"New York","36","15-19 years","15-19",4766
,"New York","36","20-24 years","20-24",28422
,"New York","36","25-29 years","25-29",47813
,"New York","36","30-34 years","30-34",66954
,"New York","36","35-39 years","35-39",44672
,"New York","36","40-44 years","40-44",11687
,"New York","36","45-49 years","45-49",983
,"New York","36","50 years and over","50+",129
,"North Carolina","37","Under 15 years","15",59
,"North Carolina","37","15-19 years","15-19",5168
,"North Carolina","37","20-24 years","20-24",22590
,"North Carolina","37","25-29 years","25-29",34560
,"North Carolina","37","30-34 years","30-34",36931
,"North Carolina","37","35-39 years","35-39",19225
,"North Carolina","37","40-44 years","40-44",4068
,"North Carolina","37","45-49 years","45-49",232
,"North Carolina","37","50 years and over","50+",23
,"North Dakota","38","Under 15 years","15",Suppressed
,"North Dakota","38","15-19 years","15-19",325
,"North Dakota","38","20-24 years","20-24",1660
,"North Dakota","38","25-29 years","25-29",3168
,"North Dakota","38","30-34 years","30-34",2920
,"North Dakota","38","35-39 years","35-39",1310
,"North Dakota","38","40-44 years","40-44",237
,"North Dakota","38","45-49 years","45-49",12
,"North Dakota","38","50 years and over","50+",Suppressed
,"Ohio","39","Under 15 years","15",69
,"Ohio","39","15-19 years","15-19",5267
,"Ohio","39","20-24 years","20-24",23667
,"Ohio","39","25-29 years","25-29",37655
,"Ohio","39","30-34 years","30-34",38047
,"Ohio","39","35-39 years","35-39",18382
,"Ohio","39","40-44 years","40-44",3481
,"Ohio","39","45-49 years","45-49",205
,"Ohio","39","50 years and over","50+",22
,"Oklahoma","40","Under 15 years","15",38
,"Oklahoma","40","15-19 years","15-19",2746
,"Oklahoma","40","20-24 years","20-24",11643
,"Oklahoma","40","25-29 years","25-29",15090
,"Oklahoma","40","30-34 years","30-34",11869
,"Oklahoma","40","35-39 years","35-39",5434
,"Oklahoma","40","40-44 years","40-44",1097
,"Oklahoma","40","45-49 years","45-49",41
,"Oklahoma","40","50 years and over","50+",Suppressed
,"Oregon","41","Under 15 years","15",10
,"Oregon","41","15-19 years","15-19",1133
,"Oregon","41","20-24 years","20-24",5931
,"Oregon","41","25-29 years","25-29",10769
,"Oregon","41","30-34 years","30-34",12073
,"Oregon","41","35-39 years","35-39",7287
,"Oregon","41","40-44 years","40-44",1639
,"Oregon","41","45-49 years","45-49",112
,"Oregon","41","50 years and over","50+",Suppressed
,"Pennsylvania","42","Under 15 years","15",57
,"Pennsylvania","42","15-19 years","15-19",4034
,"Pennsylvania","42","20-24 years","20-24",19005
,"Pennsylvania","42","25-29 years","25-29",33580
,"Pennsylvania","42","30-34 years","30-34",42563
,"Pennsylvania","42","35-39 years","35-39",23073
,"Pennsylvania","42","40-44 years","40-44",4623
,"Pennsylvania","42","45-49 years","45-49",334
,"Pennsylvania","42","50 years and over","50+",30
,"Rhode Island","44","Under 15 years","15",Suppressed
,"Rhode Island","44","15-19 years","15-19",273
,"Rhode Island","44","20-24 years","20-24",1204
,"Rhode Island","44","25-29 years","25-29",2373
,"Rhode Island","44","30-34 years","30-34",3580
,"Rhode Island","44","35-39 years","35-39",2097
,"Rhode Island","44","40-44 years","40-44",448
,"Rhode Island","44","45-49 years","45-49",29
,"Rhode Island","44","50 years and over","50+",Suppressed
,"South Carolina","45","Under 15 years","15",44
,"South Carolina","45","15-19 years","15-19",3072
,"South Carolina","45","20-24 years","20-24",11342
,"South Carolina","45","25-29 years","25-29",17129
,"South Carolina","45","30-34 years","30-34",16906
,"South Carolina","45","35-39 years","35-39",8349
,"South Carolina","45","40-44 years","40-44",1827
,"South Carolina","45","45-49 years","45-49",92
,"South Carolina","45","50 years and over","50+",Suppressed
,"South Dakota","46","Under 15 years","15",Suppressed
,"South Dakota","46","15-19 years","15-19",469
,"South Dakota","46","20-24 years","20-24",2030
,"South Dakota","46","25-29 years","25-29",3687
,"South Dakota","46","30-34 years","30-34",3437
,"South Dakota","46","35-39 years","35-39",1512
,"South Dakota","46","40-44 years","40-44",290
,"South Dakota","46","45-49 years","45-49",17
,"South Dakota","46","50 years and over","50+",Suppressed
,"Tennessee","47","Under 15 years","15",71
,"Tennessee","47","15-19 years","15-19",4489
,"Tennessee","47","20-24 years","20-24",17791
,"Tennessee","47","25-29 years","25-29",24961
,"Tennessee","47","30-34 years","30-34",23002
,"Tennessee","47","35-39 years","35-39",11046
,"Tennessee","47","40-44 years","40-44",2348
,"Tennessee","47","45-49 years","45-49",120
,"Tennessee","47","50 years and over","50+",Suppressed
,"Texas","48","Under 15 years","15",243
,"Texas","48","15-19 years","15-19",20206
,"Texas","48","20-24 years","20-24",77586
,"Texas","48","25-29 years","25-29",111576
,"Texas","48","30-34 years","30-34",110032
,"Texas","48","35-39 years","35-39",57340
,"Texas","48","40-44 years","40-44",12957
,"Texas","48","45-49 years","45-49",804
,"Texas","48","50 years and over","50+",84
,"Utah","49","Under 15 years","15",Suppressed
,"Utah","49","15-19 years","15-19",1158
,"Utah","49","20-24 years","20-24",8646
,"Utah","49","25-29 years","25-29",16479
,"Utah","49","30-34 years","30-34",13064
,"Utah","49","35-39 years","35-39",5844
,"Utah","49","40-44 years","40-44",1384
,"Utah","49","45-49 years","45-49",71
,"Utah","49","50 years and over","50+",10
,"Vermont","50","Under 15 years","15",Suppressed
,"Vermont","50","15-19 years","15-19",128
,"Vermont","50","20-24 years","20-24",661
,"Vermont","50","25-29 years","25-29",1269
,"Vermont","50","30-34 years","30-34",1659
,"Vermont","50","35-39 years","35-39",1060
,"Vermont","50","40-44 years","40-44",231
,"Vermont","50","45-49 years","45-49",14
,"Vermont","50","50 years and over","50+",0
,"Virginia","51","Under 15 years","15",26
,"Virginia","51","15-19 years","15-19",2985
,"Virginia","51","20-24 years","20-24",14185
,"Virginia","51","25-29 years","25-29",24703
,"Virginia","51","30-34 years","30-34",29782
,"Virginia","51","35-39 years","35-39",17848
,"Virginia","51","40-44 years","40-44",4169
,"Virginia","51","45-49 years","45-49",316
,"Virginia","51","50 years and over","50+",40
,"Washington","53","Under 15 years","15",23
,"Washington","53","15-19 years","15-19",2163
,"Washington","53","20-24 years","20-24",11984
,"Washington","53","25-29 years","25-29",21527
,"Washington","53","30-34 years","30-34",27347
,"Washington","53","35-39 years","35-39",16189
,"Washington","53","40-44 years","40-44",3605
,"Washington","53","45-49 years","45-49",251
,"Washington","53","50 years and over","50+",29
,"West Virginia","54","Under 15 years","15",11
,"West Virginia","54","15-19 years","15-19",939
,"West Virginia","54","20-24 years","20-24",4302
,"West Virginia","54","25-29 years","25-29",5543
,"West Virginia","54","30-34 years","30-34",4125
,"West Virginia","54","35-39 years","35-39",1749
,"West Virginia","54","40-44 years","40-44",336
,"West Virginia","54","45-49 years","45-49",16
,"West Virginia","54","50 years and over","50+",Suppressed
,"Wisconsin","55","Under 15 years","15",30
,"Wisconsin","55","15-19 years","15-19",1851
,"Wisconsin","55","20-24 years","20-24",9001
,"Wisconsin","55","25-29 years","25-29",17437
,"Wisconsin","55","30-34 years","30-34",19985
,"Wisconsin","55","35-39 years","35-39",9380
,"Wisconsin","55","40-44 years","40-44",1904
,"Wisconsin","55","45-49 years","45-49",91
,"Wisconsin","55","50 years and over","50+",Suppressed
,"Wyoming","56","Under 15 years","15",Suppressed
,"Wyoming","56","15-19 years","15-19",288
,"Wyoming","56","20-24 years","20-24",1360
,"Wyoming","56","25-29 years","25-29",1902
,"Wyoming","56","30-34 years","30-34",1613
,"Wyoming","56","35-39 years","35-39",762
,"Wyoming","56","40-44 years","40-44",154
,"Wyoming","56","45-49 years","45-49",Suppressed
,"Wyoming","56","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2024"
"Group By: State of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 6:01:11 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 6:01:11 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
