"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Colorado","08","32 - 35 weeks","04",3060
,"Colorado","08","36 weeks","05",2474
,"Colorado","08","37 - 39 weeks","06",42476
,"Colorado","08","40 weeks","07",11755
,"Colorado","08","41 weeks","08",3423
,"Colorado","08","42 weeks or more","09",173
,"Colorado","08","Unknown or Not Stated","10",43
,"Connecticut","09","Under 20 weeks","01",17
,"Connecticut","09","20 - 27 weeks","02",171
,"Connecticut","09","28 - 31 weeks","03",297
,"Connecticut","09","32 - 35 weeks","04",1621
,"Connecticut","09","36 weeks","05",1292
,"Connecticut","09","37 - 39 weeks","06",22744
,"Connecticut","09","40 weeks","07",6456
,"Connecticut","09","41 weeks","08",1931
,"Connecticut","09","42 weeks or more","09",57
,"Connecticut","09","Unknown or Not Stated","10",13
,"Delaware","10","Under 20 weeks","01",Suppressed
,"Delaware","10","20 - 27 weeks","02",90
,"Delaware","10","28 - 31 weeks","03",112
,"Delaware","10","32 - 35 weeks","04",473
,"Delaware","10","36 weeks","05",431
,"Delaware","10","37 - 39 weeks","06",6849
,"Delaware","10","40 weeks","07",2007
,"Delaware","10","41 weeks","08",563
,"Delaware","10","42 weeks or more","09",15
,"Delaware","10","Unknown or Not Stated","10",Suppressed
,"District of Columbia","11","Under 20 weeks","01",Suppressed
,"District of Columbia","11","20 - 27 weeks","02",73
,"District of Columbia","11","28 - 31 weeks","03",90
,"District of Columbia","11","32 - 35 weeks","04",417
,"District of Columbia","11","36 weeks","05",317
,"District of Columbia","11","37 - 39 weeks","06",4810
,"District of Columbia","11","40 weeks","07",1475
,"District of Columbia","11","41 weeks","08",417
,"District of Columbia","11","42 weeks or more","09",13
,"District of Columbia","11","Unknown or Not Stated","10",Suppressed
,"Florida","12","Under 20 weeks","01",86
,"Florida","12","20 - 27 weeks","02",1640
,"Florida","12","28 - 31 weeks","03",2083
,"Florida","12","32 - 35 weeks","04",10683
,"Florida","12","36 weeks","05",9311
,"Florida","12","37 - 39 weeks","06",150338
,"Florida","12","40 weeks","07",38314
,"Florida","12","41 weeks","08",9429
,"Florida","12","42 weeks or more","09",500
,"Florida","12","Unknown or Not Stated","10",2005
,"Georgia","13","Under 20 weeks","01",51
,"Georgia","13","20 - 27 weeks","02",934
,"Georgia","13","28 - 31 weeks","03",1404
,"Georgia","13","32 - 35 weeks","04",6574
,"Georgia","13","36 weeks","05",5944
,"Georgia","13","37 - 39 weeks","06",87030
,"Georgia","13","40 weeks","07",19979
,"Georgia","13","41 weeks","08",4202
,"Georgia","13","42 weeks or more","09",266
,"Georgia","13","Unknown or Not Stated","10",53
,"Hawaii","15","Under 20 weeks","01",0
,"Hawaii","15","20 - 27 weeks","02",81
,"Hawaii","15","28 - 31 weeks","03",121
,"Hawaii","15","32 - 35 weeks","04",689
,"Hawaii","15","36 weeks","05",603
,"Hawaii","15","37 - 39 weeks","06",9715
,"Hawaii","15","40 weeks","07",2769
,"Hawaii","15","41 weeks","08",856
,"Hawaii","15","42 weeks or more","09",67
,"Hawaii","15","Unknown or Not Stated","10",16
,"Idaho","16","Under 20 weeks","01",Suppressed
,"Idaho","16","20 - 27 weeks","02",111
,"Idaho","16","28 - 31 weeks","03",170
,"Idaho","16","32 - 35 weeks","04",978
,"Idaho","16","36 weeks","05",847
,"Idaho","16","37 - 39 weeks","06",15206
,"Idaho","16","40 weeks","07",4364
,"Idaho","16","41 weeks","08",1488
,"Idaho","16","42 weeks or more","09",94
,"Idaho","16","Unknown or Not Stated","10",11
,"Illinois","17","Under 20 weeks","01",50
,"Illinois","17","20 - 27 weeks","02",777
,"Illinois","17","28 - 31 weeks","03",1071
,"Illinois","17","32 - 35 weeks","04",5898
,"Illinois","17","36 weeks","05",5246
,"Illinois","17","37 - 39 weeks","06",88960
,"Illinois","17","40 weeks","07",19913
,"Illinois","17","41 weeks","08",3616
,"Illinois","17","42 weeks or more","09",139
,"Illinois","17","Unknown or Not Stated","10",61
,"Indiana","18","Under 20 weeks","01",31
,"Indiana","18","20 - 27 weeks","02",493
,"Indiana","18","28 - 31 weeks","03",775
,"Indiana","18","32 - 35 weeks","04",3954
,"Indiana","18","36 weeks","05",3513
,"Indiana","18","37 - 39 weeks","06",55943
,"Indiana","18","40 weeks","07",12687
,"Indiana","18","41 weeks","08",2637
,"Indiana","18","42 weeks or more","09",186
,"Indiana","18","Unknown or Not Stated","10",38
,"Iowa","19","Under 20 weeks","01",10
,"Iowa","19","20 - 27 weeks","02",210
,"Iowa","19","28 - 31 weeks","03",288
,"Iowa","19","32 - 35 weeks","04",1651
,"Iowa","19","36 weeks","05",1513
,"Iowa","19","37 - 39 weeks","06",25226
,"Iowa","19","40 weeks","07",5827
,"Iowa","19","41 weeks","08",1585
,"Iowa","19","42 weeks or more","09",93
,"Iowa","19","Unknown or Not Stated","10",33
,"Kansas","20","Under 20 weeks","01",11
,"Kansas","20","20 - 27 weeks","02",177
,"Kansas","20","28 - 31 weeks","03",279
,"Kansas","20","32 - 35 weeks","04",1576
,"Kansas","20","36 weeks","05",1445
,"Kansas","20","37 - 39 weeks","06",23624
,"Kansas","20","40 weeks","07",5747
,"Kansas","20","41 weeks","08",1036
,"Kansas","20","42 weeks or more","09",77
,"Kansas","20","Unknown or Not Stated","10",12
,"Kentucky","21","Under 20 weeks","01",16
,"Kentucky","21","20 - 27 weeks","02",317
,"Kentucky","21","28 - 31 weeks","03",514
,"Kentucky","21","32 - 35 weeks","04",2773
,"Kentucky","21","36 weeks","05",2589
,"Kentucky","21","37 - 39 weeks","06",38183
,"Kentucky","21","40 weeks","07",6959
,"Kentucky","21","41 weeks","08",1425
,"Kentucky","21","42 weeks or more","09",127
,"Kentucky","21","Unknown or Not Stated","10",10
,"Louisiana","22","Under 20 weeks","01",32
,"Louisiana","22","20 - 27 weeks","02",472
,"Louisiana","22","28 - 31 weeks","03",620
,"Louisiana","22","32 - 35 weeks","04",3322
,"Louisiana","22","36 weeks","05",3008
,"Louisiana","22","37 - 39 weeks","06",38978
,"Louisiana","22","40 weeks","07",5960
,"Louisiana","22","41 weeks","08",844
,"Louisiana","22","42 weeks or more","09",39
,"Louisiana","22","Unknown or Not Stated","10",30
,"Maine","23","Under 20 weeks","01",Suppressed
,"Maine","23","20 - 27 weeks","02",52
,"Maine","23","28 - 31 weeks","03",91
,"Maine","23","32 - 35 weeks","04",506
,"Maine","23","36 weeks","05",472
,"Maine","23","37 - 39 weeks","06",7589
,"Maine","23","40 weeks","07",2073
,"Maine","23","41 weeks","08",728
,"Maine","23","42 weeks or more","09",75
,"Maine","23","Unknown or Not Stated","10",11
,"Maryland","24","Under 20 weeks","01",22
,"Maryland","24","20 - 27 weeks","02",411
,"Maryland","24","28 - 31 weeks","03",709
,"Maryland","24","32 - 35 weeks","04",3053
,"Maryland","24","36 weeks","05",2701
,"Maryland","24","37 - 39 weeks","06",42955
,"Maryland","24","40 weeks","07",12119
,"Maryland","24","41 weeks","08",3676
,"Maryland","24","42 weeks or more","09",130
,"Maryland","24","Unknown or Not Stated","10",21
,"Massachusetts","25","Under 20 weeks","01",20
,"Massachusetts","25","20 - 27 weeks","02",276
,"Massachusetts","25","28 - 31 weeks","03",501
,"Massachusetts","25","32 - 35 weeks","04",2772
,"Massachusetts","25","36 weeks","05",2479
,"Massachusetts","25","37 - 39 weeks","06",43701
,"Massachusetts","25","40 weeks","07",13648
,"Massachusetts","25","41 weeks","08",4442
,"Massachusetts","25","42 weeks or more","09",146
,"Massachusetts","25","Unknown or Not Stated","10",199
,"Michigan","26","Under 20 weeks","01",60
,"Michigan","26","20 - 27 weeks","02",604
,"Michigan","26","28 - 31 weeks","03",921
,"Michigan","26","32 - 35 weeks","04",4920
,"Michigan","26","36 weeks","05",4114
,"Michigan","26","37 - 39 weeks","06",65018
,"Michigan","26","40 weeks","07",18323
,"Michigan","26","41 weeks","08",5152
,"Michigan","26","42 weeks or more","09",339
,"Michigan","26","Unknown or Not Stated","10",74
,"Minnesota","27","Under 20 weeks","01",19
,"Minnesota","27","20 - 27 weeks","02",318
,"Minnesota","27","28 - 31 weeks","03",478
,"Minnesota","27","32 - 35 weeks","04",2764
,"Minnesota","27","36 weeks","05",2460
,"Minnesota","27","37 - 39 weeks","06",40438
,"Minnesota","27","40 weeks","07",11258
,"Minnesota","27","41 weeks","08",4002
,"Minnesota","27","42 weeks or more","09",325
,"Minnesota","27","Unknown or Not Stated","10",48
,"Mississippi","28","Under 20 weeks","01",14
,"Mississippi","28","20 - 27 weeks","02",309
,"Mississippi","28","28 - 31 weeks","03",449
,"Mississippi","28","32 - 35 weeks","04",2265
,"Mississippi","28","36 weeks","05",1980
,"Mississippi","28","37 - 39 weeks","06",24540
,"Mississippi","28","40 weeks","07",3413
,"Mississippi","28","41 weeks","08",444
,"Mississippi","28","42 weeks or more","09",36
,"Mississippi","28","Unknown or Not Stated","10",23
,"Missouri","29","Under 20 weeks","01",21
,"Missouri","29","20 - 27 weeks","02",381
,"Missouri","29","28 - 31 weeks","03",606
,"Missouri","29","32 - 35 weeks","04",3396
,"Missouri","29","36 weeks","05",3037
,"Missouri","29","37 - 39 weeks","06",48083
,"Missouri","29","40 weeks","07",10151
,"Missouri","29","41 weeks","08",2110
,"Missouri","29","42 weeks or more","09",162
,"Missouri","29","Unknown or Not Stated","10",51
,"Montana","30","Under 20 weeks","01",0
,"Montana","30","20 - 27 weeks","02",47
,"Montana","30","28 - 31 weeks","03",85
,"Montana","30","32 - 35 weeks","04",493
,"Montana","30","36 weeks","05",441
,"Montana","30","37 - 39 weeks","06",7637
,"Montana","30","40 weeks","07",2029
,"Montana","30","41 weeks","08",550
,"Montana","30","42 weeks or more","09",46
,"Montana","30","Unknown or Not Stated","10",Suppressed
,"Nebraska","31","Under 20 weeks","01",Suppressed
,"Nebraska","31","20 - 27 weeks","02",139
,"Nebraska","31","28 - 31 weeks","03",241
,"Nebraska","31","32 - 35 weeks","04",1078
,"Nebraska","31","36 weeks","05",1277
,"Nebraska","31","37 - 39 weeks","06",17722
,"Nebraska","31","40 weeks","07",3598
,"Nebraska","31","41 weeks","08",683
,"Nebraska","31","42 weeks or more","09",34
,"Nebraska","31","Unknown or Not Stated","10",Suppressed
,"Nevada","32","Under 20 weeks","01",Suppressed
,"Nevada","32","20 - 27 weeks","02",202
,"Nevada","32","28 - 31 weeks","03",299
,"Nevada","32","32 - 35 weeks","04",1572
,"Nevada","32","36 weeks","05",1475
,"Nevada","32","37 - 39 weeks","06",22710
,"Nevada","32","40 weeks","07",5154
,"Nevada","32","41 weeks","08",893
,"Nevada","32","42 weeks or more","09",60
,"Nevada","32","Unknown or Not Stated","10",12
,"New Hampshire","33","Under 20 weeks","01",Suppressed
,"New Hampshire","33","20 - 27 weeks","02",40
,"New Hampshire","33","28 - 31 weeks","03",69
,"New Hampshire","33","32 - 35 weeks","04",468
,"New Hampshire","33","36 weeks","05",352
,"New Hampshire","33","37 - 39 weeks","06",7155
,"New Hampshire","33","40 weeks","07",2462
,"New Hampshire","33","41 weeks","08",1143
,"New Hampshire","33","42 weeks or more","09",63
,"New Hampshire","33","Unknown or Not Stated","10",15
,"New Jersey","34","Under 20 weeks","01",17
,"New Jersey","34","20 - 27 weeks","02",492
,"New Jersey","34","28 - 31 weeks","03",801
,"New Jersey","34","32 - 35 weeks","04",4353
,"New Jersey","34","36 weeks","05",3853
,"New Jersey","34","37 - 39 weeks","06",65841
,"New Jersey","34","40 weeks","07",20171
,"New Jersey","34","41 weeks","08",5644
,"New Jersey","34","42 weeks or more","09",191
,"New Jersey","34","Unknown or Not Stated","10",Suppressed
,"New Mexico","35","Under 20 weeks","01",Suppressed
,"New Mexico","35","20 - 27 weeks","02",101
,"New Mexico","35","28 - 31 weeks","03",181
,"New Mexico","35","32 - 35 weeks","04",998
,"New Mexico","35","36 weeks","05",841
,"New Mexico","35","37 - 39 weeks","06",14615
,"New Mexico","35","40 weeks","07",3619
,"New Mexico","35","41 weeks","08",912
,"New Mexico","35","42 weeks or more","09",42
,"New Mexico","35","Unknown or Not Stated","10",12
,"New York","36","Under 20 weeks","01",32
,"New York","36","20 - 27 weeks","02",1038
,"New York","36","28 - 31 weeks","03",1715
,"New York","36","32 - 35 weeks","04",8973
,"New York","36","36 weeks","05",7700
,"New York","36","37 - 39 weeks","06",132617
,"New York","36","40 weeks","07",41301
,"New York","36","41 weeks","08",11117
,"New York","36","42 weeks or more","09",584
,"New York","36","Unknown or Not Stated","10",412
,"North Carolina","37","Under 20 weeks","01",40
,"North Carolina","37","20 - 27 weeks","02",791
,"North Carolina","37","28 - 31 weeks","03",1170
,"North Carolina","37","32 - 35 weeks","04",5905
,"North Carolina","37","36 weeks","05",5206
,"North Carolina","37","37 - 39 weeks","06",81404
,"North Carolina","37","40 weeks","07",21970
,"North Carolina","37","41 weeks","08",6060
,"North Carolina","37","42 weeks or more","09",254
,"North Carolina","37","Unknown or Not Stated","10",56
,"North Dakota","38","Under 20 weeks","01",Suppressed
,"North Dakota","38","20 - 27 weeks","02",49
,"North Dakota","38","28 - 31 weeks","03",69
,"North Dakota","38","32 - 35 weeks","04",432
,"North Dakota","38","36 weeks","05",351
,"North Dakota","38","37 - 39 weeks","06",6656
,"North Dakota","38","40 weeks","07",1637
,"North Dakota","38","41 weeks","08",400
,"North Dakota","38","42 weeks or more","09",27
,"North Dakota","38","Unknown or Not Stated","10",Suppressed
,"Ohio","39","Under 20 weeks","01",66
,"Ohio","39","20 - 27 weeks","02",858
,"Ohio","39","28 - 31 weeks","03",1247
,"Ohio","39","32 - 35 weeks","04",6288
,"Ohio","39","36 weeks","05",5455
,"Ohio","39","37 - 39 weeks","06",87861
,"Ohio","39","40 weeks","07",20078
,"Ohio","39","41 weeks","08",4517
,"Ohio","39","42 weeks or more","09",343
,"Ohio","39","Unknown or Not Stated","10",82
,"Oklahoma","40","Under 20 weeks","01",25
,"Oklahoma","40","20 - 27 weeks","02",296
,"Oklahoma","40","28 - 31 weeks","03",426
,"Oklahoma","40","32 - 35 weeks","04",2300
,"Oklahoma","40","36 weeks","05",2226
,"Oklahoma","40","37 - 39 weeks","06",35049
,"Oklahoma","40","40 weeks","07",6367
,"Oklahoma","40","41 weeks","08",1145
,"Oklahoma","40","42 weeks or more","09",82
,"Oklahoma","40","Unknown or Not Stated","10",46
,"Oregon","41","Under 20 weeks","01",10
,"Oregon","41","20 - 27 weeks","02",159
,"Oregon","41","28 - 31 weeks","03",261
,"Oregon","41","32 - 35 weeks","04",1648
,"Oregon","41","36 weeks","05",1388
,"Oregon","41","37 - 39 weeks","06",24403
,"Oregon","41","40 weeks","07",7698
,"Oregon","41","41 weeks","08",3149
,"Oregon","41","42 weeks or more","09",232
,"Oregon","41","Unknown or Not Stated","10",15
,"Pennsylvania","42","Under 20 weeks","01",55
,"Pennsylvania","42","20 - 27 weeks","02",729
,"Pennsylvania","42","28 - 31 weeks","03",1044
,"Pennsylvania","42","32 - 35 weeks","04",5743
,"Pennsylvania","42","36 weeks","05",4846
,"Pennsylvania","42","37 - 39 weeks","06",82598
,"Pennsylvania","42","40 weeks","07",24848
,"Pennsylvania","42","41 weeks","08",6865
,"Pennsylvania","42","42 weeks or more","09",411
,"Pennsylvania","42","Unknown or Not Stated","10",160
,"Rhode Island","44","Under 20 weeks","01",0
,"Rhode Island","44","20 - 27 weeks","02",53
,"Rhode Island","44","28 - 31 weeks","03",85
,"Rhode Island","44","32 - 35 weeks","04",410
,"Rhode Island","44","36 weeks","05",349
,"Rhode Island","44","37 - 39 weeks","06",6408
,"Rhode Island","44","40 weeks","07",1887
,"Rhode Island","44","41 weeks","08",792
,"Rhode Island","44","42 weeks or more","09",23
,"Rhode Island","44","Unknown or Not Stated","10",Suppressed
,"South Carolina","45","Under 20 weeks","01",25
,"South Carolina","45","20 - 27 weeks","02",396
,"South Carolina","45","28 - 31 weeks","03",608
,"South Carolina","45","32 - 35 weeks","04",3057
,"South Carolina","45","36 weeks","05",2758
,"South Carolina","45","37 - 39 weeks","06",41621
,"South Carolina","45","40 weeks","07",8553
,"South Carolina","45","41 weeks","08",1628
,"South Carolina","45","42 weeks or more","09",102
,"South Carolina","45","Unknown or Not Stated","10",20
,"South Dakota","46","Under 20 weeks","01",Suppressed
,"South Dakota","46","20 - 27 weeks","02",60
,"South Dakota","46","28 - 31 weeks","03",99
,"South Dakota","46","32 - 35 weeks","04",535
,"South Dakota","46","36 weeks","05",580
,"South Dakota","46","37 - 39 weeks","06",7905
,"South Dakota","46","40 weeks","07",1790
,"South Dakota","46","41 weeks","08",430
,"South Dakota","46","42 weeks or more","09",30
,"South Dakota","46","Unknown or Not Stated","10",14
,"Tennessee","47","Under 20 weeks","01",28
,"Tennessee","47","20 - 27 weeks","02",526
,"Tennessee","47","28 - 31 weeks","03",778
,"Tennessee","47","32 - 35 weeks","04",4100
,"Tennessee","47","36 weeks","05",3695
,"Tennessee","47","37 - 39 weeks","06",57693
,"Tennessee","47","40 weeks","07",13865
,"Tennessee","47","41 weeks","08",2831
,"Tennessee","47","42 weeks or more","09",257
,"Tennessee","47","Unknown or Not Stated","10",60
,"Texas","48","Under 20 weeks","01",183
,"Texas","48","20 - 27 weeks","02",2534
,"Texas","48","28 - 31 weeks","03",3666
,"Texas","48","32 - 35 weeks","04",19042
,"Texas","48","36 weeks","05",17919
,"Texas","48","37 - 39 weeks","06",277938
,"Texas","48","40 weeks","07",56785
,"Texas","48","41 weeks","08",11806
,"Texas","48","42 weeks or more","09",913
,"Texas","48","Unknown or Not Stated","10",42
,"Utah","49","Under 20 weeks","01",15
,"Utah","49","20 - 27 weeks","02",216
,"Utah","49","28 - 31 weeks","03",346
,"Utah","49","32 - 35 weeks","04",2025
,"Utah","49","36 weeks","05",1842
,"Utah","49","37 - 39 weeks","06",33597
,"Utah","49","40 weeks","07",6933
,"Utah","49","41 weeks","08",1600
,"Utah","49","42 weeks or more","09",88
,"Utah","49","Unknown or Not Stated","10",Suppressed
,"Vermont","50","Under 20 weeks","01",0
,"Vermont","50","20 - 27 weeks","02",18
,"Vermont","50","28 - 31 weeks","03",31
,"Vermont","50","32 - 35 weeks","04",196
,"Vermont","50","36 weeks","05",166
,"Vermont","50","37 - 39 weeks","06",2980
,"Vermont","50","40 weeks","07",1074
,"Vermont","50","41 weeks","08",524
,"Vermont","50","42 weeks or more","09",29
,"Vermont","50","Unknown or Not Stated","10",Suppressed
,"Virginia","51","Under 20 weeks","01",46
,"Virginia","51","20 - 27 weeks","02",609
,"Virginia","51","28 - 31 weeks","03",868
,"Virginia","51","32 - 35 weeks","04",4336
,"Virginia","51","36 weeks","05",3608
,"Virginia","51","37 - 39 weeks","06",61383
,"Virginia","51","40 weeks","07",17749
,"Virginia","51","41 weeks","08",5114
,"Virginia","51","42 weeks or more","09",310
,"Virginia","51","Unknown or Not Stated","10",31
,"Washington","53","Under 20 weeks","01",19
,"Washington","53","20 - 27 weeks","02",348
,"Washington","53","28 - 31 weeks","03",616
,"Washington","53","32 - 35 weeks","04",3387
,"Washington","53","36 weeks","05",3097
,"Washington","53","37 - 39 weeks","06",51183
,"Washington","53","40 weeks","07",16851
,"Washington","53","41 weeks","08",7027
,"Washington","53","42 weeks or more","09",408
,"Washington","53","Unknown or Not Stated","10",182
,"West Virginia","54","Under 20 weeks","01",Suppressed
,"West Virginia","54","20 - 27 weeks","02",116
,"West Virginia","54","28 - 31 weeks","03",190
,"West Virginia","54","32 - 35 weeks","04",1060
,"West Virginia","54","36 weeks","05",912
,"West Virginia","54","37 - 39 weeks","06",12111
,"West Virginia","54","40 weeks","07",2126
,"West Virginia","54","41 weeks","08",471
,"West Virginia","54","42 weeks or more","09",26
,"West Virginia","54","Unknown or Not Stated","10",Suppressed
,"Wisconsin","55","Under 20 weeks","01",20
,"Wisconsin","55","20 - 27 weeks","02",323
,"Wisconsin","55","28 - 31 weeks","03",471
,"Wisconsin","55","32 - 35 weeks","04",2655
,"Wisconsin","55","36 weeks","05",2486
,"Wisconsin","55","37 - 39 weeks","06",39788
,"Wisconsin","55","40 weeks","07",10904
,"Wisconsin","55","41 weeks","08",2703
,"Wisconsin","55","42 weeks or more","09",239
,"Wisconsin","55","Unknown or Not Stated","10",97
,"Wyoming","56","Under 20 weeks","01",Suppressed
,"Wyoming","56","20 - 27 weeks","02",20
,"Wyoming","56","28 - 31 weeks","03",49
,"Wyoming","56","32 - 35 weeks","04",302
,"Wyoming","56","36 weeks","05",267
,"Wyoming","56","37 - 39 weeks","06",4243
,"Wyoming","56","40 weeks","07",953
,"Wyoming","56","41 weeks","08",233
,"Wyoming","56","42 weeks or more","09",19
,"Wyoming","56","Unknown or Not Stated","10",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2024"
"Group By: State of Residence; OE Gestational Age Recode 10"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 2:47:37 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 2:47:37 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
