"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Delaware","10","45-49 years","45-49",31
,"Delaware","10","50 years and over","50+",Suppressed
,"District of Columbia","11","Under 15 years","15",Suppressed
,"District of Columbia","11","15-19 years","15-19",323
,"District of Columbia","11","20-24 years","20-24",1119
,"District of Columbia","11","25-29 years","25-29",1896
,"District of Columbia","11","30-34 years","30-34",2924
,"District of Columbia","11","35-39 years","35-39",2238
,"District of Columbia","11","40-44 years","40-44",517
,"District of Columbia","11","45-49 years","45-49",39
,"District of Columbia","11","50 years and over","50+",17
,"Florida","12","Under 15 years","15",106
,"Florida","12","15-19 years","15-19",9541
,"Florida","12","20-24 years","20-24",40141
,"Florida","12","25-29 years","25-29",62879
,"Florida","12","30-34 years","30-34",64017
,"Florida","12","35-39 years","35-39",35033
,"Florida","12","40-44 years","40-44",7686
,"Florida","12","45-49 years","45-49",541
,"Florida","12","50 years and over","50+",58
,"Georgia","13","Under 15 years","15",87
,"Georgia","13","15-19 years","15-19",7090
,"Georgia","13","20-24 years","20-24",27390
,"Georgia","13","25-29 years","25-29",37299
,"Georgia","13","30-34 years","30-34",33356
,"Georgia","13","35-39 years","35-39",17173
,"Georgia","13","40-44 years","40-44",3692
,"Georgia","13","45-49 years","45-49",262
,"Georgia","13","50 years and over","50+",22
,"Hawaii","15","Under 15 years","15",Suppressed
,"Hawaii","15","15-19 years","15-19",584
,"Hawaii","15","20-24 years","20-24",3068
,"Hawaii","15","25-29 years","25-29",4673
,"Hawaii","15","30-34 years","30-34",4604
,"Hawaii","15","35-39 years","35-39",3051
,"Hawaii","15","40-44 years","40-44",756
,"Hawaii","15","45-49 years","45-49",53
,"Hawaii","15","50 years and over","50+",Suppressed
,"Idaho","16","Under 15 years","15",Suppressed
,"Idaho","16","15-19 years","15-19",917
,"Idaho","16","20-24 years","20-24",5140
,"Idaho","16","25-29 years","25-29",7180
,"Idaho","16","30-34 years","30-34",5571
,"Idaho","16","35-39 years","35-39",2706
,"Idaho","16","40-44 years","40-44",504
,"Idaho","16","45-49 years","45-49",32
,"Idaho","16","50 years and over","50+",Suppressed
,"Illinois","17","Under 15 years","15",66
,"Illinois","17","15-19 years","15-19",5883
,"Illinois","17","20-24 years","20-24",23125
,"Illinois","17","25-29 years","25-29",38069
,"Illinois","17","30-34 years","30-34",43860
,"Illinois","17","35-39 years","35-39",24039
,"Illinois","17","40-44 years","40-44",4706
,"Illinois","17","45-49 years","45-49",330
,"Illinois","17","50 years and over","50+",50
,"Indiana","18","Under 15 years","15",32
,"Indiana","18","15-19 years","15-19",4641
,"Indiana","18","20-24 years","20-24",19018
,"Indiana","18","25-29 years","25-29",25863
,"Indiana","18","30-34 years","30-34",20617
,"Indiana","18","35-39 years","35-39",8851
,"Indiana","18","40-44 years","40-44",1733
,"Indiana","18","45-49 years","45-49",91
,"Indiana","18","50 years and over","50+",13
,"Iowa","19","Under 15 years","15",12
,"Iowa","19","15-19 years","15-19",1460
,"Iowa","19","20-24 years","20-24",7031
,"Iowa","19","25-29 years","25-29",12719
,"Iowa","19","30-34 years","30-34",11102
,"Iowa","19","35-39 years","35-39",4504
,"Iowa","19","40-44 years","40-44",781
,"Iowa","19","45-49 years","45-49",38
,"Iowa","19","50 years and over","50+",Suppressed
,"Kansas","20","Under 15 years","15",18
,"Kansas","20","15-19 years","15-19",1857
,"Kansas","20","20-24 years","20-24",7572
,"Kansas","20","25-29 years","25-29",11018
,"Kansas","20","30-34 years","30-34",9701
,"Kansas","20","35-39 years","35-39",4384
,"Kansas","20","40-44 years","40-44",800
,"Kansas","20","45-49 years","45-49",42
,"Kansas","20","50 years and over","50+",Suppressed
,"Kentucky","21","Under 15 years","15",34
,"Kentucky","21","15-19 years","15-19",3464
,"Kentucky","21","20-24 years","20-24",13746
,"Kentucky","21","25-29 years","25-29",16695
,"Kentucky","21","30-34 years","30-34",12664
,"Kentucky","21","35-39 years","35-39",5383
,"Kentucky","21","40-44 years","40-44",1021
,"Kentucky","21","45-49 years","45-49",55
,"Kentucky","21","50 years and over","50+",Suppressed
,"Louisiana","22","Under 15 years","15",58
,"Louisiana","22","15-19 years","15-19",4007
,"Louisiana","22","20-24 years","20-24",14500
,"Louisiana","22","25-29 years","25-29",18252
,"Louisiana","22","30-34 years","30-34",14391
,"Louisiana","22","35-39 years","35-39",6549
,"Louisiana","22","40-44 years","40-44",1140
,"Louisiana","22","45-49 years","45-49",43
,"Louisiana","22","50 years and over","50+",Suppressed
,"Maine","23","Under 15 years","15",Suppressed
,"Maine","23","15-19 years","15-19",339
,"Maine","23","20-24 years","20-24",2080
,"Maine","23","25-29 years","25-29",3528
,"Maine","23","30-34 years","30-34",3662
,"Maine","23","35-39 years","35-39",1812
,"Maine","23","40-44 years","40-44",335
,"Maine","23","45-49 years","45-49",18
,"Maine","23","50 years and over","50+",Suppressed
,"Maryland","24","Under 15 years","15",41
,"Maryland","24","15-19 years","15-19",2603
,"Maryland","24","20-24 years","20-24",10016
,"Maryland","24","25-29 years","25-29",18620
,"Maryland","24","30-34 years","30-34",22662
,"Maryland","24","35-39 years","35-39",13058
,"Maryland","24","40-44 years","40-44",2931
,"Maryland","24","45-49 years","45-49",213
,"Maryland","24","50 years and over","50+",34
,"Massachusetts","25","Under 15 years","15",20
,"Massachusetts","25","15-19 years","15-19",1538
,"Massachusetts","25","20-24 years","20-24",7269
,"Massachusetts","25","25-29 years","25-29",15620
,"Massachusetts","25","30-34 years","30-34",25903
,"Massachusetts","25","35-39 years","35-39",15301
,"Massachusetts","25","40-44 years","40-44",3230
,"Massachusetts","25","45-49 years","45-49",217
,"Massachusetts","25","50 years and over","50+",19
,"Michigan","26","Under 15 years","15",49
,"Michigan","26","15-19 years","15-19",4758
,"Michigan","26","20-24 years","20-24",20440
,"Michigan","26","25-29 years","25-29",34117
,"Michigan","26","30-34 years","30-34",31644
,"Michigan","26","35-39 years","35-39",13957
,"Michigan","26","40-44 years","40-44",2739
,"Michigan","26","45-49 years","45-49",162
,"Michigan","26","50 years and over","50+",20
,"Minnesota","27","Under 15 years","15",12
,"Minnesota","27","15-19 years","15-19",1791
,"Minnesota","27","20-24 years","20-24",8818
,"Minnesota","27","25-29 years","25-29",19093
,"Minnesota","27","30-34 years","30-34",23185
,"Minnesota","27","35-39 years","35-39",11016
,"Minnesota","27","40-44 years","40-44",1942
,"Minnesota","27","45-49 years","45-49",155
,"Minnesota","27","50 years and over","50+",15
,"Mississippi","28","Under 15 years","15",42
,"Mississippi","28","15-19 years","15-19",2869
,"Mississippi","28","20-24 years","20-24",10421
,"Mississippi","28","25-29 years","25-29",11663
,"Mississippi","28","30-34 years","30-34",7753
,"Mississippi","28","35-39 years","35-39",3299
,"Mississippi","28","40-44 years","40-44",566
,"Mississippi","28","45-49 years","45-49",20
,"Mississippi","28","50 years and over","50+",Suppressed
,"Missouri","29","Under 15 years","15",41
,"Missouri","29","15-19 years","15-19",3851
,"Missouri","29","20-24 years","20-24",15795
,"Missouri","29","25-29 years","25-29",22829
,"Missouri","29","30-34 years","30-34",19444
,"Missouri","29","35-39 years","35-39",8573
,"Missouri","29","40-44 years","40-44",1510
,"Missouri","29","45-49 years","45-49",79
,"Missouri","29","50 years and over","50+",Suppressed
,"Montana","30","Under 15 years","15",Suppressed
,"Montana","30","15-19 years","15-19",502
,"Montana","30","20-24 years","20-24",2243
,"Montana","30","25-29 years","25-29",3507
,"Montana","30","30-34 years","30-34",3038
,"Montana","30","35-39 years","35-39",1495
,"Montana","30","40-44 years","40-44",267
,"Montana","30","45-49 years","45-49",23
,"Montana","30","50 years and over","50+",Suppressed
,"Nebraska","31","Under 15 years","15",18
,"Nebraska","31","15-19 years","15-19",993
,"Nebraska","31","20-24 years","20-24",4477
,"Nebraska","31","25-29 years","25-29",8039
,"Nebraska","31","30-34 years","30-34",7354
,"Nebraska","31","35-39 years","35-39",3204
,"Nebraska","31","40-44 years","40-44",625
,"Nebraska","31","45-49 years","45-49",38
,"Nebraska","31","50 years and over","50+",Suppressed
,"Nevada","32","Under 15 years","15",13
,"Nevada","32","15-19 years","15-19",1668
,"Nevada","32","20-24 years","20-24",7060
,"Nevada","32","25-29 years","25-29",10614
,"Nevada","32","30-34 years","30-34",9360
,"Nevada","32","35-39 years","35-39",5113
,"Nevada","32","40-44 years","40-44",1134
,"Nevada","32","45-49 years","45-49",94
,"Nevada","32","50 years and over","50+",16
,"New Hampshire","33","Under 15 years","15",0
,"New Hampshire","33","15-19 years","15-19",275
,"New Hampshire","33","20-24 years","20-24",1582
,"New Hampshire","33","25-29 years","25-29",3418
,"New Hampshire","33","30-34 years","30-34",4268
,"New Hampshire","33","35-39 years","35-39",1919
,"New Hampshire","33","40-44 years","40-44",346
,"New Hampshire","33","45-49 years","45-49",26
,"New Hampshire","33","50 years and over","50+",Suppressed
,"New Jersey","34","Under 15 years","15",28
,"New Jersey","34","15-19 years","15-19",2697
,"New Jersey","34","20-24 years","20-24",12232
,"New Jersey","34","25-29 years","25-29",24291
,"New Jersey","34","30-34 years","30-34",34872
,"New Jersey","34","35-39 years","35-39",20413
,"New Jersey","34","40-44 years","40-44",4673
,"New Jersey","34","45-49 years","45-49",342
,"New Jersey","34","50 years and over","50+",37
,"New Mexico","35","Under 15 years","15",20
,"New Mexico","35","15-19 years","15-19",1659
,"New Mexico","35","20-24 years","20-24",5513
,"New Mexico","35","25-29 years","25-29",6983
,"New Mexico","35","30-34 years","30-34",5566
,"New Mexico","35","35-39 years","35-39",2656
,"New Mexico","35","40-44 years","40-44",526
,"New Mexico","35","45-49 years","45-49",32
,"New Mexico","35","50 years and over","50+",Suppressed
,"New York","36","Under 15 years","15",58
,"New York","36","15-19 years","15-19",6606
,"New York","36","20-24 years","20-24",32642
,"New York","36","25-29 years","25-29",56050
,"New York","36","30-34 years","30-34",70606
,"New York","36","35-39 years","35-39",43756
,"New York","36","40-44 years","40-44",10776
,"New York","36","45-49 years","45-49",912
,"New York","36","50 years and over","50+",133
,"North Carolina","37","Under 15 years","15",84
,"North Carolina","37","15-19 years","15-19",6168
,"North Carolina","37","20-24 years","20-24",25123
,"North Carolina","37","25-29 years","25-29",35059
,"North Carolina","37","30-34 years","30-34",32642
,"North Carolina","37","35-39 years","35-39",16233
,"North Carolina","37","40-44 years","40-44",3240
,"North Carolina","37","45-49 years","45-49",161
,"North Carolina","37","50 years and over","50+",15
,"North Dakota","38","Under 15 years","15",Suppressed
,"North Dakota","38","15-19 years","15-19",355
,"North Dakota","38","20-24 years","20-24",1929
,"North Dakota","38","25-29 years","25-29",3562
,"North Dakota","38","30-34 years","30-34",3148
,"North Dakota","38","35-39 years","35-39",1246
,"North Dakota","38","40-44 years","40-44",202
,"North Dakota","38","45-49 years","45-49",11
,"North Dakota","38","50 years and over","50+",0
,"Ohio","39","Under 15 years","15",80
,"Ohio","39","15-19 years","15-19",6926
,"Ohio","39","20-24 years","20-24",28356
,"Ohio","39","25-29 years","25-29",41525
,"Ohio","39","30-34 years","30-34",37864
,"Ohio","39","35-39 years","35-39",16538
,"Ohio","39","40-44 years","40-44",2997
,"Ohio","39","45-49 years","45-49",161
,"Ohio","39","50 years and over","50+",14
,"Oklahoma","40","Under 15 years","15",29
,"Oklahoma","40","15-19 years","15-19",3520
,"Oklahoma","40","20-24 years","20-24",12861
,"Oklahoma","40","25-29 years","25-29",15502
,"Oklahoma","40","30-34 years","30-34",11224
,"Oklahoma","40","35-39 years","35-39",5043
,"Oklahoma","40","40-44 years","40-44",924
,"Oklahoma","40","45-49 years","45-49",39
,"Oklahoma","40","50 years and over","50+",Suppressed
,"Oregon","41","Under 15 years","15",Suppressed
,"Oregon","41","15-19 years","15-19",1451
,"Oregon","41","20-24 years","20-24",7234
,"Oregon","41","25-29 years","25-29",11900
,"Oregon","41","30-34 years","30-34",12543
,"Oregon","41","35-39 years","35-39",7171
,"Oregon","41","40-44 years","40-44",1450
,"Oregon","41","45-49 years","45-49",92
,"Oregon","41","50 years and over","50+",Suppressed
,"Pennsylvania","42","Under 15 years","15",61
,"Pennsylvania","42","15-19 years","15-19",5264
,"Pennsylvania","42","20-24 years","20-24",23096
,"Pennsylvania","42","25-29 years","25-29",39007
,"Pennsylvania","42","30-34 years","30-34",42338
,"Pennsylvania","42","35-39 years","35-39",20427
,"Pennsylvania","42","40-44 years","40-44",3766
,"Pennsylvania","42","45-49 years","45-49",237
,"Pennsylvania","42","50 years and over","50+",34
,"Rhode Island","44","Under 15 years","15",Suppressed
,"Rhode Island","44","15-19 years","15-19",359
,"Rhode Island","44","20-24 years","20-24",1575
,"Rhode Island","44","25-29 years","25-29",2851
,"Rhode Island","44","30-34 years","30-34",3206
,"Rhode Island","44","35-39 years","35-39",1778
,"Rhode Island","44","40-44 years","40-44",374
,"Rhode Island","44","45-49 years","45-49",27
,"Rhode Island","44","50 years and over","50+",Suppressed
,"South Carolina","45","Under 15 years","15",37
,"South Carolina","45","15-19 years","15-19",3425
,"South Carolina","45","20-24 years","20-24",12588
,"South Carolina","45","25-29 years","25-29",17489
,"South Carolina","45","30-34 years","30-34",14902
,"South Carolina","45","35-39 years","35-39",7148
,"South Carolina","45","40-44 years","40-44",1368
,"South Carolina","45","45-49 years","45-49",77
,"South Carolina","45","50 years and over","50+",Suppressed
,"South Dakota","46","Under 15 years","15",Suppressed
,"South Dakota","46","15-19 years","15-19",536
,"South Dakota","46","20-24 years","20-24",2194
,"South Dakota","46","25-29 years","25-29",3802
,"South Dakota","46","30-34 years","30-34",3357
,"South Dakota","46","35-39 years","35-39",1351
,"South Dakota","46","40-44 years","40-44",191
,"South Dakota","46","45-49 years","45-49",13
,"South Dakota","46","50 years and over","50+",Suppressed
,"Tennessee","47","Under 15 years","15",60
,"Tennessee","47","15-19 years","15-19",4918
,"Tennessee","47","20-24 years","20-24",19431
,"Tennessee","47","25-29 years","25-29",24705
,"Tennessee","47","30-34 years","30-34",20239
,"Tennessee","47","35-39 years","35-39",9244
,"Tennessee","47","40-44 years","40-44",1736
,"Tennessee","47","45-49 years","45-49",112
,"Tennessee","47","50 years and over","50+",Suppressed
,"Texas","48","Under 15 years","15",273
,"Texas","48","15-19 years","15-19",24109
,"Texas","48","20-24 years","20-24",82105
,"Texas","48","25-29 years","25-29",109848
,"Texas","48","30-34 years","30-34",99615
,"Texas","48","35-39 years","35-39",50390
,"Texas","48","40-44 years","40-44",10514
,"Texas","48","45-49 years","45-49",690
,"Texas","48","50 years and over","50+",55
,"Utah","49","Under 15 years","15",10
,"Utah","49","15-19 years","15-19",1498
,"Utah","49","20-24 years","20-24",9501
,"Utah","49","25-29 years","25-29",16074
,"Utah","49","30-34 years","30-34",12565
,"Utah","49","35-39 years","35-39",5864
,"Utah","49","40-44 years","40-44",1243
,"Utah","49","45-49 years","45-49",67
,"Utah","49","50 years and over","50+",Suppressed
,"Vermont","50","Under 15 years","15",Suppressed
,"Vermont","50","15-19 years","15-19",152
,"Vermont","50","20-24 years","20-24",802
,"Vermont","50","25-29 years","25-29",1504
,"Vermont","50","30-34 years","30-34",1802
,"Vermont","50","35-39 years","35-39",881
,"Vermont","50","40-44 years","40-44",199
,"Vermont","50","45-49 years","45-49",18
,"Vermont","50","50 years and over","50+",Suppressed
,"Virginia","51","Under 15 years","15",29
,"Virginia","51","15-19 years","15-19",3625
,"Virginia","51","20-24 years","20-24",16550
,"Virginia","51","25-29 years","25-29",26950
,"Virginia","51","30-34 years","30-34",30213
,"Virginia","51","35-39 years","35-39",16411
,"Virginia","51","40-44 years","40-44",3371
,"Virginia","51","45-49 years","45-49",247
,"Virginia","51","50 years and over","50+",33
,"Washington","53","Under 15 years","15",22
,"Washington","53","15-19 years","15-19",2788
,"Washington","53","20-24 years","20-24",13675
,"Washington","53","25-29 years","25-29",23905
,"Washington","53","30-34 years","30-34",26500
,"Washington","53","35-39 years","35-39",14714
,"Washington","53","40-44 years","40-44",3029
,"Washington","53","45-49 years","45-49",234
,"Washington","53","50 years and over","50+",28
,"West Virginia","54","Under 15 years","15",10
,"West Virginia","54","15-19 years","15-19",1287
,"West Virginia","54","20-24 years","20-24",5111
,"West Virginia","54","25-29 years","25-29",5715
,"West Virginia","54","30-34 years","30-34",3957
,"West Virginia","54","35-39 years","35-39",1704
,"West Virginia","54","40-44 years","40-44",335
,"West Virginia","54","45-49 years","45-49",14
,"West Virginia","54","50 years and over","50+",Suppressed
,"Wisconsin","55","Under 15 years","15",21
,"Wisconsin","55","15-19 years","15-19",2318
,"Wisconsin","55","20-24 years","20-24",10547
,"Wisconsin","55","25-29 years","25-29",19512
,"Wisconsin","55","30-34 years","30-34",20263
,"Wisconsin","55","35-39 years","35-39",8937
,"Wisconsin","55","40-44 years","40-44",1574
,"Wisconsin","55","45-49 years","45-49",90
,"Wisconsin","55","50 years and over","50+",Suppressed
,"Wyoming","56","Under 15 years","15",Suppressed
,"Wyoming","56","15-19 years","15-19",338
,"Wyoming","56","20-24 years","20-24",1558
,"Wyoming","56","25-29 years","25-29",2021
,"Wyoming","56","30-34 years","30-34",1724
,"Wyoming","56","35-39 years","35-39",775
,"Wyoming","56","40-44 years","40-44",134
,"Wyoming","56","45-49 years","45-49",12
,"Wyoming","56","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2019"
"Group By: State of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:13:25 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:13:25 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
