"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Nevada","32","7th to final month","3",1172
,"Nevada","32","No prenatal care","4",1906
,"Nevada","32","Unknown or Not Stated","5",2175
,"Nevada","32","Not Reported","100",0
,"New Hampshire","33","1st to 3rd month","1",10210
,"New Hampshire","33","4th to 6th month","2",1183
,"New Hampshire","33","7th to final month","3",327
,"New Hampshire","33","No prenatal care","4",76
,"New Hampshire","33","Unknown or Not Stated","5",43
,"New Hampshire","33","Not Reported","100",0
,"New Jersey","34","1st to 3rd month","1",74788
,"New Jersey","34","4th to 6th month","2",17194
,"New Jersey","34","7th to final month","3",4334
,"New Jersey","34","No prenatal care","4",2023
,"New Jersey","34","Unknown or Not Stated","5",1246
,"New Jersey","34","Not Reported","100",0
,"New Mexico","35","1st to 3rd month","1",15564
,"New Mexico","35","4th to 6th month","2",4185
,"New Mexico","35","7th to final month","3",1702
,"New Mexico","35","No prenatal care","4",1399
,"New Mexico","35","Unknown or Not Stated","5",110
,"New Mexico","35","Not Reported","100",0
,"New York","36","1st to 3rd month","1",175882
,"New York","36","4th to 6th month","2",29552
,"New York","36","7th to final month","3",9117
,"New York","36","No prenatal care","4",1690
,"New York","36","Unknown or Not Stated","5",5298
,"New York","36","Not Reported","100",0
,"North Carolina","37","1st to 3rd month","1",87311
,"North Carolina","37","4th to 6th month","2",21542
,"North Carolina","37","7th to final month","3",5935
,"North Carolina","37","No prenatal care","4",2942
,"North Carolina","37","Unknown or Not Stated","5",995
,"North Carolina","37","Not Reported","100",0
,"North Dakota","38","1st to 3rd month","1",7932
,"North Dakota","38","4th to 6th month","2",1460
,"North Dakota","38","7th to final month","3",560
,"North Dakota","38","No prenatal care","4",61
,"North Dakota","38","Unknown or Not Stated","5",441
,"North Dakota","38","Not Reported","100",0
,"Ohio","39","1st to 3rd month","1",102809
,"Ohio","39","4th to 6th month","2",22737
,"Ohio","39","7th to final month","3",5902
,"Ohio","39","No prenatal care","4",2055
,"Ohio","39","Unknown or Not Stated","5",958
,"Ohio","39","Not Reported","100",0
,"Oklahoma","40","1st to 3rd month","1",36988
,"Oklahoma","40","4th to 6th month","2",8443
,"Oklahoma","40","7th to final month","3",2242
,"Oklahoma","40","No prenatal care","4",940
,"Oklahoma","40","Unknown or Not Stated","5",530
,"Oklahoma","40","Not Reported","100",0
,"Oregon","41","1st to 3rd month","1",34565
,"Oregon","41","4th to 6th month","2",5215
,"Oregon","41","7th to final month","3",1429
,"Oregon","41","No prenatal care","4",474
,"Oregon","41","Unknown or Not Stated","5",175
,"Oregon","41","Not Reported","100",0
,"Pennsylvania","42","1st to 3rd month","1",101182
,"Pennsylvania","42","4th to 6th month","2",19952
,"Pennsylvania","42","7th to final month","3",6264
,"Pennsylvania","42","No prenatal care","4",2669
,"Pennsylvania","42","Unknown or Not Stated","5",4163
,"Pennsylvania","42","Not Reported","100",0
,"Rhode Island","44","1st to 3rd month","1",8489
,"Rhode Island","44","4th to 6th month","2",1283
,"Rhode Island","44","7th to final month","3",102
,"Rhode Island","44","No prenatal care","4",31
,"Rhode Island","44","Unknown or Not Stated","5",270
,"Rhode Island","44","Not Reported","100",0
,"South Carolina","45","1st to 3rd month","1",43117
,"South Carolina","45","4th to 6th month","2",10054
,"South Carolina","45","7th to final month","3",2665
,"South Carolina","45","No prenatal care","4",1032
,"South Carolina","45","Unknown or Not Stated","5",170
,"South Carolina","45","Not Reported","100",0
,"South Dakota","46","1st to 3rd month","1",8816
,"South Dakota","46","4th to 6th month","2",1900
,"South Dakota","46","7th to final month","3",520
,"South Dakota","46","No prenatal care","4",105
,"South Dakota","46","Unknown or Not Stated","5",108
,"South Dakota","46","Not Reported","100",0
,"Tennessee","47","1st to 3rd month","1",58240
,"Tennessee","47","4th to 6th month","2",14566
,"Tennessee","47","7th to final month","3",3826
,"Tennessee","47","No prenatal care","4",1466
,"Tennessee","47","Unknown or Not Stated","5",2352
,"Tennessee","47","Not Reported","100",0
,"Texas","48","1st to 3rd month","1",256108
,"Texas","48","4th to 6th month","2",78280
,"Texas","48","7th to final month","3",23102
,"Texas","48","No prenatal care","4",13083
,"Texas","48","Unknown or Not Stated","5",7026
,"Texas","48","Not Reported","100",0
,"Utah","49","1st to 3rd month","1",38008
,"Utah","49","4th to 6th month","2",6322
,"Utah","49","7th to final month","3",1612
,"Utah","49","No prenatal care","4",361
,"Utah","49","Unknown or Not Stated","5",523
,"Utah","49","Not Reported","100",0
,"Vermont","50","1st to 3rd month","1",4760
,"Vermont","50","4th to 6th month","2",494
,"Vermont","50","7th to final month","3",69
,"Vermont","50","No prenatal care","4",22
,"Vermont","50","Unknown or Not Stated","5",16
,"Vermont","50","Not Reported","100",0
,"Virginia","51","1st to 3rd month","1",74754
,"Virginia","51","4th to 6th month","2",14603
,"Virginia","51","7th to final month","3",3555
,"Virginia","51","No prenatal care","4",1465
,"Virginia","51","Unknown or Not Stated","5",3052
,"Virginia","51","Not Reported","100",0
,"Washington","53","1st to 3rd month","1",61029
,"Washington","53","4th to 6th month","2",12070
,"Washington","53","7th to final month","3",3942
,"Washington","53","No prenatal care","4",697
,"Washington","53","Unknown or Not Stated","5",7157
,"Washington","53","Not Reported","100",0
,"West Virginia","54","1st to 3rd month","1",14329
,"West Virginia","54","4th to 6th month","2",2573
,"West Virginia","54","7th to final month","3",752
,"West Virginia","54","No prenatal care","4",354
,"West Virginia","54","Unknown or Not Stated","5",128
,"West Virginia","54","Not Reported","100",0
,"Wisconsin","55","1st to 3rd month","1",50602
,"Wisconsin","55","4th to 6th month","2",8252
,"Wisconsin","55","7th to final month","3",1986
,"Wisconsin","55","No prenatal care","4",446
,"Wisconsin","55","Unknown or Not Stated","5",1984
,"Wisconsin","55","Not Reported","100",0
,"Wyoming","56","1st to 3rd month","1",5089
,"Wyoming","56","4th to 6th month","2",914
,"Wyoming","56","7th to final month","3",309
,"Wyoming","56","No prenatal care","4",116
,"Wyoming","56","Unknown or Not Stated","5",137
,"Wyoming","56","Not Reported","100",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2019"
"Group By: State of Residence; Trimester Prenatal Care Began"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 9:04:25 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 9:04:25 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
